species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Citrobacter koseri,0,0,0,0,0,2,1,1
Citrobacter meridianamericanus,0,0,0,0,1,14,16,5
Citrobacter portucalensis,0,0,0,0,3,2,5,0
Citrobacter sedlakii,0,0,0,0,1,4,0,8
Citrobacter tructae,0,0,0,0,0,0,0,2
Citrobacter youngae,0,0,0,0,0,0,2,0
Claveliimonas bilis,0,0,0,0,0,2,0,0
Clostridium ammoniilyticum,0,0,0,0,0,0,1,0
Clostridium porci,0,0,2,0,0,0,2,5
[Clostridium] scindens,0,0,0,0,0,0,0,5
Clostridium segne,0,4,0,0,0,0,0,0
Collinsella aerofaciens,30350,45663,71012,27398,13040,11883,6929,20970
Confluentibacter sediminis,0,0,0,0,0,0,0,4
Coprobacillus cateniformis,0,0,0,0,0,0,1,0
Coprobacter secundus,7,0,14,0,0,0,0,0
Coprococcus catus,0,0,0,1,2028,5317,10296,7763
Coprococcus comes,48,83,79,30,5709,13695,9187,8632
Coprococcus eutactus,0,0,0,0,5123,13485,8587,8257
Coprococcus intestinihominis,0,0,0,0,0,3,0,12
Coprococcus sp. B2-R-112,3,0,0,0,0,0,0,0
Cronobacter universalis,0,0,0,0,0,0,0,1
Culturomica massiliensis,0,6,0,32,0,6,0,2
Cupriavidus basilensis,0,0,0,0,1,1,3,1
Cupriavidus gilardii,0,0,0,0,0,1,0,0
Cupriavidus metallidurans,0,0,0,0,1517,3962,19472,5709
Cupriavidus oxalaticus,0,0,0,0,0,0,1,0
Cupriavidus pauculus,0,0,0,0,0,4,18,2
Delftia deserti,0,0,0,0,0,0,0,2
Desulfitobacterium dichloroeliminans,0,0,0,0,0,0,0,3
Desulfovibrio piger,0,0,0,0,566,1475,7296,2127
Dialister invisus,0,0,0,0,456,1192,5361,1719
Dialister succinatiphilus,0,0,0,0,0,0,0,1
Diplocloster hominis,1,0,0,0,0,0,0,0
Dorea acetigenes,2,0,0,0,0,1,0,0
Dorea amylophila,0,0,0,0,0,5,1,0
Dorea formicigenerans,0,0,0,0,2360,5990,8297,3690
Dorea longicatena,0,0,0,0,7328,18271,8081,11212
Duncaniella muricolitica,0,1,0,0,0,0,0,0
Dysosmobacter segnis,0,0,0,0,0,2,14,11
Edwardsiella anguillarum,0,0,0,0,0,0,2,0
Edwardsiella piscicida,0,0,0,0,0,0,1,0
Eggerthella lenta,0,0,0,0,570,1487,9809,2136
Eisenbergiella porci,0,0,5,6,0,0,3,0
Emergencia timonensis,0,0,0,0,0,0,0,6
Enorma massiliensis,0,0,0,0,0,0,0,3
Enterobacter adelaidei,0,0,0,0,0,6,3,0
Enterobacter bugandensis,0,0,0,0,0,1,3,0
Enterobacter chuandaensis,0,0,0,0,0,4,0,0
Enterobacter quasiroggenkampii,0,0,0,0,0,0,0,7
Enterobacter sichuanensis,0,0,0,0,0,2,0,0
Enterobacter vonholyi,0,0,0,0,1,0,0,0
Enterocloster alcoholdehydrogenati,0,2,0,0,5,0,0,0
Enterocloster bolteae,0,0,0,0,0,0,3,0
Enterocloster clostridioformis,0,0,0,0,0,0,0,10
Enterocloster lavalensis,0,0,0,0,0,5,0,0
Enterococcus cecorum,0,0,0,0,0,0,0,2
Enterococcus durans,0,0,0,0,0,2,1,0
Enterococcus faecium,0,0,0,0,463,1210,8228,1737
Enterococcus lactis,0,0,0,0,0,0,11,3
Enterococcus massiliensis,0,0,0,0,0,0,2,0
Enterococcus saigonensis,0,0,0,0,0,0,4,0
Enterococcus villorum,0,0,0,0,1,0,3,0
Escherichia coli,0,0,0,0,13873,36260,15806,22290
Escherichia fergusonii,0,0,0,0,2,0,0,15
Escherichia marmotae,0,0,0,0,3,0,0,0
Eshraghiella crossota,10,0,0,0,3452,8854,6802,5442
Eubacterium maltosivorans,0,0,8,0,0,0,3,0
Eubacterium ramulus,1,0,2,0,832,2196,9115,3150
Eubacterium ventriosum,0,0,0,0,622,1629,8393,2333
Ewingella sp. CoE-038-23,0,0,0,0,0,2,0,0
Faecalibacillus faecis,0,0,0,0,0,0,1,0
Faecalibacillus intestinalis,0,0,0,0,0,3,3,6
Faecalibacterium duncaniae,0,0,0,9,3,18,0,11
Faecalibacterium prausnitzii,80814,121615,90732,155886,34913,32006,8959,56305
Faecalibacterium taiwanense,1,0,0,0,5,0,1,2
Faecalibacterium tardum,17,21,8,104,0,1,0,0
Faecalibacterium wellingii,0,0,6,0,0,0,0,0
Faecalicatena contorta,0,0,0,0,0,0,14,4
Faecalicatena faecalis,0,0,0,0,22,3,0,1
Faecalicatena fissicatena,0,0,0,0,0,0,3,0
Faecalicoccus pleomorphus,0,0,3,0,0,0,0,0
Faecalimonas umbilicata,0,0,0,0,0,6,0,0
Finegoldia magna,0,0,0,0,412,1085,5194,1564
Flavobacterium luteum,1,0,0,0,0,0,0,0
Flavonifractor plautii,0,0,0,0,1250,3266,11309,4726
Flintibacter faecis,0,0,0,11,0,0,0,0
Fusarium subglutinans,0,0,0,0,0,1,1,0
Fusibacillus kribbianus,0,0,0,0,0,1,0,0
Fusicatenibacter faecihominis,0,0,0,0,0,8,0,2
Fusicatenibacter saccharivorans,0,0,0,0,15196,39273,10628,23921
Gallalistipes aquisgranensis,2,0,0,0,0,0,0,0
Gemmiger formicilis,50,63,54,69,1340,3462,8922,5022
Gordonibacter pamelaeae,0,0,0,0,475,1257,9653,1808
Gordonibacter urolithinfaciens,0,0,0,0,0,0,1,0
Hallella colorans,0,0,0,0,0,0,0,1
Holdemanella biformis,0,0,0,0,1177,3097,6953,4466
Holdemanella hominis,0,0,0,0,1,0,0,4
Hominifimenecus microfluidus,0,0,40,0,5,1,3,0
Hominiventricola aquisgranensis,7,0,13,7,4,2,9,1
