species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Absicoccus porci,0,4,0,0,0,0,0,5
Acetivibrio ethanolgignens,0,2,1,0,83,273,249,220
Acidaminococcus intestini,0,0,0,0,4862,12696,64742,18311
Acidaminococcus timonensis,0,0,0,0,0,0,2,0
Acidovorax temperans,0,0,0,0,4,1,50,17
Acinetobacter schindleri,0,0,0,0,5,0,0,0
Actibacterium lipolyticum,0,0,0,0,0,0,3,0
Actinobacillus indolicus,0,0,0,0,0,6,0,0
Actinobacillus minor,0,0,0,0,0,0,0,2
Adlercreutzia equolifaciens,0,0,0,0,9296,24312,80946,35019
Adlercreutzia hattorii,0,0,0,0,0,0,0,3
Aedoeadaptatus coli,0,0,0,0,0,1,0,0
Agathobacter rectalis,492407,741052,995114,444739,214382,195302,94533,348027
Agathobaculum butyriciproducens,0,0,0,0,18214,47467,75008,29203
Agathobaculum massiliense,37,34,82,13,1,32,0,5
Akkermansia muciniphila,0,0,0,0,81196,212334,81400,130510
Alistipes communis,4,23,27,0,0,0,0,0
Alistipes dispar,0,7,0,0,0,0,0,0
Alistipes finegoldii,0,0,0,0,46443,114077,93074,72614
Alistipes inops,0,0,0,0,11358,29722,65007,42811
Alistipes provencensis,0,3,0,0,0,0,0,0
Alistipes putredinis,297429,442997,730767,266573,130253,113045,69939,207657
Alistipes shahii,0,0,7,7,12621,33107,109853,47561
Amedibacillus hominis,0,0,0,0,20,103,49,69
Amylolactobacillus amylophilus,0,0,0,0,0,2,1,0
Anaerobutyricum hallii,0,0,0,0,65493,170816,98776,106876
Anaerobutyricum soehngenii,0,0,0,0,25,31,19,5
Anaerococcus ihuae,0,0,0,0,0,0,1,0
Anaerolactibacter massiliensis,10,0,10,0,0,3,0,0
Anaeromicropila herbilytica,0,0,0,0,2,0,0,0
Anaerosacchariphilus hominis,0,0,0,0,0,0,0,3
Anaerosalibacter massiliensis,0,0,0,0,0,0,0,2
Anaerostipes hadrus,0,0,0,0,74988,196039,82296,119851
Anaerotruncus colihominis,0,0,0,0,0,0,0,9
Anaerotruncus rubiinfantis,22,0,0,0,0,0,0,0
Andreesenia angusta,0,0,0,0,0,9,0,0
Angelakisella massiliensis,0,0,1,0,0,3,2,0
Arsenophonus endosymbiont of Crataerina pallida,0,0,0,0,2,0,0,1
Bacillus rubiinfantis,0,0,0,0,0,2,0,1
Bacillus thermotolerans,0,0,0,0,0,0,0,1
Bacteroides bouchesdurhonensis,0,0,4,0,1,0,0,0
Bacteroides caccae,0,0,0,0,88904,229397,170619,139058
Bacteroides caecimuris,0,0,0,0,0,1,0,0
Bacteroides cellulosilyticus,0,39,302,54,63371,154464,199696,98044
Bacteroides clarus,0,0,0,0,5674,14781,107677,21329
Bacteroides cutis,0,0,0,0,0,1,0,9
Bacteroides eggerthii,0,0,0,0,35557,92763,111914,57007
Bacteroides faecalis,1470,2782,5231,1108,33,53,24,45
Bacteroides faecichinchillae,0,12,0,0,0,0,0,0
Bacteroides faecis,0,0,0,0,15757,40827,209224,59044
Bacteroides finegoldii,0,0,0,0,12374,33382,134878,47755
Bacteroides fluxus,72,0,4,11,0,0,0,11
