"","TP","TN","FP","FN","TPR","FPR"
"abundance_cols.Healthy_stool_10_1",149,5288,1861,350,0.298597194388778,0.260316128129808
"abundance_cols.Healthy_stool_10_10",155,5288,1877,344,0.31062124248497,0.261967899511514
"abundance_cols.Healthy_stool_10_100",150,5288,1822,349,0.30060120240481,0.256258790436006
"abundance_cols.Healthy_stool_10_50",158,5288,1896,341,0.316633266533066,0.263919821826281
"abundance_cols.Healthy_stool_100_1",157,5288,1890,342,0.314629258517034,0.263304541655057
"abundance_cols.Healthy_stool_100_10",164,5288,1867,335,0.328657314629259,0.260936408106219
"abundance_cols.Healthy_stool_100_100",165,5288,1933,334,0.330661322645291,0.267691455477081
"abundance_cols.Healthy_stool_100_50",165,5288,1897,334,0.330661322645291,0.26402226861517
