"","TP","TN","FP","FN","TPR","FPR"
"abundance_cols.healthy_stool_10_1",49,21596,76,450,0.0981963927855711,0.00350682908822444
"abundance_cols.healthy_stool_10_10",46,21596,85,453,0.0921843687374749,0.00392048337253817
"abundance_cols.healthy_stool_10_100",41,21596,85,458,0.0821643286573146,0.00392048337253817
"abundance_cols.healthy_stool_10_50",50,21596,77,449,0.100200400801603,0.00355280764084345
"abundance_cols.healthy_stool_100_1",147,21596,291,352,0.294589178356713,0.0132955635765523
"abundance_cols.healthy_stool_100_10",146,21596,296,353,0.292585170340681,0.0135209208843413
"abundance_cols.healthy_stool_100_100",156,21596,329,343,0.312625250501002,0.0150057012542759
"abundance_cols.healthy_stool_100_50",150,21596,317,349,0.30060120240481,0.0144662985442431
