"","abundance_cols.healthy_stool_10_1_noerr","abundance_cols.healthy_stool_10_10_noerr","abundance_cols.healthy_stool_10_100_noerr","abundance_cols.healthy_stool_10_50_noerr","abundance_cols.healthy_stool_100_1_noerr","abundance_cols.healthy_stool_100_10_noerr","abundance_cols.healthy_stool_100_100_noerr","abundance_cols.healthy_stool_100_50_noerr"
"RRMSE",1310.87164138583,950.899511827961,876.268195005683,1029.12956144006,1303.84883738785,357.213441869275,301.270834900713,451.431904504346
"AVGRE",318.787635556743,414.300121196946,336.909839138412,398.841192323794,82.2880787153081,86.1893639649855,88.3423847954907,88.6930805960032
"NRMSE",1695.72671908826,1627.5013185912,1613.58468501558,1603.94340319134,1547.59062953026,1426.98908266913,1372.22040087029,1377.05541479167
