"","TP","TN","FP","FN","TPR","FPR"
"abundance_cols.healthy_stool_10_1",26,22177,14,473,0.0521042084168337,0.000630886395385517
"abundance_cols.healthy_stool_10_10",24,22177,11,475,0.0480961923847695,0.000495763475752659
"abundance_cols.healthy_stool_10_100",23,22177,19,476,0.0460921843687375,0.000856010091908452
"abundance_cols.healthy_stool_10_50",24,22177,10,475,0.0480961923847695,0.000450714382295939
"abundance_cols.healthy_stool_100_1",121,22177,80,378,0.24248496993988,0.00359437480343263
"abundance_cols.healthy_stool_100_10",112,22177,87,387,0.224448897795591,0.00390765361121092
"abundance_cols.healthy_stool_100_100",119,22177,98,380,0.238476953907816,0.00439955106621773
"abundance_cols.healthy_stool_100_50",124,22177,100,375,0.248496993987976,0.00448893477577771
