"","MCC"
"abundance_cols.healthy_stool_10_1",0.0142547034774673
"abundance_cols.healthy_stool_10_10",0.0132901481917199
"abundance_cols.healthy_stool_10_100",0.0117814272416295
"abundance_cols.healthy_stool_10_50",0.0145497976289877
"abundance_cols.healthy_stool_100_1",0.0425545553634947
"abundance_cols.healthy_stool_100_10",0.0422221243787383
"abundance_cols.healthy_stool_100_100",0.0450633544742003
"abundance_cols.healthy_stool_100_50",0.0433126290286375
