Total Number of Aligned Reads:	8552997	Total Number of Mapped Genomes:	13214
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|435590|org|Bacteroides_vulgatus_ATCC_8482|accession|NC_009614.1	0.2265283391588239	0.25881021588105313	2213603.0	0.2587999270898844	1.0288791168756403e-05	0.2235487488123979	0.24989805796190753	2137377.340054021	0.24895472312219916	0.007382792253990034
ti|515619|org|[Eubacterium]_rectale_ATCC_33656|accession|NC_012781.1	0.0968238954628095	0.08970200737823245	767221.0	0.08969814908154417	3.858296688283651e-06	0.09560829311615845	0.08540200959596224	730443.1318682362	0.08451785964615678	0.002560973656368639
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703852.1	0.085163285083346	0.07483692558292725	640080.0	0.07450569665814218	0.00033122892478507825	0.08453280162145982	0.07196522333463927	615518.3392854996	0.07149037933720777	0.0020303994026889052
ti|367928|org|Bifidobacterium_adolescentis_ATCC_15703|accession|NC_008618.1	0.05157921199922388	0.04951281989225531	423483.0	0.04951165071144068	1.1691808146314093e-06	0.051485712795993635	0.04831132628094434	413206.6287469381	0.048306926800044475	0.00014661527415477872
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703853.1	0.04794471650007308	0.04155794746566613	355445.0	0.04151270016813989	4.5247297526235544e-05	0.04781394933802242	0.041043722535417264	351046.8357142563	0.04090168627441352	0.0008954755859261964
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703854.1	0.04407279767232745	0.039387012529058525	336877.0	0.03926635306898857	0.00012065946006996144	0.04353091940460106	0.03748361817104612	320597.2737661029	0.03665802758962736	0.00328352739981085
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703855.1	0.028902952093715316	0.02505285574167745	214277.0	0.02487677711099396	0.00017607863068349025	0.02875553787498638	0.025359291846596042	216897.94708606042	0.023868943248781683	0.004409331606219434
ti|445970|org|Alistipes_putredinis_DSM_17216|accession|NZ_DS499577.1	0.027826589204596394	0.025060572335054015	214343.0	0.025060572335054015	0.0	0.027423359440579255	0.023933721015878248	204705.0440476436	0.024257462033483702	0.0006833861861520587
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703856.1	0.019435090115381304	0.016281895106475545	139259.0	0.016259680670997548	2.2214435477996777e-05	0.0195279290843113	0.016603090052735827	142006.17941177936	0.016355202743552934	0.000592307000692272
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362248.1	0.01909302942580133	0.01610008748980036	137704.0	0.01608933102630575	1.0756463494608965e-05	0.019094486473757485	0.016135708531952283	138008.6666666623	0.01604232995755757	0.0002624810928847514
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703857.1	0.0182648873863146	0.015598041247997631	133410.0	0.015582374225081571	1.5667022916060885e-05	0.018403163086195946	0.016206074983350378	138610.51071437082	0.015458090304486251	0.003111073229652717
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362249.1	0.017519338671183667	0.01588355520293062	135852.0	0.015224137223478507	0.0006594179794521148	0.018016347811885065	0.016843515472013917	144062.53730158863	0.018030405014756817	0.0008081377790732301
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703858.1	0.015310038974475002	0.012906937766960516	110393.0	0.01290553474998296	1.4030169775576912e-06	0.015372900311712963	0.013151010386294485	112480.55238094558	0.01300082298637542	0.0008271954263517221
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362220.1	0.015139404338463796	0.013437628938721713	114932.0	0.013436459757907082	1.1691808146314093e-06	0.01505784913677648	0.013390575256836814	114529.5499999995	0.013211743205334926	0.0007413775545577766
ti|445970|org|Alistipes_putredinis_DSM_17216|accession|NZ_DS499579.1	0.014799503162255676	0.013072026097986472	111805.0	0.01306372491420259	8.301183783883007e-06	0.014687624055406669	0.012663747225749233	108312.99203059151	0.01252660324796092	0.000595697625054703
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703859.1	0.014775024091861893	0.012862158141760133	110010.0	0.012861105879026965	1.0522627331682685e-06	0.014775437742986463	0.01271434250863559	108745.73333333268	0.012703617223296115	2.8761848039932668e-05
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362247.1	0.013102185146736627	0.013453062125474848	115064.0	0.013444527105528039	8.535019946809287e-06	0.01290102911640008	0.01279296935452716	109418.22851036274	0.012461713712748877	0.0009746291270767428
ti|411903|org|Collinsella_aerofaciens_ATCC_25986|accession|NZ_AAVN02000001.1	0.011929031304510342	0.01126961695415069	96389.0	0.011256989801352672	1.262715279801922e-05	0.011685514516625629	0.010335580625055971	88400.19007936184	0.010155387637806958	0.0009844502459196466
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703860.1	0.011192387312170005	0.010665501227230641	91222.0	0.010606106841847367	5.939438538327559e-05	0.011168732791519165	0.010389959271139443	88865.29047617785	0.01036280031432257	0.00149082245673651
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362244.1	0.011115539052759556	0.009546127515302531	81648.0	0.009546127515302531	0.0	0.011115152874428304	0.009516878508589836	81397.83333333334	0.009516196486447966	1.2860988960945503e-06
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703861.1	0.01106297631023746	0.009592193239399008	82042.0	0.009584593564103905	7.599675295104161e-06	0.011080800894102988	0.009700878339292328	82971.58333333227	0.009682570916370016	9.926345116220665e-05
