"old_name","current_name"
"Enterobacter sp. [ref_mOTU_v31_00077]","Enterobacter sp."
"Enterobacter timonensis [ref_mOTU_v31_00078]","Enterobacter timonensis"
"Lelliottia amnigena [ref_mOTU_v31_00079]","Lelliottia amnigena"
"Pluralibacter gergoviae [ref_mOTU_v31_00080]","Pluralibacter gergoviae"
"Yokenella regensburgei [ref_mOTU_v31_00081]","Yokenella regensburgei"
"Trabulsiella guamensis/odontotermitis [ref_mOTU_v31_00082]","Trabulsiella guamensis/odontotermitis"
"[Enterobacter] lignolyticus [ref_mOTU_v31_00083]",""
"Klebsiella aerogenes [ref_mOTU_v31_00084]","Klebsiella aerogenes"
"Klebsiella pneumoniae [ref_mOTU_v31_00085]","Klebsiella pneumoniae"
"Klebsiella michiganensis/oxytoca [ref_mOTU_v31_00086]","Klebsiella michiganensis/oxytoca"
"Raoultella sp. [ref_mOTU_v31_00087]","Raoultella sp."
"Raoultella ornithinolytica/terrigena [ref_mOTU_v31_00088]","Raoultella ornithinolytica/terrigena"
"Metakosakonia massiliensis [ref_mOTU_v31_00089]","Phytobacter massiliensis"
"Kluyvera ascorbata/georgiana [ref_mOTU_v31_00090]","Kluyvera ascorbata/georgiana"
"Kluyvera ascorbata [ref_mOTU_v31_00091]","Kluyvera ascorbata"
"Kluyvera cryocrescens [ref_mOTU_v31_00092]","Kluyvera cryocrescens"
"Kluyvera intermedia [ref_mOTU_v31_00093]","Kluyvera intermedia"
"Enterobacteriaceae bacterium strain FGI 57 [ref_mOTU_v31_00094]","Enterobacteriaceae bacterium strain FGI 57"
"Escherichia coli [ref_mOTU_v31_00095]","Escherichia coli"
"Citrobacter sp. [ref_mOTU_v31_00096]","Citrobacter sp."
"Citrobacter sp. MGH106 [ref_mOTU_v31_00097]","Citrobacter sp. MGH106"
"Salmonella bongori [ref_mOTU_v31_00098]","Salmonella bongori"
"Salmonella enterica [ref_mOTU_v31_00099]","Salmonella enterica"
"Citrobacter rodentium [ref_mOTU_v31_00100]","Citrobacter rodentium"
"Citrobacter sedlakii [ref_mOTU_v31_00101]","Citrobacter sedlakii"
"Citrobacter koseri [ref_mOTU_v31_00102]","Citrobacter koseri"
"Citrobacter sp. [ref_mOTU_v31_00103]","Citrobacter sp."
"Klebsiella sp. RIT-PI-d [ref_mOTU_v31_00104]","Klebsiella sp. RIT-PI-d"
"Prochlorothrix hollandica [ref_mOTU_v31_00105]","Prochlorothrix hollandica"
"Pseudomonas fluorescens [ref_mOTU_v31_00106]","Pseudomonas fluorescens"
"Pseudomonas helleri [ref_mOTU_v31_00107]","Pseudomonas helleri"
"Pseudomonas psychrophila [ref_mOTU_v31_00108]","Pseudomonas psychrophila"
"Pseudomonas endophytica [ref_mOTU_v31_00109]","Pseudomonas endophytica"
"Pseudomonas taetrolens [ref_mOTU_v31_00110]","Pseudomonas taetrolens"
"Gammaproteobacteria sp. [ref_mOTU_v31_00111]","Gammaproteobacteria sp."
"Pseudomonas versuta/fragi [ref_mOTU_v31_00112]","Pseudomonas versuta/fragi"
"Pseudomonas fragi [ref_mOTU_v31_00113]","Pseudomonas fragi"
"Pseudomonas psychrophila/deceptionensis [ref_mOTU_v31_00114]","Pseudomonas psychrophila/deceptionensis"
"Pseudomonas agarici [ref_mOTU_v31_00115]","Pseudomonas agarici"
"Pseudomonas gingeri [ref_mOTU_v31_00116]","Pseudomonas gingeri"
"Pseudomonas fuscovaginae/asplenii [ref_mOTU_v31_00117]","Pseudomonas fuscovaginae/asplenii"
"Pseudomonas fuscovaginae [ref_mOTU_v31_00118]","Pseudomonas asplenii"
"Pseudomonas batumici [ref_mOTU_v31_00119]","Pseudomonas batumici"
"Pseudomonas sp. [ref_mOTU_v31_00120]","Pseudomonas sp."
"Pseudomonas mucidolens [ref_mOTU_v31_00121]","Pseudomonas mucidolens"
"Pseudomonas sp. [ref_mOTU_v31_00122]","Pseudomonas sp."
"Pseudomonas fluorescens/yamanorum [ref_mOTU_v31_00123]","Pseudomonas fluorescens/yamanorum"
"Pseudomonas sp. KG01 [ref_mOTU_v31_00124]","Pseudomonas sp. KG01"
"Pseudomonas fluorescens/rhodesiae [ref_mOTU_v31_00125]","Pseudomonas fluorescens/rhodesiae"
"Pseudomonas sp. [ref_mOTU_v31_00126]","Pseudomonas sp."
"Pseudomonas palleroniana/fluorescens [ref_mOTU_v31_00127]","Pseudomonas palleroniana/fluorescens"
"Pseudomonas cedrina/orientalis [ref_mOTU_v31_00128]","Pseudomonas cedrina/orientalis"
"Pseudomonas sp. [ref_mOTU_v31_00129]","Pseudomonas sp."
"Pseudomonas marginalis [ref_mOTU_v31_00130]","Pseudomonas marginalis"
"Pseudomonas sp. [ref_mOTU_v31_00131]","Pseudomonas sp."
"Pseudomonas fluorescens [ref_mOTU_v31_00132]","Pseudomonas fluorescens"
"Pseudomonas sp. [ref_mOTU_v31_00133]","Pseudomonas sp."
"Pseudomonas sp. RIT357 [ref_mOTU_v31_00134]","Pseudomonas sp. RIT357"
"Pseudomonas sp. [ref_mOTU_v31_00135]","Pseudomonas sp."
"Pseudomonas sp. BIOMIG1N [ref_mOTU_v31_00136]","Pseudomonas sp. BIOMIG1N"
"Pseudomonas sp. [ref_mOTU_v31_00137]","Pseudomonas sp."
"Pseudomonas sp. PH1b [ref_mOTU_v31_00138]","Pseudomonas sp. PH1b"
"Pseudomonas chlororaphis [ref_mOTU_v31_00139]","Pseudomonas chlororaphis"
"Pseudomonas chlororaphis [ref_mOTU_v31_00140]","Pseudomonas chlororaphis"
"Pseudomonas chlororaphis [ref_mOTU_v31_00141]","Pseudomonas chlororaphis"
