species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Aeromicrobium,1,NA,NA,NA,2,NA,NA,NA
Aeromicrobium erythreum,5,4,9,1,2,NA,3,3
Aeromonas,NA,1,NA,NA,NA,1,1,1
Aeromonas hydrophila,34,26,25,44,12,16,22,22
Aeromonas media,7,7,1,13,3,5,5,3
Aeromonas phage phiAS5,NA,NA,NA,NA,NA,NA,NA,1
Aeromonas phage PX29,1,NA,NA,NA,NA,NA,NA,NA
Aeromonas salmonicida,10,8,7,6,1,1,1,6
Aeromonas schubertii,6,8,12,8,6,3,1,6
Aeromonas veronii,10,12,13,24,15,13,15,24
Aeromonas virus 31,NA,NA,1,NA,NA,NA,1,NA
Biquartavirus 44RR2,NA,NA,NA,NA,NA,NA,1,NA
Agarivorans gilvus,4,NA,2,2,3,NA,1,NA
Aggregatibacter actinomycetemcomitans,NA,NA,NA,3,NA,4,3,2
Aggregatibacter aphrophilus,2,NA,2,5,NA,4,NA,2
Agrobacterium,1,NA,2,NA,NA,NA,NA,NA
Agrobacterium fabrum,5,4,8,7,5,1,5,4
Agrobacterium tumefaciens,5,7,1,12,1,NA,5,5
Agrobacterium sp. RAC06,4,7,6,8,2,1,5,5
Agrobacterium tumefaciens,17,19,6,25,16,5,7,17
Agrobacterium vitis,1,3,NA,5,2,1,7,5
Agromyces,NA,NA,1,NA,NA,NA,NA,NA
Agromyces sp. AR33,1,7,5,6,2,1,2,3
Akkermansia glycaniphila,5,9,5,3,3,3,5,5
Akkermansia muciniphila,11,3,16,8,740,1956,736,1180
Akkermansiaceae,NA,NA,NA,1,NA,NA,NA,NA
Alcaligenaceae,NA,NA,NA,1,NA,NA,NA,NA
Alcaligenes faecalis,3,3,NA,7,3,NA,2,5
Alcanivorax,NA,NA,1,NA,NA,1,1,NA
Alcanivorax borkumensis,2,NA,NA,1,NA,1,2,NA
