species,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_50_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_50_noerr
Aerococcus urinaeequi,2,4,NA,2,5,3,NA,1
Aerococcus urinaehominis,2,NA,NA,NA,2,4,4,1
Aerococcus viridans,NA,NA,1,NA,2,1,4,3
Aeromicrobium,1,NA,NA,NA,1,NA,NA,NA
Aeromicrobium erythreum,4,3,9,1,3,NA,2,2
Aeromonas,NA,NA,NA,NA,NA,1,NA,1
Aeromonas hydrophila,26,20,21,36,10,15,31,24
Aeromonas media,4,6,1,8,3,2,7,2
Aeromonas phage phiAS5,NA,NA,NA,NA,NA,NA,NA,1
Aeromonas phage PX29,1,NA,NA,NA,NA,NA,NA,NA
Aeromonas salmonicida,8,8,5,4,1,2,3,5
Aeromonas schubertii,4,9,9,5,5,3,3,4
Aeromonas veronii,11,8,13,21,14,12,24,25
Aeromonas virus 31,NA,NA,NA,NA,NA,NA,1,NA
Biquartavirus 44RR2,NA,NA,NA,NA,NA,NA,1,NA
Agarivorans gilvus,4,NA,2,1,1,NA,NA,NA
Aggregatibacter actinomycetemcomitans,NA,NA,NA,2,NA,3,3,2
Aggregatibacter aphrophilus,2,NA,2,4,NA,4,1,3
Agrobacterium,1,NA,NA,NA,NA,NA,NA,NA
Agrobacterium fabrum,3,4,9,4,4,2,5,4
Agrobacterium tumefaciens,5,6,NA,8,1,NA,4,3
Agrobacterium sp. RAC06,5,7,5,8,3,2,5,2
Agrobacterium tumefaciens,18,17,7,18,13,3,7,12
Agrobacterium vitis,1,2,NA,4,1,3,6,3
Agromyces,NA,NA,1,NA,NA,NA,NA,NA
Agromyces sp. AR33,2,5,6,4,1,1,2,2
Akkermansia glycaniphila,4,6,4,2,3,3,4,2
Akkermansia muciniphila,11,3,13,6,741,1954,735,1178
Akkermansiaceae,NA,NA,NA,1,NA,NA,NA,NA
Alcaligenaceae,NA,NA,NA,1,NA,NA,NA,NA
Alcaligenes faecalis,3,2,NA,6,2,NA,3,3
Alcanivorax,NA,NA,1,NA,NA,1,1,NA
Alcanivorax borkumensis,1,NA,NA,1,NA,1,1,NA
Alloalcanivorax dieselolei,7,4,8,3,4,1,3,3
Isoalcanivorax pacificus,2,2,3,3,2,2,5,5
Alcanivorax sp. NBRC 101098,1,NA,NA,1,NA,1,1,NA
Algibacter alginolytica,3,4,2,3,5,5,3,1
Algoriphagus sp. M8-2,6,2,3,4,6,1,3,2
Alicycliphilus,NA,2,NA,NA,NA,NA,NA,NA
Alicycliphilus denitrificans,10,11,14,9,13,7,9,8
Alicyclobacillus acidocaldarius,1,4,8,9,1,9,4,1
Aliivibrio fischeri,2,2,NA,1,1,3,3,3
Aliivibrio salmonicida,2,NA,NA,NA,3,NA,1,2
Aliivibrio wodanis,NA,1,1,2,2,NA,1,5
Alistipes finegoldii,369,514,770,350,593,1257,1262,966
Alkalilimnicola ehrlichii,2,1,7,7,3,NA,1,4
Alkaliphilus metalliredigens,NA,NA,3,2,NA,4,6,10
Alkaliphilus oremlandii,1,3,1,5,2,7,3,6
Allochromatium vinosum,2,2,3,7,3,5,2,4
Allofrancisella guangzhouensis,1,1,1,NA,1,1,1,NA
alpha proteobacterium HIMB5,NA,NA,NA,1,NA,NA,NA,1
alpha proteobacterium HIMB59,NA,NA,NA,NA,NA,1,NA,NA
Altererythrobacter,NA,4,NA,NA,NA,NA,NA,NA
Altererythrobacter atlanticus,NA,2,6,1,4,5,1,5
Altererythrobacter dongtanensis,5,1,3,2,3,1,1,2
Altererythrobacter epoxidivorans,1,1,3,1,1,1,1,NA
Altererythrobacter ishigakiensis,1,1,1,NA,3,1,NA,NA
Altererythrobacter marensis,2,2,3,1,NA,2,NA,2
Altererythrobacter namhicola,2,3,4,1,3,3,1,3
Alteromonas stellipolaris,1,NA,4,3,3,2,1,1
Alteromonas australica,NA,1,1,NA,NA,1,1,NA
Alteromonas macleodii,7,3,NA,4,7,3,4,2
Alteromonas mediterranea,5,2,1,3,3,1,3,2
Alteromonas naphthalenivorans,1,1,1,NA,NA,1,NA,NA
Alteromonas sp. Mac1,2,NA,6,3,3,2,1,1
Alteromonas stellipolaris,2,NA,5,5,6,1,3,2
Aminobacter aminovorans,3,6,8,10,6,2,4,3
Aminobacterium colombiense,2,1,NA,3,NA,NA,2,1
Ammonifex degensii,1,4,4,3,1,2,2,NA
Amphibacillus xylanus,4,3,3,2,5,3,1,4
Amycolatopsis,1,NA,1,NA,1,NA,NA,NA
Amycolatopsis japonica,3,5,7,1,2,4,4,3
Amycolatopsis mediterranei,3,7,9,4,5,2,3,5
Amycolatopsis methanolica,2,5,6,7,1,1,3,3
Amycolatopsis orientalis,5,11,14,7,4,4,5,4
Anabaena cylindrica,2,NA,2,2,NA,2,1,1
Anabaena sp. 90,1,1,3,5,1,NA,3,3
Anabaena sp. wa102,1,2,NA,4,1,2,1,2
Acetomicrobium mobile,NA,3,1,1,NA,1,NA,NA
Anaerococcus prevotii,3,4,2,4,3,7,12,6
Anaerolinea thermophila,3,4,3,3,NA,NA,1,3
Anaerolineaceae bacterium oral taxon 439,NA,3,1,1,2,2,2,2
Anaeromyxobacter dehalogenans,7,12,11,16,6,6,7,6
