species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
'Deinococcus soli' Cha et al. 2014,494,550,475,577,311,274,282,332
Salisediminibacterium selenitireducens,472,458,401,486,509,542,390,463
[Brevibacterium] flavum,617,450,367,581,531,238,175,288
Ruminiclostridium cellulolyticum,695,873,1009,1102,736,1286,1195,1116
[Clostridium] cellulosi,2526,3513,3134,4285,1549,1525,891,2028
Acetivibrio clariflavus,743,782,773,920,800,1022,886,949
Anaerotignum propionicum,893,1228,1199,1535,919,1735,1297,1543
Lacrimispora saccharolytica,1495,1817,1424,2193,5406,12868,8867,8776
Thermoclostridium stercorarium,488,667,580,784,427,786,680,724
Klebsiella aerogenes,504,577,521,596,649,1053,2236,1318
Lachnospira eligens,4717,6577,5977,7520,70967,180222,103133,114094
Agathobacter rectalis,519843,781002,1024523,492442,254456,281940,147344,410484
[Eubacterium] sulci,438,451,535,543,575,922,727,741
[Haemophilus] ducreyi,167,127,86,164,174,98,148,132
Glaesserella parasuis,382,264,225,292,453,340,300,350
[Mannheimia] succiniciproducens,107,116,150,150,74,194,191,174
[Polyangium] brachysporum,309,381,419,393,207,225,308,317
Abalone herpesvirus Victoria/AUS/2009,NA,NA,NA,NA,1,2,4,3
Abalone shriveling syndrome-associated virus,NA,NA,NA,NA,3,4,5,2
Acanthamoeba polyphaga mimivirus,2,1,NA,NA,10,36,27,17
Acanthamoeba polyphaga moumouvirus,55,38,42,49,61,31,30,24
Acanthocystis turfacea Chlorella virus 1,4,6,3,7,8,2,6,2
Acaryochloridaceae,NA,NA,NA,NA,1,NA,NA,NA
Acaryochloris,NA,NA,NA,NA,NA,NA,NA,1
Acaryochloris marina,269,215,136,216,261,153,151,159
Acetoanaerobium sticklandii,104,129,150,162,306,703,826,557
Acetobacter,NA,4,1,4,NA,NA,NA,3
Acetobacter pasteurianus,697,580,464,652,752,387,340,430
Acetobacter senegalensis,363,333,227,325,314,176,146,201
Acetobacter sp. SLV-7,184,249,215,230,169,146,124,157
Acetobacteraceae,15,21,9,11,9,5,10,8
Acetobacterium woodii,261,203,181,186,475,732,600,570
Acetohalobium arabaticum,38,36,52,52,192,403,366,295
Acholeplasma brassicae,54,57,75,94,93,205,180,147
Acholeplasma laidlawii,299,198,126,196,356,232,267,229
Acholeplasma oculi,270,178,115,192,339,253,261,243
Acholeplasma palmae,133,165,140,206,153,257,331,286
Achromobacter,23,25,20,33,14,12,15,12
Achromobacter denitrificans,534,676,738,710,343,346,506,519
Achromobacter phage JWAlpha,NA,NA,NA,NA,1,8,1,1
Achromobacter phage JWX,NA,NA,NA,NA,NA,NA,1,NA
Achromobacter phage phiAxp-3,NA,NA,NA,NA,1,NA,NA,NA
Achromobacter xylosoxidans,1893,2221,2268,2343,1280,968,1522,1586
Acidaminococcaceae,1,NA,NA,1,NA,NA,NA,NA
Acidaminococcales,NA,NA,NA,NA,NA,1,NA,NA
Acidaminococcus,3,1,1,1,NA,2,NA,NA
Acidaminococcus fermentans,1020,1381,1162,1664,811,1284,1685,1393
Acidaminococcus intestini,497,681,592,872,5470,13708,65342,19248
Deltalipothrixvirus pozzuoliense,2,6,2,2,2,NA,NA,2
Acidianus filamentous virus 8,NA,NA,NA,NA,2,7,1,3
Acidianus hospitalis,72,55,32,52,77,32,41,33
Acidianus rod-shaped virus 2,NA,NA,NA,NA,1,2,1,1
Acidianus spindle-shaped virus 1,NA,NA,NA,NA,NA,1,4,3
Bicaudavirus pozzuoliense,NA,NA,NA,NA,NA,NA,3,NA
Acidihalobacter,NA,NA,NA,NA,NA,NA,1,1
Acidihalobacter prosperus,310,266,227,275,211,164,165,190
Acidilobus saccharovorans,54,68,62,85,24,27,13,38
Acidimicrobiaceae,NA,NA,1,1,1,NA,NA,1
Acidimicrobiales,NA,NA,NA,NA,NA,NA,1,NA
Acidimicrobium ferrooxidans,82,109,147,72,40,50,67,90
Acidiphilium,NA,1,1,1,2,3,3,5
Acidiphilium cryptum,208,209,249,188,154,152,167,186
Acidiphilium multivorum,218,238,308,241,162,173,186,212
Acidipropionibacterium,4,5,2,11,1,2,1,6
Acidipropionibacterium acidipropionici,583,724,770,700,331,299,323,439
Acidithiobacillaceae,NA,NA,NA,NA,NA,1,2,NA
Acidithiobacillales,NA,NA,NA,NA,NA,NA,NA,1
Acidithiobacillus,9,6,8,19,2,1,NA,3
Acidithiobacillus caldus,242,233,171,239,234,136,144,164
Acidithiobacillus ferrivorans,292,275,253,304,195,148,176,212
Acidithiobacillus ferrooxidans,292,376,356,362,153,147,131,199
Acidobacteriaceae,6,1,1,3,2,5,7,5
Terriglobales,NA,1,NA,1,NA,NA,3,2
Acidobacterium,1,3,6,1,1,NA,NA,1
Acidobacterium capsulatum,445,487,505,512,301,249,238,328
Acidothermaceae,1,1,1,1,NA,1,NA,NA
Acidothermus,4,5,2,2,2,2,1,1
Acidothermus cellulolyticus,138,201,194,189,98,75,94,120
Acidovorax,5,10,9,11,4,13,7,9
Paracidovorax avenae,714,835,761,791,548,338,349,502
Paracidovorax citrulli,437,644,680,690,265,265,388,431
[Acidovorax] ebreus,504,682,719,660,370,402,594,539
Acidovorax sp. JS42,573,752,696,732,402,373,588,547
Acidovorax sp. KKS102,795,904,757,990,636,400,467,572
Acidovorax sp. RAC01,649,786,701,811,534,339,393,513
Candidatus Aciduliprofundum boonei,8,12,18,18,20,39,38,35
Aciduliprofundum sp. MAR08-339,5,7,7,10,6,10,21,17
Acinetobacter,2,2,2,3,2,6,10,NA
Acinetobacter baumannii,548,485,402,540,635,613,822,661
Acinetobacter equi,179,152,142,177,193,199,219,204
Acinetobacter johnsonii,204,140,108,174,173,177,189,159
Acinetobacter nosocomialis,15,21,9,16,62,141,178,112
Acinetobacter oleivorans,60,111,65,118,77,151,174,141
Acinetobacter phage Ac42,NA,NA,NA,NA,NA,1,1,1
Acinetobacter phage Acj61,82,38,14,41,66,6,4,13
Acinetobacter phage Acj9,NA,NA,NA,NA,NA,3,1,NA
Acinetobacter phage Bphi-B1251,NA,1,NA,NA,NA,NA,NA,NA
Acinetobacter phage phiAB1,NA,NA,NA,NA,1,NA,1,1
Acinetobacter phage Presley,NA,NA,NA,NA,NA,1,2,1
Acinetobacter phage vB_AbaM_Acibel004,NA,NA,NA,NA,NA,1,3,1
Acinetobacter phage vB_AbaM_IME200,NA,NA,NA,1,NA,NA,NA,NA
Acinetobacter phage YMC13/03/R2096,1,NA,1,1,4,1,1,NA
Acinetobacter phage ZZ1,NA,NA,NA,NA,1,NA,6,5
Acinetobacter pittii,151,166,172,187,191,355,387,323
Acinetobacter sp. ADP1,176,173,183,203,136,185,150,165
Acinetobacter sp. BRTC-1,106,77,71,86,102,106,140,109
Acinetobacter sp. NCu2D-2,58,57,65,59,91,132,138,100
Acinetobacter sp. TGL-Y2,352,180,138,217,374,172,108,161
Acinetobacter sp. TTH0-4,198,92,67,113,213,137,130,114
Acinetobacter virus 133,1,1,NA,1,NA,1,3,NA
Actinoalloteichus,3,4,2,2,4,3,3,3
Actinoalloteichus hymeniacidonis,297,361,355,324,224,159,183,215
Actinobacillus,NA,NA,NA,3,NA,4,6,2
Actinobacillus equuli,492,284,125,292,527,220,210,241
Actinobacillus pleuropneumoniae,679,408,241,446,649,301,258,284
Actinobacillus succinogenes,85,102,111,108,117,156,158,142
Actinobacillus suis,132,137,128,175,138,191,188,169
Actinomycetota,1,2,1,NA,NA,1,6,3
Actinobacteria bacterium IMCC26256,230,167,144,199,204,112,74,113
Actinomyces,12,18,21,25,7,4,2,10
Actinomyces meyeri,302,289,290,248,232,148,159,179
Actinomyces oris,271,466,418,484,177,181,226,279
Actinomyces radicidentis,369,556,650,474,210,260,306,318
Actinomyces sp. oral taxon 414,440,656,655,662,252,296,340,428
Actinomyces sp. VUL4_3,208,262,192,227,152,95,113,117
Actinomycetaceae,8,9,6,6,2,4,3,2
Actinomycetales,2,NA,2,NA,NA,NA,NA,NA
Actinoplanes,4,10,4,7,5,5,10,10
Actinoplanes friuliensis,541,665,712,621,394,359,389,485
Actinoplanes missouriensis,535,664,849,585,362,315,300,408
Actinoplanes phage phiAsp2,NA,NA,NA,NA,NA,1,NA,NA
Actinoplanes sp. N902-109,711,852,870,830,520,361,432,586
Actinoplanes sp. SE50/110,586,707,626,676,384,288,353,443
Actinosynnema,2,3,NA,2,NA,1,NA,1
Actinosynnema mirum,626,886,878,879,367,351,419,533
Actinotignum,NA,NA,1,NA,NA,NA,1,NA
Actinotignum schaalii,219,308,288,336,116,145,154,201
Acute bee paralysis virus,NA,NA,NA,NA,2,1,1,3
Adlercreutzia,2,5,3,2,5,5,4,1
Adlercreutzia equolifaciens,3279,4604,5695,4036,11048,26327,86022,38210
Adoxophyes honmai entomopoxvirus 'L',61,46,13,28,66,13,7,17
Adoxophyes honmai nucleopolyhedrovirus,1,NA,1,2,NA,NA,2,1
Adoxophyes orana granulovirus,NA,1,NA,NA,NA,1,1,NA
Adoxophyes orana nucleopolyhedrovirus,NA,NA,NA,NA,NA,2,2,NA
Advenella,NA,NA,NA,NA,NA,1,NA,NA
Advenella kashmirensis,240,378,338,367,174,213,185,236
Advenella mimigardefordensis,149,200,192,186,125,152,169,173
Aequorivita sublithincola,284,182,125,194,350,239,249,255
Aerococcus,NA,1,1,NA,NA,NA,NA,NA
Aerococcus christensenii,300,256,184,290,386,380,491,391
Aerococcus sanguinicola,110,90,106,124,108,123,179,124
Aerococcus urinae,83,121,82,137,126,239,419,238
Aerococcus urinaeequi,327,193,167,245,363,253,293,254
Aerococcus urinaehominis,160,81,45,86,186,198,190,151
Aerococcus viridans,33,34,44,38,110,214,414,185
Aeromicrobium,50,41,13,21,39,6,5,11
Aeromicrobium erythreum,428,441,506,358,327,211,253,332
Aeromonadaceae,7,2,1,3,7,5,5,3
Aeromonadales,NA,NA,NA,1,NA,NA,NA,NA
Aeromonas,74,58,18,50,79,46,21,33
Aeromonas hydrophila,2767,3523,3099,3855,1776,1595,1459,2185
Aeromonas media,531,575,511,704,370,304,337,426
Aeromonas phage Aes012,1,NA,NA,NA,3,3,4,2
Aeromonas phage Aes508,1,NA,1,NA,3,3,5,2
Aeromonas phage CC2,NA,NA,NA,NA,NA,7,3,1
Aeromonas phage phiAS4,NA,NA,NA,NA,3,NA,2,1
Aeromonas phage phiAS5,8,NA,1,1,6,3,5,9
Aeromonas phage phiAS7,NA,NA,NA,NA,NA,NA,NA,1
Aeromonas phage PX29,12,5,6,3,13,3,2,11
Aeromonas phage vB_AsaM-56,NA,NA,NA,NA,NA,NA,1,NA
Aeromonas salmonicida,642,757,578,817,465,329,297,458
Aeromonas schubertii,612,863,737,916,439,334,307,527
Aeromonas veronii,1317,1463,1299,1674,1129,1205,1811,1595
Tulanevirus bteighttwo,1,NA,NA,NA,3,3,5,2
Aeromonas virus 31,NA,6,8,7,1,2,5,4
Biquartavirus 44RR2,NA,6,7,7,2,2,5,4
Ishigurovirus osborne,NA,NA,NA,NA,3,NA,2,2
Cinqassovirus aeh1,NA,NA,NA,NA,NA,5,4,3
African swine fever virus,NA,NA,NA,NA,NA,1,9,3
Agarivorans,1,NA,1,NA,NA,NA,NA,NA
Agarivorans gilvus,334,211,160,263,240,134,94,175
Aggregatibacter,NA,NA,NA,NA,1,4,1,NA
Aggregatibacter actinomycetemcomitans,99,94,109,111,132,242,227,193
Aggregatibacter aphrophilus,259,218,163,273,239,240,207,239
Agrobacterium,29,64,56,59,16,15,9,20
Agrobacterium fabrum,656,829,673,894,483,404,348,573
Agrobacterium tumefaciens,543,760,658,840,367,364,295,530
Agrobacterium sp. RAC06,585,520,387,551,419,266,251,325
Agrobacterium tumefaciens,1660,1905,1651,1996,1316,1001,850,1278
Agrobacterium vitis,421,527,484,592,270,319,303,424
Agromyces,2,5,3,1,2,1,NA,2
Agromyces sp. AR33,401,584,688,539,210,222,263,330
Agropyron mosaic virus,NA,1,NA,NA,NA,NA,NA,NA
Agrotis ipsilon multiple nucleopolyhedrovirus,1,NA,NA,NA,1,4,4,1
Agrotis segetum granulovirus,NA,NA,1,NA,1,1,NA,NA
Agrotis segetum nucleopolyhedrovirus,1,NA,NA,1,1,NA,3,2
Agrotis segetum nucleopolyhedrovirus B,1,NA,NA,NA,NA,NA,NA,1
Akkermansia,NA,3,1,1,NA,NA,NA,NA
Akkermansia glycaniphila,394,522,538,498,275,376,345,433
Akkermansia muciniphila,1074,870,894,832,74642,193217,74458,118953
Akkermansiaceae,4,3,NA,4,3,4,NA,1
Alcaligenaceae,13,14,18,15,4,9,7,10
Alcaligenes,6,4,2,2,1,5,2,2
Alcaligenes faecalis,373,326,243,404,339,211,233,250
Alcanivoracaceae,9,10,5,6,3,5,3,5
Alcanivorax,10,17,11,16,1,8,10,5
Alcanivorax borkumensis,70,52,48,68,57,98,117,82
Alloalcanivorax dieselolei,441,475,441,483,374,258,251,329
Isoalcanivorax pacificus,360,411,432,442,282,249,256,322
Alcanivorax sp. NBRC 101098,72,52,48,67,55,96,111,76
Alcelaphine gammaherpesvirus 1,NA,NA,NA,NA,NA,1,2,1
Alcelaphine herpesvirus 2,NA,NA,NA,NA,1,NA,1,NA
Algerian watermelon mosaic virus,NA,1,NA,1,NA,NA,NA,NA
Algibacter alginolytica,440,328,188,312,434,318,326,293
Algoriphagus sp. M8-2,558,467,366,462,568,305,298,384
Alicycliphilus,58,19,15,27,48,9,1,14
Alicycliphilus denitrificans,898,1051,977,1040,750,509,899,745
Alicyclobacillaceae,1,NA,NA,NA,NA,NA,1,1
Alicyclobacillus,NA,NA,1,NA,NA,NA,NA,NA
Alicyclobacillus acidocaldarius,502,662,771,668,350,419,403,494
Aliivibrio,1,NA,NA,NA,NA,NA,NA,NA
Aliivibrio fischeri,243,170,93,168,311,292,246,218
Aliivibrio salmonicida,240,128,71,131,252,189,183,143
Aliivibrio wodanis,117,143,100,161,150,241,203,194
Alistipes,8,8,2,NA,5,4,1,3
Alistipes finegoldii,52424,68781,101591,47459,78371,151531,149594,122474
Alkalilimnicola,2,4,2,6,2,1,2,NA
Alkalilimnicola ehrlichii,543,667,513,728,390,235,225,358
Alkaliphilus metalliredigens,234,246,277,305,408,646,725,572
Alkaliphilus oremlandii,196,240,307,329,341,632,577,538
Allium virus X,11,18,11,19,11,NA,1,6
Allochromatium,14,8,NA,6,10,5,NA,4
Allochromatium vinosum,414,554,561,588,286,295,345,378
Allofrancisella guangzhouensis,156,92,43,90,183,88,75,81
alpha proteobacterium HIMB5,24,40,40,51,22,73,100,66
alpha proteobacterium HIMB59,4,6,2,3,33,81,87,45
Alphaproteobacteria,2,5,4,2,NA,1,1,4
Altererythrobacter,100,79,51,98,79,33,6,44
Altererythrobacter atlanticus,380,434,381,481,242,200,203,302
Altererythrobacter dongtanensis,280,307,358,275,227,138,134,184
Altererythrobacter epoxidivorans,193,233,275,246,159,126,109,146
Altererythrobacter ishigakiensis,153,141,101,119,203,122,107,92
Altererythrobacter marensis,151,183,241,185,126,143,147,169
Altererythrobacter namhicola,255,294,303,275,180,172,182,223
Alteromonadaceae,9,13,5,7,3,3,3,7
Alteromonadales,NA,NA,NA,NA,NA,2,2,1
Alteromonas,1,NA,1,NA,4,14,5,8
Alteromonas stellipolaris,193,166,137,174,191,163,136,163
Alteromonas australica,52,47,39,60,85,138,136,98
Alteromonas macleodii,477,311,200,346,564,332,346,296
Alteromonas mediterranea,492,352,264,395,454,215,201,224
Alteromonas naphthalenivorans,129,79,77,91,125,89,112,91
Alteromonas phage vB_AmaP_AD45-P1,NA,NA,NA,NA,NA,NA,NA,2
Alteromonas sp. Mac1,268,193,163,201,235,152,138,157
Alteromonas stellipolaris,377,241,165,267,332,173,188,189
Amapar mammarenavirus,NA,NA,NA,NA,NA,1,NA,1
Aminobacter,13,10,2,8,11,6,2,8
Aminobacter aminovorans,734,865,846,936,463,348,344,598
Aminobacterium,NA,NA,NA,1,NA,NA,NA,NA
Aminobacterium colombiense,209,244,251,279,150,159,122,196
Ammonifex degensii,324,498,418,627,182,191,153,269
Amphibacillus xylanus,312,354,378,307,447,576,578,507
Amsacta moorei entomopoxvirus,NA,NA,NA,NA,NA,5,11,1
Amycolatopsis,58,44,12,30,44,9,8,12
Amycolatopsis japonica,314,358,411,329,223,255,245,294
Amycolatopsis mediterranei,640,748,750,720,474,397,413,545
Amycolatopsis methanolica,413,602,582,592,216,280,350,351
Amycolatopsis orientalis,569,798,945,697,376,482,547,633
Anabaena,NA,NA,NA,NA,NA,NA,NA,2
Anabaena cylindrica,77,110,123,138,109,191,184,172
Anabaena sp. 90,249,252,221,328,173,186,159,205
Anabaena sp. wa102,157,154,150,171,150,140,155,150
Acetomicrobium mobile,87,122,117,135,41,92,78,95
Anaerococcus prevotii,535,665,473,723,560,720,1273,823
Anaerolinea,NA,NA,NA,1,NA,NA,NA,NA
Anaerolinea thermophila,362,410,352,440,257,220,169,257
Anaerolineaceae,NA,NA,1,NA,NA,NA,NA,1
Anaerolineaceae bacterium oral taxon 439,143,208,197,223,122,249,238,233
Anaeromyxobacter,7,10,12,12,5,4,6,15
Anaeromyxobacter dehalogenans,965,1197,1307,1228,612,613,761,830
Anaeromyxobacter sp. Fw109-5,460,520,572,535,346,325,355,441
Anaeromyxobacter sp. K,418,557,705,574,225,325,469,434
Anaeromyxobacteraceae,6,9,1,7,2,NA,4,NA
Anaplasma centrale,109,86,57,76,126,38,36,39
Anaplasma marginale,105,96,73,121,112,38,21,42
Anaplasma phagocytophilum,47,80,47,60,42,52,42,67
Anaplasmataceae,1,NA,NA,NA,NA,1,NA,NA
Anatid herpesvirus 1,NA,NA,NA,NA,NA,1,1,NA
Aneurinibacillus,NA,NA,NA,NA,NA,2,NA,NA
Aneurinibacillus sp. XH2,665,434,292,494,717,381,400,409
Anguillid herpesvirus 1,NA,NA,NA,NA,NA,3,1,1
Anomala cuprea entomopoxvirus,NA,3,1,NA,1,14,24,7
Anopheles minimus irodovirus,NA,NA,NA,1,NA,2,5,1
Anoxybacillus,NA,NA,NA,NA,NA,1,NA,NA
Anoxybacillus amylolyticus,175,115,115,137,243,350,246,250
Anoxybacillus flavithermus,14,34,35,31,85,229,208,169
Anoxybacillus gonensis,112,84,62,78,180,278,269,231
Anoxybacillus sp. B2M1,92,116,133,150,168,379,289,300
Anoxybacillus sp. B7M1,106,131,177,166,176,442,321,318
Aotine herpesvirus 1,NA,1,NA,1,NA,NA,4,NA
Apocheima cinerarium nucleopolyhedrovirus,NA,NA,NA,NA,NA,NA,1,1
Capillovirus mali,NA,NA,1,NA,NA,NA,NA,NA
Aquifex aeolicus,112,65,31,73,150,72,66,83
Arabis mosaic virus,NA,NA,NA,NA,2,4,NA,1
Arachidicoccus sp. BS20,604,465,266,448,661,436,459,498
Arcanobacterium,NA,1,NA,2,3,NA,NA,NA
Arcanobacterium haemolyticum,249,223,161,232,232,143,114,157
Archaeal BJ1 virus,NA,NA,NA,NA,NA,NA,1,1
Archaeoglobus fulgidus,61,22,15,32,47,34,28,33
Archaeoglobus profundus,34,33,51,50,19,53,39,45
Archaeoglobus sulfaticallidus,84,29,15,46,107,56,50,58
Archaeoglobus veneficus,80,83,50,83,79,52,34,68
Archangium,1,3,2,4,NA,NA,NA,3
Archangium gephyra,857,1064,989,1176,595,479,569,715
Arcobacter,NA,NA,NA,NA,NA,1,NA,1
Aliarcobacter butzleri,33,46,66,69,138,314,325,251
Arcobacter nitrofigilis,133,95,42,92,190,224,228,185
Arcobacter sp. L,38,52,52,65,125,230,229,212
Armadillidium vulgare iridescent virus,127,78,33,60,114,15,7,17
Aromatoleum aromaticum,365,322,260,293,324,170,213,233
Arsenicicoccus,1,NA,NA,NA,2,1,1,2
Arsenicicoccus sp. oral taxon 190,200,291,368,321,109,159,230,252
Arsenophonus symbiont of Lipoptena fortisetosa,2,2,2,1,14,42,45,21
Arthrobacter,10,26,20,17,8,6,16,11
Arthrobacter alpinus,659,720,664,752,494,295,281,437
Arthrobacter phage BarretLemon,NA,NA,NA,NA,NA,4,1,1
Arthrobacter phage Kitkat,NA,NA,NA,NA,NA,1,NA,NA
Arthrobacter phage Mudcat,NA,NA,NA,NA,NA,1,1,NA
Arthrobacter phage vB_ArS-ArV2,4,5,15,7,2,NA,NA,2
Arthrobacter sp. A3,429,391,287,494,429,235,184,288
Arthrobacter sp. ATCC 21022,229,311,342,331,144,189,206,208
Arthrobacter sp. ERGS1:01,417,560,611,667,223,277,267,373
Arthrobacter sp. FB24,393,542,508,600,198,195,183,368
Arthrobacter sp. IHBB 11108,271,271,243,338,242,156,133,205
Arthrobacter sp. LS16,574,665,572,753,336,249,232,381
Arthrobacter sp. PAMC 25486,429,492,457,418,340,216,206,276
Arthrobacter sp. Rue61a,347,377,399,425,212,148,142,256
Arthrobacter sp. U41,505,513,451,601,363,237,226,362
Arthrobacter sp. YC-RL1,570,721,636,809,345,260,257,465
Arthrobacter sp. ZXY-2,507,501,470,503,399,234,248,283
Asaia,NA,1,2,NA,NA,NA,NA,NA
Asaia bogorensis,363,397,256,426,284,171,157,220
Asparagus virus 1,NA,NA,NA,1,NA,NA,NA,NA
Aster yellows witches'-broom phytoplasma,1,5,1,1,16,66,57,52
Asticcacaulis,1,5,6,4,2,2,1,2
Asticcacaulis excentricus,453,612,450,682,356,244,202,304
Ateline herpesvirus 3,NA,NA,NA,NA,NA,1,NA,NA
Atopobiaceae,3,1,NA,1,1,NA,NA,NA
Lancefieldella parvula,806,1082,1433,799,508,485,421,661
Aurantimonadaceae,5,6,4,2,NA,NA,1,1
Aurantimonas phage AmM-1,NA,NA,NA,NA,NA,NA,4,NA
Aureimonas,9,7,10,8,9,NA,NA,3
Aureimonas sp. AU20,355,453,512,398,266,229,282,326
Aureococcus anophagefferens virus,1,NA,NA,1,1,2,3,3
