species,Healthy_stool_10_1_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_50_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_100_noerr,Healthy_stool_100_50_noerr
Actinomyces oris,26,39,36,36,9,18,21,24
Actinomyces radicidentis,19,61,61,29,14,20,20,34
Actinomyces sp. oral taxon 414,45,57,62,53,7,20,32,31
Actinomyces sp. VUL4_3,13,22,12,11,8,9,7,11
Actinoplanes,NA,1,NA,3,NA,NA,NA,1
Actinoplanes friuliensis,46,63,62,48,28,36,32,43
Actinoplanes missouriensis,52,51,80,53,33,31,31,36
Actinoplanes sp. N902-109,64,77,84,62,35,30,50,44
Actinoplanes sp. SE50/110,49,58,59,57,37,31,47,28
Actinosynnema mirum,49,75,87,91,46,32,39,45
Actinotignum schaalii,12,22,19,19,12,8,10,14
Adlercreutzia,NA,NA,NA,NA,NA,NA,1,NA
Adlercreutzia equolifaciens,289,419,534,325,1069,2627,8539,3795
Adoxophyes honmai entomopoxvirus 'L',6,9,3,3,6,NA,1,2
Adoxophyes orana granulovirus,NA,NA,NA,NA,NA,NA,1,NA
Advenella kashmirensis,15,29,32,35,10,17,16,23
Advenella mimigardefordensis,14,18,17,14,10,11,12,19
Aequorivita sublithincola,20,11,9,15,26,27,29,26
Aerococcus,NA,NA,NA,1,NA,NA,NA,NA
Aerococcus christensenii,18,18,15,24,25,38,31,36
Aerococcus sanguinicola,7,11,7,17,7,13,13,12
Aerococcus urinae,10,8,5,10,5,21,24,30
Aerococcus urinaeequi,34,16,12,23,32,26,20,25
Aerococcus urinaehominis,14,7,2,10,24,22,17,15
Aerococcus viridans,4,2,4,6,12,26,31,18
Aeromicrobium,7,1,NA,2,3,1,NA,NA
Aeromicrobium erythreum,33,42,56,23,26,15,25,21
Aeromonas,2,2,NA,1,4,2,5,7
Aeromonas hydrophila,224,287,256,294,155,158,203,241
Aeromonas media,42,43,35,48,33,30,26,35
Aeromonas phage phiAS4,NA,NA,NA,NA,NA,1,NA,NA
Aeromonas phage phiAS5,NA,NA,1,NA,1,NA,NA,1
Aeromonas phage PX29,1,2,NA,1,1,NA,NA,1
Aeromonas salmonicida,60,72,47,57,41,37,31,47
Aeromonas schubertii,45,54,61,59,24,24,40,49
Aeromonas veronii,100,112,112,125,111,153,254,197
Aeromonas virus 31,NA,NA,NA,2,NA,NA,1,NA
Biquartavirus 44RR2,NA,NA,NA,2,NA,NA,1,NA
African swine fever virus,NA,NA,NA,NA,NA,NA,3,1
Agarivorans gilvus,19,17,12,17,18,8,8,11
Aggregatibacter actinomycetemcomitans,8,10,7,11,5,19,26,18
Aggregatibacter aphrophilus,16,15,19,28,20,17,23,25
Agrobacterium,4,9,5,NA,2,2,1,1
Agrobacterium fabrum,46,54,49,55,40,39,35,41
Agrobacterium tumefaciens,47,51,42,57,23,25,29,37
Agrobacterium sp. RAC06,49,40,31,40,28,27,29,21
Agrobacterium tumefaciens,146,138,133,159,110,82,84,101
Agrobacterium vitis,23,43,25,42,20,21,26,36
Agromyces,NA,NA,1,NA,NA,NA,NA,NA
Agromyces sp. AR33,22,49,61,46,20,16,22,27
Agrotis ipsilon multiple nucleopolyhedrovirus,NA,NA,NA,NA,NA,1,1,NA
Agrotis segetum granulovirus,NA,NA,NA,NA,NA,1,NA,NA
Agrotis segetum nucleopolyhedrovirus,NA,NA,NA,NA,NA,NA,1,NA
Akkermansia glycaniphila,31,40,53,30,22,28,33,44
Akkermansia muciniphila,75,63,84,72,7410,19435,7370,11893
Akkermansiaceae,NA,NA,NA,3,1,NA,NA,NA
Alcaligenaceae,NA,NA,2,3,1,NA,NA,1
Alcaligenes,1,NA,NA,NA,NA,NA,3,1
Alcaligenes faecalis,24,30,22,32,27,24,27,24
Alcanivoracaceae,1,NA,1,1,1,NA,NA,NA
Alcanivorax,1,1,2,1,1,2,4,2
Alcanivorax borkumensis,2,6,4,5,3,11,11,5
Alloalcanivorax dieselolei,56,41,36,41,37,21,17,31
Isoalcanivorax pacificus,42,33,34,34,22,22,29,30
Alcanivorax sp. NBRC 101098,2,6,4,5,3,11,12,5
Algibacter alginolytica,28,20,15,25,25,34,30,22
Algoriphagus sp. M8-2,49,35,40,40,43,24,20,30
Alicycliphilus,3,3,NA,1,2,NA,NA,2
Alicycliphilus denitrificans,71,89,101,81,91,48,113,76
Alicyclobacillaceae,NA,NA,NA,NA,NA,NA,NA,1
Alicyclobacillus acidocaldarius,28,58,56,63,27,46,34,38
Aliivibrio fischeri,20,13,13,13,27,26,21,17
Aliivibrio salmonicida,12,9,6,7,22,11,14,9
Aliivibrio wodanis,4,9,12,15,12,22,17,18
Alistipes,1,NA,NA,NA,NA,NA,NA,1
Alistipes finegoldii,3655,4909,7380,3521,6164,12425,12674,9903
Alkalilimnicola,NA,NA,NA,1,NA,NA,NA,NA
Alkalilimnicola ehrlichii,40,37,37,54,39,15,21,24
Alkaliphilus metalliredigens,19,9,24,21,36,59,63,57
Alkaliphilus oremlandii,14,17,19,26,33,64,46,55
Allium virus X,2,2,NA,5,1,NA,NA,NA
Allochromatium,NA,NA,NA,NA,NA,NA,NA,1
Allochromatium vinosum,22,53,50,53,22,25,30,35
Allofrancisella guangzhouensis,17,5,4,7,13,6,7,8
alpha proteobacterium HIMB5,4,2,1,3,2,6,6,7
alpha proteobacterium HIMB59,NA,NA,NA,NA,1,11,10,6
Alphaproteobacteria,NA,1,NA,NA,NA,NA,NA,NA
Altererythrobacter,9,10,1,3,3,NA,NA,3
Altererythrobacter atlanticus,30,40,23,29,19,15,15,33
Altererythrobacter dongtanensis,31,23,24,27,23,15,19,14
Altererythrobacter epoxidivorans,19,20,28,17,11,10,10,17
Altererythrobacter ishigakiensis,8,9,8,7,16,12,7,7
Altererythrobacter marensis,10,19,19,23,5,14,11,20
Altererythrobacter namhicola,22,24,24,21,15,18,15,17
Alteromonadaceae,1,NA,1,1,1,NA,NA,1
Alteromonas,NA,NA,NA,NA,NA,NA,NA,2
Alteromonas stellipolaris,15,8,18,15,9,13,11,12
Alteromonas australica,7,3,4,4,6,13,14,10
Alteromonas macleodii,46,33,21,34,45,39,42,31
Alteromonas mediterranea,33,29,19,30,32,26,29,19
Alteromonas naphthalenivorans,11,6,6,9,7,4,12,2
Alteromonas sp. Mac1,23,11,20,17,13,13,11,11
Alteromonas stellipolaris,34,22,19,21,22,13,18,16
Aminobacter,NA,NA,NA,NA,NA,NA,NA,1
Aminobacter aminovorans,47,77,68,83,36,24,33,45
Aminobacterium colombiense,14,19,16,15,11,11,17,8
Ammonifex degensii,17,29,30,48,15,20,10,15
Amphibacillus xylanus,23,25,30,26,44,41,45,38
Amsacta moorei entomopoxvirus,NA,NA,NA,NA,NA,1,NA,NA
Amycolatopsis,7,2,1,1,3,2,1,NA
Amycolatopsis japonica,29,35,41,24,20,25,24,23
