species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Actinobacteria bacterium IMCC26256,30,14,16,19,17,10,3,13
Actinomyces,1,3,2,3,1,NA,NA,1
Actinomyces meyeri,33,24,36,20,15,12,20,20
Actinomyces oris,32,69,44,59,17,23,28,35
Actinomyces radicidentis,23,64,67,38,20,21,27,33
Actinomyces sp. oral taxon 414,54,66,76,60,12,25,34,31
Actinomyces sp. VUL4_3,25,33,18,13,11,12,9,14
Actinomycetaceae,1,NA,NA,NA,NA,NA,NA,NA
Actinomycetales,NA,NA,1,NA,NA,NA,NA,NA
Actinoplanes,NA,2,NA,1,1,NA,NA,NA
Actinoplanes friuliensis,60,75,59,56,39,39,44,49
Actinoplanes missouriensis,58,56,95,53,40,32,34,40
Actinoplanes sp. N902-109,77,94,104,75,51,35,53,47
Actinoplanes sp. SE50/110,65,67,71,67,50,32,44,33
Actinosynnema mirum,49,87,91,90,42,33,32,52
Actinotignum schaalii,18,25,31,27,19,12,13,19
Adlercreutzia,NA,NA,NA,NA,NA,NA,NA,1
Adlercreutzia equolifaciens,324,490,567,381,1093,2648,8673,3832
Adoxophyes honmai entomopoxvirus 'L',5,9,2,3,6,NA,1,2
Adoxophyes honmai nucleopolyhedrovirus,NA,NA,NA,NA,NA,NA,1,NA
Adoxophyes orana granulovirus,NA,1,NA,NA,NA,NA,1,NA
Adoxophyes orana nucleopolyhedrovirus,NA,NA,NA,NA,NA,NA,1,NA
Advenella kashmirensis,22,38,40,43,14,22,16,22
Advenella mimigardefordensis,14,22,24,19,10,15,14,21
Aequorivita sublithincola,34,12,10,19,32,31,28,27
Aerococcus,NA,NA,1,NA,NA,NA,NA,NA
Aerococcus christensenii,18,24,19,40,30,41,43,40
Aerococcus sanguinicola,9,11,9,15,8,16,14,14
Aerococcus urinae,12,13,8,12,10,29,36,37
Aerococcus urinaeequi,47,23,13,25,37,30,23,34
Aerococcus urinaehominis,15,6,2,11,22,29,16,19
