"","TPR","FPR"
"abundance_cols.healthy_stool_10_1",0.516273849607183,0.00224633178798451
"abundance_cols.healthy_stool_10_10",0.52027027027027,0.00205554758831684
"abundance_cols.healthy_stool_10_100",0.514124293785311,0.00234169653524492
"abundance_cols.healthy_stool_10_50",0.522033898305085,0.00215094880741838
