"","TP","TN","FP","FN","TPR","FPR"
"abundance_cols.Healthy_stool_100_100_noerr",71,19396,67,428,0.142284569138277,0.00344242922468273
"abundance_cols.Healthy_stool_100_10_noerr",68,19396,61,431,0.13627254509018,0.00313511846636172
"abundance_cols.Healthy_stool_100_1_noerr",62,19396,62,437,0.124248496993988,0.00318635008736766
"abundance_cols.Healthy_stool_100_50_noerr",65,19396,66,434,0.130260521042084,0.00339122392354332
"abundance_cols.Healthy_stool_10_100_noerr",27,19396,40,472,0.0541082164328657,0.00205803663305207
"abundance_cols.Healthy_stool_10_10_noerr",28,19396,49,471,0.0561122244488978,0.00251992800205708
"abundance_cols.Healthy_stool_10_1_noerr",27,19396,50,472,0.0541082164328657,0.00257122287359868
"abundance_cols.Healthy_stool_10_50_noerr",28,19396,44,471,0.0561122244488978,0.00226337448559671
