"","abundance_cols.Healthy_stool_100_100_noerr","abundance_cols.Healthy_stool_100_10_noerr","abundance_cols.Healthy_stool_100_1_noerr","abundance_cols.Healthy_stool_100_50_noerr","abundance_cols.Healthy_stool_10_100_noerr","abundance_cols.Healthy_stool_10_10_noerr","abundance_cols.Healthy_stool_10_1_noerr","abundance_cols.Healthy_stool_10_50_noerr"
"RRMSE",335.919110712626,407.103503880178,448.360571660639,460.517886024037,800.225671736968,834.847275697154,810.978290343833,943.634057145968
"AVGRE",95.247905984174,94.6053051253574,89.5200968672848,95.908846309985,91.5689069234638,90.9965765944944,89.0237492306186,88.0125737557916
"NRMSE",1459.6109641267,1414.20337695102,1126.37250410939,1432.30953246051,1653.53907127587,1528.45391107259,1218.29262005769,1549.62806219899
