TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
1211819,Holdemania massiliensis,384,4.38208694151785e-05,433.7,4.94953335502565e-05,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania massiliensis,Clostridium,26,Clostridium sp. M62/1,30,12,0,0,1,1,FALSE
435591,Parabacteroides distasonis,990.94699481999,0.000113083747024402,1531.35954904648,0.000174756703695528,0,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Phocaeicola,28,Parabacteroides distasonis,32,6,0.96,0.96,1,1,TRUE
0,unknown genome; accession ID isNZ_DS480350.1,326,3.72020922639276e-05,326.9,3.73047647014955e-05,0,0,0,0,0,0,0,Janthinobacterium,4,Janthinobacterium sp. HH102,4,1,0,0,1,0,FALSE
1121094,Phocaeicola barnesiae,325,3.70879754164923e-05,355.7,4.05927895911528e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,Bacteroides,48,Bacteroides fragilis,26,7,0,1,1,1,FALSE
1121101,Bacteroides salyersiae,303,3.45774047729143e-05,303,3.45761231315849e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,Phocaeicola,33,Phocaeicola dorei,36,6,0.12,0.46,1,1,FALSE
3158780,Ruminococcus sp. YE282,295,3.36644699934314e-05,295,3.36625658699472e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp. YE282,0,0,0,0,0,0,0,0,0,FALSE
1236513,Bacteroides faecichinchillae,265,3.02409645703706e-05,265,3.0246453218292e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecichinchillae,Phocaeicola,32,Phocaeicola dorei,33,7,0,0.66,1,1,FALSE
1550024,Ruthenibacterium lactatiformans,224,2.55621738255208e-05,224.1,2.55766861326902e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruthenibacterium,Ruthenibacterium lactatiformans,Faecalibacterium,41,Faecalibacterium prausnitzii,38,18,0,0,1,1,FALSE
536231,Roseburia intestinalis,218.247342995169,2.49056987437526e-05,385.633623188406,4.40078275619153e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Faecalibacterium,31,Roseburia intestinalis,37,17,0.8,0.8,1,1,TRUE
1650661,Clostridium phoceensis,191,2.17963178601539e-05,244.2,2.78692442824175e-05,0,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium phoceensis,Faecalibacterium,36,Faecalibacterium prausnitzii,33,4,0,0,1,1,FALSE
1123313,Faecalicoccus pleomorphus,187,2.13398504704125e-05,279.1,3.18489531744331e-05,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,Faecalicoccus pleomorphus,Clostridioides,22,Clostridioides difficile,22,16,0,0,1,1,FALSE
