TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
435590,Phocaeicola vulgatus,2414115.3891373,0.306428378473166,2359245.99805163,0.299463707423816,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Phocaeicola,49,Phocaeicola vulgatus,41,3,0.92,1,0.62,0.12,TRUE
537011,Segatella copri,2366294,0.30035831620704,2366313.5,0.300360793137172,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,Segatella,48,Segatella copri,47,5,1,1,0.24,0.14,TRUE
411479,Bacteroides uniformis,1658983.55051498,0.210578020249324,1713175.61940121,0.217456733109132,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides,50,Bacteroides uniformis,47,4,1,1,0.86,0.06,TRUE
515619,Agathobacter rectalis,464045.856456044,0.0589022463345598,463645.695879121,0.0588514575380015,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter,49,Agathobacter rectalis,49,5,0.98,0.98,1,0.12,TRUE
411903,Collinsella aerofaciens,273837.166666667,0.0347586860698234,273820.533333333,0.0347565775194145,0,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella,49,Collinsella aerofaciens,48,4,0.98,0.98,0.26,0.12,TRUE
445970,Alistipes putredinis,267958,0.0340124319692337,268018,0.0340200505196464,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes,7,uncultured organism,6,17,0,0.769230769230769,1,0.461538461538462,FALSE
367928,Bifidobacterium adolescentis,255438.033333333,0.0324232481624167,255397.686666667,0.0324181344628705,0,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium,50,Bifidobacterium adolescentis,48,3,1,1,0.48,0.02,TRUE
411483,Faecalibacterium duncaniae,140299.154532967,0.0178084455358435,140197.88543956,0.0177955991925017,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium duncaniae,Faecalibacterium,49,Faecalibacterium prausnitzii,47,12,0.92,1,1,0.22,TRUE
411461,Dorea formicigenerans,6784,0.000861106361740577,5782.1,0.000733938024777808,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea formicigenerans,Faecalibacterium,20,Coprococcus comes,26,35,0.66,0.72,1,1,TRUE
536231,Roseburia intestinalis,7195.31318681319,0.000913315147388074,6860.98538461539,0.000870883774719551,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Roseburia,32,Roseburia intestinalis,28,18,0.84,0.897959183673469,1,1,TRUE
