"","abundance_cols.healthy_stool_10_1","abundance_cols.healthy_stool_10_10","abundance_cols.healthy_stool_10_100","abundance_cols.healthy_stool_10_50","abundance_cols.healthy_stool_100_1","abundance_cols.healthy_stool_100_10","abundance_cols.healthy_stool_100_100","abundance_cols.healthy_stool_100_50"
"RRMSE",1140.37071729552,792.936444264886,706.41988947792,857.58419918576,1081.36989780302,298.634572693279,234.540274580155,343.31905446306
"AVGRE",278.015298464881,475.796417842198,473.340183095849,181.675900169323,79.3970973182065,91.4934090666331,91.4251688703131,91.3976894359261
"NRMSE",1796.37550789155,1789.19204993207,1796.10811292943,1792.84646689351,1687.1803236144,1686.70513579151,1776.17598619454,1652.45661418159
