"","abundance_cols.healthy_stool_10_1_noerr","abundance_cols.healthy_stool_10_10_noerr","abundance_cols.healthy_stool_10_100_noerr","abundance_cols.healthy_stool_10_50_noerr","abundance_cols.healthy_stool_100_1_noerr","abundance_cols.healthy_stool_100_10_noerr","abundance_cols.healthy_stool_100_100_noerr","abundance_cols.healthy_stool_100_50_noerr"
"RRMSE",1408.06297891729,1045.44994832893,955.755587116908,1121.0379087918,1564.25790000431,472.291150259751,364.544622433124,605.196636916373
"AVGRE",200.041999211961,171.271720973162,224.912819148646,150.748998150823,95.9715674801456,97.440090872367,97.0571295882301,97.3704719176282
"NRMSE",18064.5848244038,17393.6212838555,17103.8529332707,17125.3123027338,15341.8510299448,13955.0660569159,12924.1039225465,13803.1143611826
