"","TPR","FPR"
"abundance_cols.healthy_stool_10_1",0.579139981701738,0.000722195474241695
"abundance_cols.healthy_stool_10_10",0.577243293246994,0.00105886316600087
"abundance_cols.healthy_stool_10_100",0.578413284132841,0.000914604794454607
"abundance_cols.healthy_stool_10_50",0.577634011090573,0.00101078167115903
"abundance_cols.healthy_stool_100_1",0.571428571428571,0.00269088462832156
"abundance_cols.healthy_stool_100_10",0.553899082568807,0.00412648145482462
"abundance_cols.healthy_stool_100_100",0.555291319857313,0.00474729068763786
"abundance_cols.healthy_stool_100_50",0.555940023068051,0.00426981385530608
