species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_50
Capnocytophaga cynodegmi,0,0,0,0,0,1
Carnobacterium gallinarum,0,0,0,0,0,1
Carnobacterium jeotgali,0,0,0,0,1,1
Carnobacterium maltaromaticum,0,0,0,0,7,36
Carnobacterium mobile,0,0,0,0,0,1
Cedecea neteri,0,0,0,0,5,60
Cellulomonas carbonis,28,35,82,23,17,24
Christensenella minuta,0,0,0,0,104,491
Christensenella timonensis,58,138,36,83,8,5
Clostridioides difficile,0,0,0,0,96,198
[Clostridium] aminophilum,0,0,0,0,19,39
Clostridium disporicum,0,0,0,0,0,1
Clostridium lundense,18,26,78,16,6,10
Clostridium phoceensis,428,699,818,1290,406,519
[Clostridium] scindens,0,1,0,2,10,34
[Clostridium] symbiosum,158,167,400,198,122,465
Collinsella aerofaciens,303117,455998,708989,273752,130279,209630
Collinsella bouchesdurhonensis,0,0,0,0,58,210
Collinsella ihumii,11,24,35,16,5,8
Collinsella tanakaei,0,0,0,0,1,0
Comamonas composti,0,0,0,0,1,1
Comamonas kerstersii,0,0,0,0,2,8
Comamonas testosteroni,0,0,0,0,0,21
Coprobacter fastidiosus,25,33,77,24,18,71
Coprococcus eutactus,595,846,1162,1108,53372,81989
Corynebacterium accolens,0,0,0,0,1,0
Corynebacterium imitans,0,0,0,0,2,0
Corynebacterium lipophiloflavum,0,0,0,0,1,2
Crocosphaera watsonii,0,0,0,0,0,1
Cronobacter sakazakii,0,0,0,0,32,73
Cuauhtlivirus mEpX1,0,0,0,0,24,45
Culturomica massiliensis,0,0,0,0,142,311
Cupriavidus basilensis,0,0,0,0,193,739
Cupriavidus metallidurans,0,0,0,0,11956,45386
Cupriavidus necator,0,0,0,0,2,3
Cupriavidus pauculus,0,0,0,0,0,9
Dakarella massiliensis,0,4,0,0,0,0
Dechloromonas agitata,0,0,0,0,7,2
Delftia acidovorans,0,0,0,0,0,6
Denitrobacterium detoxificans,0,0,0,0,0,5
Desulfitobacterium dichloroeliminans,0,0,0,0,79,111
Desulfovibrio piger,0,0,0,0,2686,10382
Dialister invisus,0,0,0,0,4559,17178
Dialister succinatiphilus,0,0,0,0,109,221
Diaphorobacter nitroreducens,0,0,0,0,0,1
Dickeya parazeae,0,0,0,0,2,24
Dickeya solani,0,0,0,0,7,6
Diegovirus dv7502Stx,0,0,0,0,7,10
Diegovirus POCJ13,0,0,0,0,1,1
Dielma fastidiosa,0,0,0,0,1,0
Dorea formicigenerans,12,19,22,31,23761,53608
Dorea longicatena,0,0,0,0,73599,125033
Edwardsiella anguillarum,0,0,0,0,24,414
Eggerthella lenta,0,0,0,0,5095,20223
Eisenbergiella tayi,0,0,0,0,10,53
Emergencia timonensis,0,0,0,0,456,834
Enorma massiliensis,0,0,4,0,0,0
Enterobacter hormaechei,0,0,0,0,73,274
Enterobacter kobei,0,0,0,0,10,48
[Enterobacter] lignolyticus,0,0,0,0,157,658
Enterobacteria phage cdtI,0,0,0,0,27,36
Enterobacteria phage mEp237,0,0,0,0,0,1
Enterobacteria phage mEp460,0,0,0,0,188,305
Enterobacteria phage SfI,0,0,0,0,5,7
Enterobacteria phage SfV,0,0,0,0,0,1
Enterocloster asparagiformis,0,0,0,0,30,120
Enterocloster bolteae,0,0,0,2,221,540
Enterocloster citroniae,2,11,9,13,26,49
Enterococcus asini,0,0,0,0,0,4
Enterococcus casseliflavus,0,0,0,0,28,113
Enterococcus cecorum,9,28,81,19,20,45
Enterococcus dispar,0,0,0,0,0,1
Enterococcus faecalis,0,0,0,0,31,125
Enterococcus faecium,0,0,0,0,3859,14586
Enterococcus gilvus,0,0,0,0,98,190
Enterococcus hirae,0,0,0,0,21,62
Enterococcus italicus,0,0,0,0,16,9
Enterococcus malodoratus,0,0,0,0,3,18
Enterococcus massiliensis,0,0,0,0,1,8
Enterococcus mundtii,0,0,0,0,0,4
Enterococcus pallens,0,0,0,0,7,22
Enterococcus saccharolyticus,0,0,0,0,1,0
Enterococcus thailandicus,0,0,0,0,1,3
Entomohabitans teleogrylli,0,0,0,0,7,17
Erwinia mallotivora,0,0,0,0,0,3
Erwinia oleae,0,0,0,0,36,164
Erwinia tracheiphila,0,0,0,0,17,46
Escherichia phage TL-2011b,0,0,0,0,0,1
Escherichia Stx1 converting phage,0,0,0,0,26,51
Escherichia virus DE3,0,0,0,0,0,12
Eshraghiella crossota,383,605,625,336,33732,55583
Ethanoligenens harbinense,2,8,7,9,2,3
Eubacterium coprostanoligenes,15,35,17,47,8,20
Eubacterium oxidoreducens,0,0,0,0,6,10
Eubacterium pyruvativorans,0,1,1,0,0,0
Eubacterium ramulus,6,8,6,7,8419,33193
Eubacterium ruminantium,0,0,0,0,0,1
Eubacterium uniforme,0,0,0,0,1,0
Eubacterium ventriosum,27,50,82,73,6287,21362
Ezakiella massiliensis,0,0,0,0,3,19
Facklamia hominis,0,0,0,0,1,0
Facklamia languida,0,0,0,0,0,3
Faecalibacterium duncaniae,89648,134169,100519,179622,42671,68073
Faecalibaculum rodentium,0,0,0,0,1,1
Faecalicatena contorta,3328,4995,3205,5707,947,1070
Faecalicoccus pleomorphus,43,57,273,262,10,20
Falseniella ignava,0,0,0,0,2,44
Felsduovirus RE2010,0,0,0,0,2,0
Fenollaria massiliensis,0,0,0,0,0,1
Fenollaria timonensis,0,0,0,0,0,1
Finegoldia magna,0,0,0,0,1051,3858
Flavobacterium indicum,0,0,0,0,0,1
Flavonifractor plautii,4,8,9,16,10254,36563
Fusarium proliferatum,0,0,0,0,1,0
Fusicatenibacter saccharivorans,3826,1045,3006,7118,142664,200356
Gemmiger formicilis,9956,14618,11233,18894,16625,54278
Gleimia coleocanis,0,0,0,0,1,2
Gordonibacter pamelaeae,0,0,0,0,4643,16504
Gorillibacterium massiliense,0,0,0,0,0,2
Granulicatella elegans,0,0,0,0,1,0
[Haemophilus] ducreyi,0,0,0,0,1,0
Haemophilus sputorum,0,0,0,0,42,189
Hallella bergensis,0,0,0,0,73,283
Hallella multisaccharivorax,0,0,0,0,1,3
Helcococcus kunzii,0,0,0,0,0,20
Helcococcus sueciensis,0,0,0,0,3,9
Hespellia stercorisuis,0,0,0,0,114,166
Heyndrickxia acidiproducens,0,0,0,0,0,6
Holdemanella biformis,0,0,0,0,9419,35285
Holdemania massiliensis,432,1187,480,1566,344,291
Hoylesella buccalis,0,0,0,0,3777,18190
Hoylesella enoeca,0,0,0,0,0,4
Hoylesella marshii,0,0,0,0,6,4
Hoylesella nanceiensis,0,0,0,0,153,241
Hoylesella oralis,0,0,0,0,2,4
Hoylesella saccharolytica,0,0,0,0,2,31
Hoylesella shahii,0,0,0,0,1,2
Hoylesella timonensis,0,0,0,0,5239,15253
Hungatella hathewayi,63,87,83,152,430,1007
Intestinibacter bartlettii,0,0,0,0,6410,23515
Intestinimonas butyriciproducens,64,66,57,72,38,48
Johnsonella ignava,13,25,19,59,50,117
Kandleria vitulina,0,0,0,0,107,428
Kerstersia gyiorum,0,0,0,0,0,1
Kluyvera ascorbata,0,0,0,0,27,108
Kluyvera cryocrescens,0,0,0,0,373,1396
Kosakonia cowanii,0,0,0,0,39,235
Kosakonia sacchari,0,0,0,0,4,32
Kwaitsingvirus HK446,0,0,0,0,1,1
Kwaitsingvirus HK544,0,0,0,0,16,29
