"TaxonomyID","read_count"
28116,32032.378046943
226186,32119.0702713066
435590,26759.8960856987
246787,23907.4014434601
40520,19152.2
411479,20050.384146433
295405,27240.2195020053
536231,29814.8098310292
1121101,13840.8107622957
266264,12755.9
709991,12821.5176833529
449673,15505.5559322034
1550024,11660.6
47678,15025.2149085925
411469,9958.1
411461,14722.1714285714
622312,10318.3
537011,10431.8355695318
435591,16209.4641191872
1122992,9303.7
198214,9212.5
717959,9609
515619,12471.0384024578
762982,11380.05
585394,18820.9674347158
411474,8873.9
679935,16004.1951038397
445973,8430
411462,8607.2
292800,8259.11935483871
1384484,8099.9
762966,7975.5
515620,7923.21935483871
657308,7904.03333333333
479437,7772.71935483871
471875,8008.9
1235811,7803.8
511680,7262.5
349741,6972.9
411460,6882.8
411903,6977.36666666667
333849,6692.3
367928,6624.9
868129,6729.8
568816,6330.8
649756,6229.5
760570,6131.1
479436,6024.8
1384063,5917.4
411463,5846
1069534,5839.2
702459,5803.3
518635,5842.7
626939,5432.75806451613
206672,5363.1
1458465,5412.2
592028,5361
518637,4600.4
1282887,4527.2
1051074,4564.1
1304,3965
679190,4369.30319934372
901,2635.9
NA,2284.1
NA,2069.7
999419,1805.6
300267,1993.8
411483,1601.7
334413,852
NA,832.2
537007,685.1
NA,690.1
NA,650.7
NA,644
NA,613.1
68895,372.1
564886,305.2
NA,295.1
NA,291
NA,226
445972,234.6
NA,196
NA,196
888743,194.9
NA,194
NA,187
NA,185
1033731,132.7
NA,179
1121323,168.4
518634,171.8
NA,165
NA,152
1427517,142
NA,135
1445607,131.9
NA,132
1006000,145.8
1852370,139.9
566550,133.2
1236518,108.5
NA,122
NA,121
226185,92.8
1150423,119
1122991,86.3
1218112,108.7
NA,116
NA,115
NA,114.7
626937,114.8
742740,158.2
NA,110
NA,108
NA,108
NA,106
1447715,105
NA,101.3
NA,104
1236517,77.1
411467,101.6
NA,100
NA,99
NA,98
NA,98.1
NA,97.1
NA,96
214092,95
NA,95
1776384,95.2
272563,108
NA,94
411471,116.5
1547597,93.1
NA,91.4
NA,60.6
1118056,72.5
NA,85
NA,83.9
NA,83
1235834,92
1410657,81
585502,82.1
1437610,82.2
39482,92.5
1124655,73.9
NA,79
NA,79
61647,110.5
NA,78
NA,78
547042,77.6
NA,76
482822,34.8
1907654,91.7
1033732,74.4
1841865,75
NA,72
NA,71
NA,70
NA,69
NA,69
97081,65.9
NA,68.5
99287,64.1
1745713,66.7
NA,66
1871021,67.2
1121094,63.6
701347,55.4
NA,61
NA,60
196242,55.4
NA,62.9
NA,58
428127,61.1
NA,51
NA,50.5
NA,51
NA,49
NA,48
667015,42.4
NA,48.8
NA,47
997894,47.6
927665,48
1122988,47
NA,46
1841857,45.2
1903263,102.2
796942,41.2
NA,42.1
1121114,42.8
1408437,41.8
NA,41
NA,41
1300150,47.1
1590550,41.3
NA,39
NA,38
NA,38
