TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
28116,Bacteroides ovatus,4,4.56594943211004e-05,4,4.56600764701978e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Phocaeicola,4,Phocaeicola dorei,4,1,0,0,1,1,FALSE
0,unknown genome; accession ID isNZ_JNKJ01000020.1,4,4.56594943211004e-05,3.7,4.22934053085719e-05,0,0,0,0,0,0,0,Christensenella,2,Eubacterium maltosivorans,2,19,0,0,1,1,FALSE
796942,Stomatobaculum longum,4,4.56594943211004e-05,4,4.56595426793107e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,Stomatobaculum longum,Faecalibacterium,4,Faecalibacterium prausnitzii,2,6,0,0,1,1,FALSE
1236513,Bacteroides faecichinchillae,4,4.56594943211004e-05,4,4.56595444861071e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecichinchillae,Bacteroides,3,Phocaeicola dorei,3,3,0,1,1,1,FALSE
1211819,Holdemania massiliensis,4,4.56594943211004e-05,4.6,5.28536195595743e-05,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania massiliensis,Clostridium,3,Clostridium sp. M62/1,3,6,0,0,1,1,FALSE
435591,Parabacteroides distasonis,4,4.56594943211004e-05,3.95,4.48980712611193e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides,2,Parabacteroides distasonis,3,3,1,1,1,1,TRUE
428127,Amedibacillus dolichus,3,3.42446207408253e-05,4.9,5.61385930859687e-05,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus dolichus,Acutalibacter,1,Acutalibacter muris,1,3,0,0,1,1,FALSE
476272,Blautia hydrogenotrophica,3,3.42446207408253e-05,3,3.42448035685968e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,Faecalibacterium,3,uncultured human fecal virus,3,1,0,0.666666666666667,1,1,FALSE
717959,Alistipes shahii,3,3.42446207408253e-05,3.1,3.57064424877815e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes,1,Phocaeicola dorei,3,5,1,1,1,1,TRUE
762966,Parasutterella excrementihominis,3,3.42446207408253e-05,2.4,2.68345659607415e-05,0,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella excrementihominis,Lactobacillus,2,Lactobacillus crispatus,2,3,0,0,1,1,FALSE
