"sample","r2","rmse","rrmse","nrmse","avgre","TP","FP","FN","TN","TPR","FPR","MCC"
"healthy_stool_100_1",0.0153104919219757,0.00811013449260592,33.3569831680882,2.68188760187096,1.33842749957009,52,2162,48,19939,0.52,0.0978236278901407,0.0313984941436196
"healthy_stool_100_10",0.368199656154111,0.00221896647887324,9.12660912760562,0.817917529998609,0.856642789709939,52,3080,48,19939,0.52,0.133802510969199,0.0293130903370004
"healthy_stool_100_100",0.373987520731784,0.0017175747723311,7.0643850385978,0.797926683841302,0.86905249581337,52,3472,48,19939,0.52,0.148306351715006,0.028451427180268
"healthy_stool_100_50",0.406444110297403,0.00247883877547594,10.1954638835325,0.791134214219177,0.844743134253248,52,2909,48,19939,0.52,0.127319677871148,0.0296942368194724
"healthy_stool_10_1",0.0686596131561117,0.00857201899165303,34.8795452770362,1.63875411144711,0.976029877270188,6,1516,4,19983,0.6,0.0705149076701242,0.012282691010719
"healthy_stool_10_10",0.333593971648725,0.00524247667082105,21.3316375735709,0.913872757191642,0.727497473668875,6,1528,4,19983,0.6,0.0710334247594254,0.0122740868016919
"healthy_stool_10_100",0.456006958360503,0.00433108708453273,17.6231933469637,0.763488999624661,0.673417223184258,6,1538,4,19983,0.6,0.0714650806189304,0.0122669210226444
"healthy_stool_10_50",0.463938787578023,0.00503290076498158,20.4788732127101,0.770468153954689,0.706385915559334,6,1404,4,19983,0.6,0.0656473558703886,0.0123632757897278
