"sample","r2","rmse","rrmse","nrmse","avgre","TP","FP","FN","TN","TPR","FPR","MCC"
"healthy_stool_100_1",0.979006777366609,0.00406323353816147,2.37699161982446,0.173511154695556,0.660807792138407,64,237,36,22915,0.64,0.0102366966136835,0.0417258544041007
"healthy_stool_100_10",0.5550526930835,0.00500053851640085,2.9253150320945,0.666509765753439,0.688647085256814,61,298,39,22912,0.61,0.0128392934080138,0.0396204250808407
"healthy_stool_100_100",0.359161405043985,0.00479445277815981,2.80475487522349,0.800389612818361,0.847109489383112,61,343,39,22912,0.61,0.0147495162330682,0.0395319526201307
"healthy_stool_100_50",0.569127623736425,0.00623063200533555,3.6449197231213,0.658221570377812,0.769352508068612,58,301,42,22909,0.58,0.0129685480396381,0.0376263228357732
"healthy_stool_10_1",0.939179132836899,0.00676757982683543,3.7627743837205,0.264016554798623,0.564447807460862,7,72,3,22948,0.7,0.00312771503040834,0.0145668751278053
"healthy_stool_10_10",0.688292255471987,0.0110895441264953,6.1657865343314,0.560787706953318,0.728574014521145,6,63,4,22947,0.6,0.00273794002607562,0.0124825324097875
"healthy_stool_10_100",0.55301679086144,0.0116683923259847,6.48762613324747,0.668211378240934,0.66909587173289,7,68,3,22948,0.7,0.00295446645811609,0.0145692306270197
"healthy_stool_10_50",0.64071115211566,0.0126807083203032,7.0504738260886,0.59981775423976,0.677766652574557,6,66,4,22947,0.6,0.00286794420544909,0.0124806288964605
