species,Healthy_stool_100_100,Healthy_stool_100_10,Healthy_stool_100_1,Healthy_stool_100_50,Healthy_stool_10_100,Healthy_stool_10_10,Healthy_stool_10_1,Healthy_stool_10_50
Veillonella parvula,603,78,30,116,0,0,0,0
Finegoldia magna,505,114,35,157,0,0,0,0
Faecalitalea cylindroides,55,81,34,50,0,0,0,0
Longibaculum sp. KGMB06250,33,54,19,20,0,0,0,0
Clostridium innocuum,33,57,23,40,0,0,0,0
Intestinibaculum porci,22,16,0,12,0,0,0,0
Amedibacterium intestinale,14,16,0,18,0,0,0,0
Bifidobacterium longum,688,2161,806,1352,0,0,0,0
Bifidobacterium bifidum,611,422,155,266,0,0,0,0
Bifidobacterium pseudocatenulatum,663,369,154,229,0,0,0,0
Bifidobacterium adolescentis,599,1096,1224,1932,6052,4249,2833,2557
Bifidobacterium angulatum,569,136,60,193,0,0,0,0
Bifidobacterium catenulatum,585,181,71,253,0,0,0,0
Bifidobacterium animalis,550,101,38,144,0,0,0,0
Eggerthella lenta,987,142,52,199,0,0,0,0
Gordonibacter pamelaeae,926,125,52,184,49,20,20,19
Gordonibacter urolithinfaciens,50,10,0,13,0,0,0,0
Adlercreutzia equolifaciens,807,245,96,356,0,0,0,0
Slackia heliotrinireducens,13,0,0,11,0,0,0,0
Collinsella aerofaciens,619,1019,1088,1771,6030,3882,2576,2325
Klebsiella pneumoniae,2169,782,445,1106,0,0,0,0
Klebsiella variicola,1034,103,40,161,0,0,0,0
Escherichia coli,1746,3871,1625,2420,0,0,0,0
Cupriavidus metallidurans,1914,399,154,580,0,0,0,0
Burkholderiales bacterium YL45,16,0,0,0,0,0,0,0
Desulfovibrio piger,675,136,54,201,0,0,0,0
Akkermansia muciniphila,815,2137,818,1306,0,0,0,0
Methanobrevibacter smithii,525,687,267,423,0,0,0,0
Homo sapiens,68,59,75,49,36,48,79,48
Muribaculaceae bacterium DSM 108610,0,16,90,14,22,39,76,67
Muribaculum sp. TLL-A4,0,15,22,0,0,11,20,0
Anaerocolumna sp. CBA3638,0,27,0,11,0,0,0,0
Lachnoanaerobaculum umeaense,0,18,0,13,0,0,0,0
Ruminococcus sp. JE7A12,0,16,27,22,53,45,22,51
Lactococcus lactis,0,14,0,0,0,0,0,0
Erysipelotrichaceae bacterium GAM147,0,19,0,0,0,0,0,0
Alloprevotella sp. E39,0,0,24,0,0,0,31,0
Tannerella sp. oral taxon HOT-286,0,0,14,0,0,0,18,13
Alistipes sp. dk3624,0,0,10,28,43,35,24,25
Mucinivorans hirudinis,0,0,12,0,0,0,12,12
Duncaniella dubosii,0,0,28,12,0,0,16,0
Muribaculum intestinale,0,0,18,13,0,0,17,12
Porphyromonas cangingivalis,0,0,13,0,0,0,12,0
Chitinophaga pinensis,0,0,18,0,0,11,16,0
Fibrobacter succinogenes,0,0,13,0,0,0,0,0
Streptococcus gordonii,0,0,10,0,0,0,0,0
Paenibacillus barcinonensis,0,0,18,0,0,0,0,0
Leptolyngbya sp. PCC 7376,0,0,41,10,0,21,37,23
Flintibacter sp. KGMB00164,0,0,0,11,0,0,0,0
Ruminococcus albus,0,0,0,0,12,13,14,12
Ornithobacterium rhinotracheale,0,0,0,0,0,16,0,0
Flammeovirgaceae bacterium 311,0,0,0,0,0,11,0,0
Libanicoccus massiliensis,0,0,0,0,0,11,12,0
Porphyromonas crevioricanis,0,0,0,0,0,0,13,0
Bacteroidales bacterium CF,0,0,0,0,0,0,26,0
Glaciecola sp. THG-3.7,0,0,0,0,0,0,11,0
Eubacterium maltosivorans,0,0,0,0,0,0,0,10
Oscillibacter sp. PEA192,0,0,0,0,0,0,0,15
