species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Brenneria goodwinii,0,0,0,0,0,0,0,3
Brussowvirus bvO1205,0,0,0,0,1,1,1,1
Buttiauxella ferragutiae,0,0,0,0,0,0,1,1
Butyricicoccus pullicaecorum,3,2,0,1,0,12,8,4
Butyricimonas synergistica,8,14,24,10,2,1,2,2
Byrnievirus HK97,0,0,0,0,0,4,0,0
Carnobacterium jeotgali,0,0,0,0,0,0,1,0
Carnobacterium maltaromaticum,0,0,0,0,0,0,14,4
Cedecea neteri,0,0,0,0,1,0,21,1
Cellulomonas carbonis,1,1,5,3,3,1,3,1
Christensenella minuta,0,0,0,0,9,24,121,40
Christensenella timonensis,7,3,2,11,0,0,0,0
Clostridioides difficile,0,0,0,0,8,37,45,15
[Clostridium] aminophilum,0,0,0,0,0,7,4,3
Clostridium kluyveri,0,0,0,0,0,4,0,0
Clostridium lundense,2,0,10,1,0,1,0,2
Clostridium phoceensis,33,102,71,88,30,45,22,77
[Clostridium] scindens,0,0,0,0,2,8,2,3
[Clostridium] symbiosum,23,24,43,20,6,26,26,21
Collinsella aerofaciens,30311,45601,70868,27367,13018,11891,7126,20981
Collinsella bouchesdurhonensis,0,0,0,0,7,20,62,15
Collinsella ihumii,1,2,4,1,1,1,1,0
Collinsella tanakaei,0,0,0,0,0,0,2,0
Comamonas kerstersii,0,0,0,0,3,0,0,0
Comamonas testosteroni,0,0,0,0,0,0,5,5
Coprobacter fastidiosus,2,3,6,0,1,7,14,7
Coprococcus eutactus,63,78,130,116,5331,14145,9230,8219
Cronobacter sakazakii,0,0,0,0,6,14,8,9
Cuauhtlivirus mEpX1,0,0,0,0,1,10,7,6
Culturomica massiliensis,0,0,0,0,24,49,40,40
Cupriavidus basilensis,0,0,0,0,24,49,263,67
Cupriavidus metallidurans,0,0,0,0,1211,3174,15483,4500
Cupriavidus necator,0,0,0,0,0,1,2,0
Cupriavidus pauculus,0,0,0,0,0,0,1,2
Dechloromonas agitata,0,0,0,0,0,2,3,0
Delftia acidovorans,0,0,0,0,0,0,2,0
Desulfitobacterium dichloroeliminans,0,0,0,0,6,13,68,12
Desulfovibrio piger,0,0,0,0,273,748,3635,1060
Dialister invisus,0,0,0,0,456,1192,5362,1718
Dialister succinatiphilus,0,0,0,0,11,46,40,31
Dickeya solani,0,0,0,0,1,0,0,2
Diegovirus dv7502Stx,0,0,0,0,0,4,1,1
Dielma fastidiosa,0,0,0,0,0,0,0,1
Dorea formicigenerans,1,4,1,3,2434,7144,9714,5420
Dorea longicatena,0,0,0,0,7395,19180,7987,12903
Edwardsiella anguillarum,0,0,0,0,3,9,11,51
Eggerthella lenta,0,0,0,0,519,1308,9345,2009
Eisenbergiella tayi,0,0,0,0,0,1,8,7
Emergencia timonensis,0,0,0,0,38,111,83,100
Enorma massiliensis,0,1,0,0,1,0,0,0
Enterobacter hormaechei,0,0,0,0,20,10,77,20
Enterobacter kobei,0,0,0,0,1,0,10,3
[Enterobacter] lignolyticus,0,0,0,0,14,49,139,59
Enterobacteria phage cdtI,0,0,0,0,1,42,12,2
Enterobacteria phage mEp460,0,0,0,0,22,16,2,30
Enterobacteria phage Sf101,0,0,0,0,0,0,0,1
Enterobacteria phage SfI,0,0,0,0,0,0,0,1
Enterocloster asparagiformis,0,0,0,0,1,14,32,15
Enterocloster bolteae,0,0,0,0,22,50,48,41
Enterocloster citroniae,0,0,1,5,2,11,13,8
Enterococcus asini,0,0,0,0,0,0,2,0
Enterococcus canis,0,0,0,0,0,0,1,0
Enterococcus casseliflavus,0,0,0,0,5,7,54,16
Enterococcus cecorum,0,0,6,0,2,0,3,7
Enterococcus dispar,0,0,0,0,0,0,1,0
Enterococcus faecalis,0,0,0,0,0,7,70,10
Enterococcus faecium,0,0,0,0,390,1029,6885,1468
Enterococcus gilvus,0,0,0,0,10,21,5,24
Enterococcus hirae,0,0,0,0,4,6,30,0
Enterococcus italicus,0,0,0,0,1,1,28,2
Enterococcus malodoratus,0,0,0,0,1,0,14,1
Enterococcus massiliensis,0,0,0,0,0,0,1,2
Enterococcus mundtii,0,0,0,0,0,0,3,0
Enterococcus pallens,0,0,0,0,0,2,4,2
Enterococcus thailandicus,0,0,0,0,0,0,1,0
Entomohabitans teleogrylli,0,0,0,0,0,3,11,2
Erwinia mallotivora,0,0,0,0,0,0,3,0
Erwinia oleae,0,0,0,0,7,1,29,14
Erwinia tracheiphila,0,0,0,0,2,8,6,4
Escherichia Stx1 converting phage,0,0,0,0,3,9,2,11
Eshraghiella crossota,314,56,66,545,3355,10082,7328,5470
Ethanoligenens harbinense,1,0,1,1,0,0,0,1
Eubacterium coprostanoligenes,3,2,1,6,0,3,1,2
Eubacterium oxidoreducens,0,0,0,0,0,2,1,1
Eubacterium ramulus,2,0,1,2,832,2233,8040,3303
Eubacterium ruminantium,0,0,0,0,0,0,1,0
Eubacterium uniforme,0,0,0,0,0,1,0,0
