Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,Ti,Run_mock__vaio-mock-10-5-1,Run_mock__vaio-mock-10-6-3,Run_mock__50eb-50gr-1,Run_mock__ec-bl-rp-rm-cn-2,Run_mock__10eb-90gr-2,Run_mock__5eb-95gr-2,Run_newprimers__vaio-mock-newprimer-4,Run_mock__95eb-5gr-1,Run_mock__vaio-mock-10-4-1,Run_mock__vaio-mock-10-4-2
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454
Bacteria,Bacteria phylum incertae sedis,Bacteria class incertae sedis,Bacteria order incertae sedis,Bacteria fam. incertae sedis,Bacteria gen. incertae sedis,Bacteria species incertae sedis,Bacteria species incertae sedis,0,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium species incertae sedis,Clostridium species incertae sedis,0,317,317,317,317,317,317,317,317,317,317
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis,Ruminococcaceae species incertae sedis,0,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762
Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter species incertae sedis,Fibrobacter species incertae sedis,0,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides species incertae sedis,Bacteroides species incertae sedis,0,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema species incertae sedis,Treponema species incertae sedis,0,1477,1477,1477,1477,1477,1477,1477,1477,1477,1477
Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria order incertae sedis,Alphaproteobacteria fam. incertae sedis,Alphaproteobacteria gen. incertae sedis,Alphaproteobacteria species incertae sedis,Alphaproteobacteria species incertae sedis,0,673,673,673,673,673,673,673,673,673,673
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233
Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter species incertae sedis,Fibrobacter species incertae sedis,0,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463
Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter species incertae sedis,Fibrobacter species incertae sedis,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
Bacteria,Firmicutes,Firmicutes class incertae sedis,Firmicutes order incertae sedis,Firmicutes fam. incertae sedis,Firmicutes gen. incertae sedis,Firmicutes species incertae sedis,Firmicutes species incertae sedis,0,156,156,156,156,156,156,156,156,156,156
Bacteria,Bacteria phylum incertae sedis,Bacteria class incertae sedis,Bacteria order incertae sedis,Bacteria fam. incertae sedis,Bacteria gen. incertae sedis,Bacteria species incertae sedis,Bacteria species incertae sedis,0,573,573,573,573,573,573,573,573,573,573
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,857,857,857,857,857,857,857,857,857,857
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,180,180,180,180,180,180,180,180,180,180
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,322,322,322,322,322,322,322,322,322,322
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
Bacteria,Candidatus Melainabacteria,Candidatus Melainabacteria class incertae sedis,Candidatus Gastranaerophilales,Candidatus Gastranaerophilales fam. incertae sedis,Candidatus Gastranaerophilales gen. incertae sedis,Candidatus Gastranaerophilales species incertae sedis,Candidatus Gastranaerophilales species incertae sedis,0,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593
Bacteria,Firmicutes,Firmicutes class incertae sedis,Firmicutes order incertae sedis,Firmicutes fam. incertae sedis,Firmicutes gen. incertae sedis,Firmicutes species incertae sedis,Firmicutes species incertae sedis,0,692,692,692,692,692,692,692,692,692,692
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella species incertae sedis,Prevotella species incertae sedis,0,51,51,51,51,51,51,51,51,51,51
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium species incertae sedis,Clostridium species incertae sedis,0,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis,Lachnospiraceae species incertae sedis,0,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis,Lachnospiraceae species incertae sedis,0,155,155,155,155,155,155,155,155,155,155
