species,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_50,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_50
Segatella copri,5023141.118,2500537.673,994164.118,2393166.298,4931091.028,493719.59,98020.613,840191.405
Roseburia intestinalis,0,0,0,0,29429.918,95579.44,87049.138,50079.477
,0,0,0,0,74930.363,193580.791,102799.001,105714.074
Lachnospira multipara/pectinoschiza,0,0,0,0,48264.947,130011.355,92433.113,78133.681
Prevotella bivia,0,0,0,0,20137.919,47022.109,105362.913,70067.008
Bifidobacterium angulatum,0,0,0,0,7019.958,21792.815,87816.879,29946.703
Ruthenibacterium lactatiformans,0,0,0,0,11238.184,36640.463,93169.175,59680.005
Phocaeicola plebeius,0,0,0,0,64057.333,182602.725,97067.089,102355.034
Blautia obeum,0,0,0,0,47974.82,127553.344,96646.994,78873.59
Flavonifractor plautii,0,0,0,0,6943.169,28685.084,108045.636,29325.042
Parabacteroides merdae,0,0,0,0,51767.938,118990.136,101688.762,64711.715
Gemmiger formicilis,0,0,0,0,9540.872,27649.636,85762.908,43138.901
Faecalibacterium prausnitzii,910856.69,1299408.815,966863.204,1789355.431,376659.138,333170.721,93361.658,607137.62
Desulfovibrio piger,0,0,0,0,6846.799,26315.26,98722.293,26286.478
Adlercreutzia equolifaciens,0,0,0,0,10864.347,26404.987,99443.128,42033.04
Eubacterium ventriosum,0,0,0,0,9233.687,19074.567,98770.076,28526.782
Phocaeicola coprocola,0,0,0,0,6832.905,22720.907,83162.986,34152.584
Holdemanella biformis,0,0,0,0,16047.68,44479.849,102381.444,63581.811
Firmicutes species incertae sedis,0,0,0,0,8824.373,27297.44,96600.79,48232.579
Lachnospiraceae species incertae sedis,0,0,0,0,126659.851,341242.856,89142.717,207121.941
Ruminococcaceae species incertae sedis,0,0,0,0,6361.584,0,0,39334.135
Butyricicoccus species incertae sedis,0,0,0,0,23182.852,58717.329,104689.723,35950.277
Roseburia species incertae sedis,0,0,0,0,110673.264,334861.672,73454.905,193288.883
Eggerthellaceae species incertae sedis,0,0,0,0,8121.155,22425.662,96570.776,30611.489
Clostridiales species incertae sedis,0,0,0,0,6744.866,10847.14,96353.159,18436.758
Lachnospiraceae species incertae sedis,0,0,0,0,17667.532,46166.228,98166.052,73810.565
Eubacterium species incertae sedis,0,0,0,0,30627.64,64561.765,41763.179,51212.673
Eggerthellaceae species incertae sedis,0,0,0,0,4038.437,13197.634,100433.91,20476.155
Bacteroides species incertae sedis,0,0,0,0,0,2162.868,0,771.281
Bacteroides species incertae sedis,0,0,0,0,5540.816,11534.235,12648.824,12380.226
Finegoldia species incertae sedis,0,0,0,0,0,11060.097,69118.719,14033.27
Finegoldia species incertae sedis,0,0,0,0,10137.431,19653.428,93122.433,27286.876
Finegoldia species incertae sedis,0,0,0,0,0,3101.871,2323.495,1166.198
Bacteroides species incertae sedis,0,0,0,0,5243.803,7722.923,16850.77,12157.882
Bacteroides species incertae sedis,0,0,0,0,5042.127,9732.906,31693.928,12372.627
Bacteroides species incertae sedis,0,0,0,0,2614.049,6557.926,31321.059,11760.12
Lachnospiraceae species incertae sedis,0,0,0,0,21489.17,47518.09,16826.942,25035.01
Bacteroides species incertae sedis,0,0,0,0,13663.38,27336.574,45694.227,23515.676
Prevotella species incertae sedis,0,0,0,0,4928.863,5644.339,30117.888,12271.626
Bacteroides species incertae sedis,0,0,0,0,781.718,2813.632,4538.091,4242.043
Bifidobacterium species incertae sedis,0,0,0,0,3591.361,9857.954,0,0
Bacteroides species incertae sedis,0,0,0,0,0,0,43636.568,22752.778
unassigned,139435.43,300003.728,317961.767,150864.773,113582.109,139041.641,139890.758,152236.752
