species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Segatella copri,5927072.089,3225730.595,1367548.676,3036683.592,5698179.122,665506.224,132780.57,1115929.157
Roseburia intestinalis,0,0,0,0,17585.798,67160.322,61690.488,34796.521
,0,0,0,0,44777.441,135439.895,73137.211,72539.967
Lachnospira multipara/pectinoschiza,0,0,0,0,46300.209,165912.685,113195.106,100874.364
Prevotella bivia,0,0,0,0,17010.893,49207.221,118733.561,93882.161
Bifidobacterium angulatum,0,0,0,0,4196.814,15249.923,61321.954,20549.136
Ruthenibacterium lactatiformans,0,0,0,0,12500.778,48879.796,126262.896,79079.133
Phocaeicola plebeius,0,0,0,0,76951.945,246817.914,127696.829,137884.923
Blautia obeum,0,0,0,0,28662.388,89253.058,67467.781,54141.178
Flavonifractor plautii,0,0,0,0,4149.15,20070.173,75482.095,20114.588
Parabacteroides merdae,0,0,0,0,58814.696,160341.346,138044.297,88809.097
Gemmiger formicilis,0,0,0,0,11500.519,38688.245,117622.963,59886.645
Faecalibacterium prausnitzii,1099389.749,1732825.024,1371719.951,2286478.631,462757.574,460722.123,126838.215,813136.616
Desulfovibrio piger,0,0,0,0,8183.122,34667.641,134215.234,32227.736
uncultured Butyricicoccus sp.,0,0,0,0,0,0,2082.618,0
Adlercreutzia equolifaciens,0,0,0,0,6492.397,18472.89,69428.428,28841.328
Eubacterium ventriosum,0,0,0,0,11035.87,25929.936,131121.39,36962.182
Phocaeicola coprocola,0,0,0,0,8153.607,31791.812,112485.262,47350.527
Holdemanella biformis,0,0,0,0,18089.049,59255.393,137969.947,84836.5
Firmicutes species incertae sedis,0,0,0,0,5303.594,19097.721,67443.986,33096.726
Lachnospiraceae species incertae sedis,0,0,0,0,147393.151,480645.684,122096.679,273862.539
Ruminococcaceae species incertae sedis,0,0,0,0,5782.446,0,35293.569,66939.999
Butyricicoccus species incertae sedis,0,0,0,0,27707.56,78999.176,137452.81,45520.287
Roseburia species incertae sedis,0,0,0,0,130907.489,470050.796,107832.111,280275.621
Eggerthellaceae species incertae sedis,0,0,0,0,4853.1,15803.179,67423.032,21005.305
Clostridiales species incertae sedis,0,0,0,0,4030.647,7588.831,67271.097,12651.124
Lachnospiraceae species incertae sedis,0,0,0,0,20598.15,62842.28,136283.339,96101.777
Eubacterium species incertae sedis,0,0,0,0,10639.592,59977.037,15253.184,24926.006
Eggerthellaceae species incertae sedis,0,0,0,0,4152.942,19239.53,135713.831,27303.658
Bacteroides species incertae sedis,0,0,0,0,0,3026.353,2878.416,1058.49
Bacteroides species incertae sedis,0,0,0,0,0,0,8878.156,0
Finegoldia species incertae sedis,0,0,0,0,0,15344.983,102174.094,15461.714
Finegoldia species incertae sedis,0,0,0,0,11431.187,25109.741,122684.832,36406.963
Finegoldia species incertae sedis,0,0,0,0,0,2689.323,2433.3,800.233
Bacteroides species incertae sedis,0,0,0,0,5089.68,8420.383,26470.663,0
Bacteroides species incertae sedis,0,0,0,0,0,701.699,0,0
Bacteroides species incertae sedis,0,0,0,0,0,13366.393,0,16979.952
Eubacterium species incertae sedis,0,0,0,0,0,0,460.996,0
Eubacterium species incertae sedis,0,0,0,0,0,0,2776.824,0
Bacteroides species incertae sedis,0,0,0,0,2489.929,7244.256,35556.809,12963.295
Lachnospiraceae species incertae sedis,0,0,0,0,20027.55,0,22701.204,26722.547
Lachnospiraceae species incertae sedis,0,0,0,0,14702.138,0,0,35179.538
Bacteroides species incertae sedis,0,0,0,0,15911.407,0,60926.463,32272.455
Prevotella species incertae sedis,0,0,0,0,2412.162,3736.17,21485.553,9824.115
Bacteroides species incertae sedis,0,0,0,0,1019.856,2451.412,8851.128,3638.561
Bifidobacterium species incertae sedis,0,0,0,0,2146.152,6896.78,0,0
Bacteroides species incertae sedis,0,0,0,0,0,0,0,2640.226
Bacteroides species incertae sedis,0,0,0,0,8427.716,17893.313,55649.368,24758.351
unassigned,84957.673,282077.138,446371.015,97111.559,67203.463,139084.952,133691.313,156542.267
