species,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_50,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_50
Dialister invisus,0,0,0,0,1768.452,1553.9372,6622.9878,3507.8738
Dorea longicatena,0,0,0,0,5975.767,15121.4173,6701.9066,11035.8903
Methanobrevibacter smithii,0,0,0,0,2548.846,7723.9338,6292.933,6499.0682
Odoribacter splanchnicus,0,0,0,0,1396.4078,4766.8576,7020.7746,1935.5434
Paraprevotella xylaniphila,0,0,0,0,1373.8582,1635.1009,6646.9242,2297.2999
Phascolarctobacterium succinatutens,0,0,0,0,2516.7014,6586.3549,6171.5511,3423.3467
Segatella copri,592229.9648,327349.0779,133745.4942,303815.3491,558825.9163,65564.0624,11308.9614,109313.0756
Roseburia intestinalis,0,0,0,0,1773.5626,6167.4858,6485.1154,2090.22
,0,0,0,0,2906.8294,10883.9879,4766.1924,4225.7845
Lachnospira multipara/pectinoschiza,0,0,0,0,4530.1619,11400.4667,13007.5831,8730.415
Prevotella bivia,0,0,0,0,2672.0635,5500.744,12180.6825,11519.4356
Bifidobacterium angulatum,0,0,0,0,1102.8335,1997.167,6086.6951,2588.9844
Ruthenibacterium lactatiformans,0,0,0,0,1353.925,6081.0918,14699.5079,7372.2151
Phocaeicola plebeius,0,0,0,0,6792.3674,24945.7848,13155.2596,12110.2923
Blautia obeum,0,0,0,0,3029.0058,9698.5987,7059.5707,6452.7495
Flavonifractor plautii,0,0,0,0,0,1210.586,7398.2219,1568.0893
Parabacteroides merdae,0,0,0,0,2744.6082,12364.696,13312.389,9651.419
Gemmiger formicilis,0,0,0,0,0,1978.7545,6055.5348,2373.3993
Faecalibacterium prausnitzii,106559.2295,172080.9173,137743.196,213428.9801,35833.2475,48957.8914,9097.0336,79798.4974
Desulfovibrio piger,0,0,0,0,2803.6168,5034.0815,12712.4269,5180.8803
Adlercreutzia equolifaciens,0,0,0,0,1193.449,1984.9499,6501.2941,3009.9341
Eubacterium ventriosum,0,0,0,0,1773.5626,3203.1589,15014.8934,4154.0611
Phocaeicola coprocola,0,0,0,0,2119.7234,3943.0661,11005.9427,3562.4363
Holdemanella biformis,0,0,0,0,2530.1438,8168.9992,12582.6751,7721.1352
Firmicutes species incertae sedis,0,0,0,0,0,1997.9719,9337.91,4024.926
Lachnospiraceae species incertae sedis,0,0,0,0,11284.918,9943.1409,18238.4186,25493.4888
Ruminococcaceae species incertae sedis,0,0,0,0,0,1649.4053,4299.3981,2373.3993
Butyricicoccus species incertae sedis,0,0,0,0,2677.9621,9937.7157,13616.4231,5320.9321
Roseburia species incertae sedis,0,0,0,0,9688.8567,35737.0289,8191.3935,21215.4303
Eggerthellaceae species incertae sedis,0,0,0,0,699.6991,1640.8247,7731.8837,2932.5314
Clostridiales species incertae sedis,0,0,0,0,0,0,6961.452,1531.0285
Lachnospiraceae species incertae sedis,0,0,0,0,2990.7442,4888.1752,15397.8393,11068.5105
Eubacterium species incertae sedis,0,0,0,0,0,6130.4441,5114.1637,803.5571
Eggerthellaceae species incertae sedis,0,0,0,0,0,0,17826.5714,4001.9405
Roseburia species incertae sedis,0,0,0,0,1410.601,0,1706.0111,1021.0248
Roseburia species incertae sedis,0,0,0,0,0,0,0,1290.3623
Bacteroides species incertae sedis,0,0,0,0,0,636.8599,0,0
Bacteroides species incertae sedis,0,0,0,0,0,0,0,1109.9132
Bacteroides species incertae sedis,0,0,0,0,1221.335,0,0,0
Bacteroides species incertae sedis,0,0,0,0,0,0,0,1078.7311
Bacteroides species incertae sedis,0,0,0,0,0,0,0,965.1419
Bacteroides species incertae sedis,0,0,0,0,549.4188,0,0,1263.096
Sutterellaceae species incertae sedis,0,0,0,0,0,0,0,3661.5693
Sutterellaceae species incertae sedis,0,0,0,0,0,0,7573.8843,0
Finegoldia species incertae sedis,0,0,0,0,0,0,10430.1155,3974.7143
Finegoldia species incertae sedis,0,0,0,0,2881.4476,5880.2528,15299.4352,3538.453
Bacteroides species incertae sedis,0,0,0,0,0,0,0,4681.0177
Bacteroides species incertae sedis,0,0,0,0,1204.3135,1064.0838,5421.4033,1930.2838
Bacteroides species incertae sedis,0,0,0,0,0,1825.2684,0,0
Bacteroides species incertae sedis,0,0,0,0,0,2972.9107,2547.1694,0
Bacteroides species incertae sedis,0,0,0,0,0,679.3173,0,0
Alistipes species incertae sedis,0,0,0,0,591.1875,0,714.9949,0
Alistipes species incertae sedis,0,0,0,0,0,0,0,1384.687
Alistipes species incertae sedis,0,0,0,0,0,5122.7205,0,0
Eubacterium species incertae sedis,0,0,0,0,0,0,0,1659.6833
Alistipes species incertae sedis,0,0,0,0,0,1583.5437,0,0
Bacteroides species incertae sedis,0,0,0,0,0,1546.9601,4297.9961,1917.259
Bifidobacterium species incertae sedis,0,0,0,0,4259.5394,1926.2832,0,0
Clostridiales species incertae sedis,0,0,0,0,1887.986,0,2343.7214,2412.0355
Faecalibacterium species incertae sedis,0,0,0,0,0,2920.4294,0,0
Bifidobacterium species incertae sedis,0,0,0,0,0,0,0,1172.1855
