species,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_50,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_50
Leptospira alexanderi,0,0,0,0,0,0,0,0
Leptospira weilii,0,0,0,0,0,0,0,0
Chryseobacterium sp.,0,0,0,0,0,0,0,0
Chryseobacterium gallinarum,0,0,0,0,0,0,0,0
Chryseobacterium indologenes,0,0,0,0,0,0,0,0
Chryseobacterium artocarpi/ureilyticum,0,0,0,0,0,0,0,0
Chryseobacterium jejuense,0,0,0,0,0,0,0,0
Chryseobacterium sp. G972,0,0,0,0,0,0,0,0
Chryseobacterium contaminans,0,0,0,0,0,0,0,0
Chryseobacterium indologenes,0,0,0,0,0,0,0,0
Chryseobacterium arthrosphaerae,0,0,0,0,0,0,0,0
Chryseobacterium sp.,0,0,0,0,0,0,0,0
Chryseobacterium sp. YR459,0,0,0,0,0,0,0,0
Chryseobacterium cucumeris/indologenes,0,0,0,0,0,0,0,0
Chryseobacterium sp. YR477,0,0,0,0,0,0,0,0
Chryseobacterium sp. RU33C,0,0,0,0,0,0,0,0
Chryseobacterium gleum,0,0,0,0,0,0,0,0
Chryseobacterium culicis,0,0,0,0,0,0,0,0
Chryseobacterium joostei,0,0,0,0,0,0,0,0
Komagataeibacter xylinus/hansenii,0,0,0,0,0,0,0,0
Proteobacteria sp.,0,0,0,0,0,0,0,0
Sphingomonas sanguinis,0,0,0,0,0,0,0,0
Sphingomonas parapaucimobilis,0,0,0,0,0,0,0,0
Sphingomonas yabuuchiae,0,0,0,0,0,0,0,0
Vibrio natriegens,0,0,0,0,0,0,0,0
Vibrio sp.,0,0,0,0,0,0,0,0
Vibrio parahaemolyticus,0,0,0,0,0,0,0,0
Vibrio alginolyticus,0,0,0,0,0,0,0,0
Vibrio mytili,0,0,0,0,0,0,0,0
Vibrio azureus,0,0,0,0,0,0,0,0
Vibrio nereis,0,0,0,0,0,0,0,0
Vibrio hepatarius,0,0,0,0,0,0,0,0
Vibrio coralliilyticus,0,0,0,0,0,0,0,0
Vibrio neptunius,0,0,0,0,0,0,0,0
Vibrio sp.,0,0,0,0,0,0,0,0
Vibrio sinaloensis,0,0,0,0,0,0,0,0
Vibrio orientalis,0,0,0,0,0,0,0,0
Vibrio tubiashii,0,0,0,0,0,0,0,0
Vibrio bivalvicida,0,0,0,0,0,0,0,0
Vibrio tubiashii,0,0,0,0,0,0,0,0
