Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Acetitomaculum,Acetitomaculum ruminis,Acetitomaculum ruminis,1,0,0,0,0,0,2,30,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio cellulolyticus,Acetivibrio cellulolyticus,2,0,0,0,0,0,0,3,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,Acetivibrio ethanolgignens,3,0,2,0,1,2,7,3,3
NA,Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,Acetoanaerobium sticklandii,Acetoanaerobium sticklandii,4,0,0,0,0,0,0,2,0
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Acidaminococcus fermentans,5,0,0,0,0,1,10,15,2
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,6,0,0,0,0,470,1250,6353,1807
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus timonensis,Acidaminococcus timonensis,7,0,0,0,0,0,0,3,2
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax soli,Acidovorax soli,8,0,0,0,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Acinetobacter johnsonii,9,0,0,0,0,2,8,5,8
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter junii,Acinetobacter junii,10,0,0,0,0,0,0,6,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,Acinetobacter schindleri,11,0,0,0,0,3,1,0,1
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,Actinobacillus succinogenes,12,0,0,0,0,1,0,0,0
NA,Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Acutalibacter,Acutalibacter muris,Acutalibacter muris,13,6,4,4,8,1,3,1,1
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia caecimuris,Adlercreutzia caecimuris,14,0,0,0,0,0,0,1,4
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,15,0,0,0,0,930,2431,8092,3505
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia mucosicola,Adlercreutzia mucosicola,16,0,0,0,0,0,1,0,0
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,Aerococcus viridans,17,0,0,0,0,0,1,0,0
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas schubertii,Aeromonas schubertii,18,0,0,0,0,0,0,1,0
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,19,50706,76658,101545,46725,20915,20351,9212,36080
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum desmolans,Agathobaculum desmolans,20,45,64,37,46,16,31,43,19
NA,Uroviricota,Caudoviricetes,NA,NA,Aguilavirus,Aguilavirus mEp213,Aguilavirus mEp213,21,0,0,0,0,0,3,2,1
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,22,0,0,0,0,6998,18467,7007,11309
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,Alicycliphilus denitrificans,Alicycliphilus denitrificans,23,0,0,0,0,0,0,2,8
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,Alistipes communis,24,0,0,0,0,983,1875,16,1235
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii,25,1199,1735,3058,936,4210,9263,10159,6175
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes ihumii,Alistipes ihumii,26,0,0,0,0,3,3,6,3
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes inops,Alistipes inops,27,0,0,0,0,1137,2969,6491,4283
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis,28,28250,42585,70415,25442,11612,11488,6316,19723
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes senegalensis,Alistipes senegalensis,29,1,0,0,1,9,574,522,25
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii,30,5,13,19,7,1163,3018,9354,4458
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes timonensis,Alistipes timonensis,31,0,0,0,0,23,2,1,1
