Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,Thomasclavelia saccharogumia,Thomasclavelia saccharogumia,743,0,0,0,0,24.1,66.3,101.9,66.8
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,Thomasclavelia spiroformis,Thomasclavelia spiroformis,744,0,0,0,0,19.8,9.9,18.6,8
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,Tolumonas auensis,Tolumonas auensis,745,0,0,0,0,0,0,0,2.4
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Trabulsiella,Trabulsiella odontotermitis,Trabulsiella odontotermitis,746,0,0,0,0,21.2,88.9,911.4,84.7
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Traorella,Traorella massiliensis,Traorella massiliensis,747,0,0,0,204.7,83.9,273.8,119.5,118.5
NA,Uroviricota,Caudoviricetes,NA,NA,Traversvirus,Traversvirus II,Traversvirus II,748,0,0,0,0,3278.2,33.5,1326.4,436.5
NA,Uroviricota,Caudoviricetes,NA,NA,Traversvirus,Traversvirus min27,Traversvirus min27,749,0,0,0,0,0,3369.5,0,0
NA,Uroviricota,Caudoviricetes,NA,NA,Traversvirus,Traversvirus PA28,Traversvirus PA28,750,0,0,0,0,30.8,1963.7,62.3,2250.2
NA,Uroviricota,Caudoviricetes,NA,NA,Traversvirus,Traversvirus tv24B,Traversvirus tv24B,751,0,0,0,0,0,0,5.6,1.3
NA,Uroviricota,Caudoviricetes,NA,NA,Traversvirus,Traversvirus tv86,Traversvirus tv86,752,0,0,0,0,17,5.6,1.2,4.1
NA,Uroviricota,Caudoviricetes,NA,NA,Traversvirus,Traversvirus tv933W,Traversvirus tv933W,753,0,0,0,0,9.2,5.1,9.6,14.9
NA,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema porcinum,Treponema porcinum,754,0,0,0,0,0,0,1,0
NA,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema putidum,Treponema putidum,755,1,1,5.2,3,0,1.2,0,1.4
NA,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema succinifaciens,Treponema succinifaciens,756,3,1,0,1,0,1,0,0
NA,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema vincentii,Treponema vincentii,757,38,71.4,42.9,99.9,11.4,4.9,2.8,9.7
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Trueperella pyogenes,758,0,0,0,0,0,0,2,0
NA,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,Tumebacillus flagellatus,Tumebacillus flagellatus,759,0,0,0,0,30.8,0,0,0
NA,Uroviricota,Caudoviricetes,NA,NA,Uetakevirus,Uetakevirus phiV10,Uetakevirus phiV10,760,0,0,0,0,0,3.8,0,7.6
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Urinicoccus,Urinicoccus massiliensis,Urinicoccus massiliensis,761,0,0,0,0,26.9,80,70,139.4
NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella magna,Veillonella magna,762,0,0,0,0,0,0,5,0
NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,Veillonella parvula,763,0,0,0,0,3004.6,7857.7,60313.5,11293.8
NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella seminalis,Veillonella seminalis,764,0,1.1,0,1,0,0,0,0
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio aerogenes,Vibrio aerogenes,765,0,0,0,0,0,1,0,0
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio metschnikovii,Vibrio metschnikovii,766,0,0,0,0,1,0,0,0
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio nigripulchritudo,Vibrio nigripulchritudo,767,0,0,0,0,0,0,0.5,1.5
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio scophthalmi,Vibrio scophthalmi,768,0,0,0,0,1,0,0,0
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio tubiashii,Vibrio tubiashii,769,0,0,0,0,2.2,2.9,0,0
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio xiamenensis,Vibrio xiamenensis,770,0,0,0,0,0,0,0,0.6
