"","TP","TN","FP","FN","TPR","FPR"
"abundance_cols.healthy_stool_10_1_noerr",51,21900,38,448,0.102204408817635,0.00173215425289452
"abundance_cols.healthy_stool_10_10_noerr",50,21900,29,449,0.100200400801603,0.00132244972410963
"abundance_cols.healthy_stool_10_100_noerr",41,21900,34,458,0.0821643286573146,0.00155010486003465
"abundance_cols.healthy_stool_10_50_noerr",51,21900,32,448,0.102204408817635,0.00145905526171804
"abundance_cols.healthy_stool_100_1_noerr",160,21900,317,339,0.32064128256513,0.0142683530629698
"abundance_cols.healthy_stool_100_10_noerr",167,21900,351,332,0.334669338677355,0.0157745719293515
"abundance_cols.healthy_stool_100_100_noerr",176,21900,381,323,0.352705410821643,0.0170997711054261
"abundance_cols.healthy_stool_100_50_noerr",172,21900,361,327,0.344689378757515,0.0162167018552626
