"","TP","TN","FP","FN","TPR","FPR"
"abundance_cols.healthy_stool_10_1",37,22221,18,462,0.0741482965931864,0.000809388911371914
"abundance_cols.healthy_stool_10_10",34,22221,24,465,0.0681362725450902,0.00107889413351315
"abundance_cols.healthy_stool_10_100",35,22221,23,464,0.0701402805611222,0.00103398669304082
"abundance_cols.healthy_stool_10_50",35,22221,21,464,0.0701402805611222,0.000944159697868897
"abundance_cols.healthy_stool_100_1",100,22221,85,399,0.200400801603206,0.0038106339101587
"abundance_cols.healthy_stool_100_10",104,22221,112,395,0.208416833667335,0.00501500022388394
"abundance_cols.healthy_stool_100_100",112,22221,118,387,0.224448897795591,0.00528224181923989
"abundance_cols.healthy_stool_100_50",104,22221,109,395,0.208416833667335,0.00488132557098074
