"","abundance_cols.healthy_stool_10_1_noerr","abundance_cols.healthy_stool_10_10_noerr","abundance_cols.healthy_stool_10_100_noerr","abundance_cols.healthy_stool_10_50_noerr","abundance_cols.healthy_stool_100_1_noerr","abundance_cols.healthy_stool_100_10_noerr","abundance_cols.healthy_stool_100_100_noerr","abundance_cols.healthy_stool_100_50_noerr"
"RRMSE",1399.65724317231,1070.83103985664,1031.32997740226,1135.04797580536,1502.57618512912,497.164622846505,404.456973657046,653.049191406562
"AVGRE",196.79532317614,239.099652723917,254.600025906662,154.782193872865,93.6690056636633,93.6298923800198,96.0265777444835,93.1902951200212
"NRMSE",5735.99340027748,5535.83203590877,5422.70800988326,5439.07844593964,4990.07040325936,4548.45756486398,4198.14201366148,4517.12079553133
