species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Blautia intestinalis,0,0,1,0,0,0,9,0
Blautia intestinihominis,0,0,0,0,0,0,51,34
Blautia luti,0,0,0,0,1,0,0,0
Blautia marasmi,0,0,0,0,0,1,0,0
Blautia obeum,0,0,0,0,537,1231,1104,835
Blautia stercoris,0,0,1,0,0,0,0,0
Blautia wexlerae,0,0,0,0,576,1327,1444,922
Bordetella petrii,0,0,0,0,0,0,0,2
Bovifimicola ammoniilytica,0,0,0,0,0,31,0,6
Brachyspira pilosicoli,0,0,0,0,0,0,0,1
Brotaphodocola catenula,0,0,0,0,0,0,0,10
Brotocaccenecus cirricatena,0,0,0,0,0,0,0,3
Brotonthovivens ammoniilytica,0,0,0,0,0,1,0,0
Butyricicoccus faecihominis,0,0,0,0,63,0,0,0
Butyricicoccus porcorum,0,0,0,0,0,0,0,1
Butyricimonas faecalis,0,0,0,0,0,1,2,87
Butyricimonas faecihominis,1,2,0,0,0,0,0,0
Butyricimonas paravirosa,0,0,0,0,3,0,0,0
Butyricimonas virosa,0,0,0,0,0,0,0,2
Candidatus Bacteroides intestinigallinarum,0,0,0,0,0,792,91,76
Candidatus Collinsella stercoripullorum,2,0,0,0,0,0,0,0
Candidatus Pantoea floridensis,0,0,0,0,0,0,0,1
Catenibacterium faecis,0,0,0,0,9,39,152,31
Catenibacterium tridentinum,0,0,0,0,17,15,50,54
Citrobacter portucalensis,0,0,0,0,0,0,0,4
Clostridium fessum,0,0,1,0,0,0,0,0
Clostridium porci,0,0,0,0,0,0,3,0
[Clostridium] scindens,0,0,0,0,0,0,0,2
[Clostridium] symbiosum,0,0,0,0,0,2,0,0
Collinsella aerofaciens,3014,4567,7101,2740,1303,1187,694,2085
Coprobacillus cateniformis,0,0,0,0,0,5,0,0
Coprobacter secundus,0,0,0,0,0,0,5,0
Coprococcus aceti,0,0,0,0,3,0,92,66
Coprococcus ammoniilyticus,0,0,0,0,1,0,0,0
Coprococcus catus,0,0,0,0,183,374,910,556
Coprococcus comes,0,0,0,0,540,1390,920,899
Coprococcus eutactus,0,0,0,0,509,1311,767,762
Coprococcus intestinihominis,0,0,0,0,0,120,0,185
Coprococcus phoceensis,0,0,0,0,29,0,0,0
Criibacterium bergeronii,0,0,0,0,0,0,4,0
Cupriavidus agavae,0,0,0,0,1,2,0,3
Cupriavidus campinensis,0,0,0,0,0,4,0,6
Cupriavidus metallidurans,0,0,0,0,145,383,1947,537
Cupriavidus nantongensis,0,0,0,0,2,6,0,0
Cupriavidus pampae,0,0,0,0,1,0,0,0
