species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Bifidobacterium angulatum,0,8,4,0,468,1391,5690,1988
Bifidobacterium animalis,1,0,1,0,383,998,5488,1438
Bifidobacterium asteroides,0,0,0,0,1,0,1,0
Bifidobacterium bifidum,0,0,0,0,1656,4319,6176,2654
Bifidobacterium breve,0,0,0,0,0,0,0,3
Bifidobacterium canis,0,0,0,0,0,0,0,2
Bifidobacterium catenulatum,2,0,0,0,615,1651,4954,2856
Bifidobacterium dentium,0,0,0,0,5,0,0,0
Bifidobacterium erythrocebi,0,0,0,0,11,0,0,0
Bifidobacterium hominis,0,0,0,0,0,0,994,0
Bifidobacterium longum,1,0,4,0,7958,20724,6847,12722
Bifidobacterium magnum,0,0,0,0,0,0,0,1
Bifidobacterium merycicum,0,0,0,0,36,0,0,0
Bifidobacterium miconis,0,0,0,0,0,2,0,0
Bifidobacterium miconisargentati,0,0,0,0,0,1,0,0
Bifidobacterium minimum,0,0,0,0,0,1,0,0
Bifidobacterium porcinum,0,0,0,0,0,1,0,0
Bifidobacterium pseudocatenulatum,0,0,0,0,1542,4143,6149,2198
Bifidobacterium pseudolongum,0,1,0,3,4,0,0,0
Bifidobacterium ramosum,0,3,0,1,0,0,0,0
Bifidobacterium ruminantium,3,0,8,2,0,0,0,0
Bifidobacterium saguini,0,0,0,0,0,1,1,3
Bifidobacterium scardovii,0,0,2,0,0,0,0,0
Bifidobacterium simiiventris,0,0,0,0,0,1,2,1
Bilifractor porci,0,0,0,0,0,0,1,0
Blautia acetigignens,0,0,0,0,0,0,0,27
Blautia ammoniilytica,2,2,4,0,0,0,0,0
Blautia aquisgranensis,0,0,0,0,0,2,10,0
Blautia caecimuris,0,0,0,0,0,371,151,349
Blautia celeris,1,1,3,0,0,0,0,0
Blautia faecis,0,1,2,0,0,235,3,37
Blautia fusiformis,253,0,0,183,0,907,0,270
Blautia hansenii,0,0,0,0,0,0,549,0
Blautia intestinihominis,0,0,0,0,0,22,0,0
Blautia luti,0,0,0,0,541,0,0,3
