species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Bifidobacterium apis,0,0,0,0,0,0,1,0
Bifidobacterium biavatii,0,0,0,0,0,0,4,1
Bifidobacterium bifidum,0,0,0,0,1654,4331,6156,2657
Bifidobacterium bombi,0,0,0,0,0,0,1,2
Bifidobacterium boum,0,0,0,0,0,0,6,0
Bifidobacterium breve,0,0,0,0,0,0,0,370
Bifidobacterium catenulatum,0,0,0,1,602,1485,5026,2912
Bifidobacterium colobi,0,0,0,0,0,1,0,3
Bifidobacterium criceti,0,0,0,0,0,0,1,0
Bifidobacterium dentium,0,0,0,0,7,13,0,0
Bifidobacterium hominis,0,0,0,0,0,629,0,252
Bifidobacterium longum,0,0,0,0,7955,20821,6741,12366
Bifidobacterium magnum,0,0,0,0,0,0,1,0
Bifidobacterium mellis,0,0,0,0,0,1,0,0
Bifidobacterium merycicum,0,0,0,0,0,0,0,3
Bifidobacterium miconis,0,2,1,0,0,0,0,0
Bifidobacterium mongoliense,0,0,0,0,0,1,0,0
Bifidobacterium pluvialisilvae,0,1,0,0,0,0,0,0
Bifidobacterium pongonis,0,0,0,0,0,0,62,0
Bifidobacterium porcinum,0,0,1,0,0,1,0,0
Bifidobacterium pseudocatenulatum,0,0,0,0,1542,3534,6984,1862
Bifidobacterium pseudolongum,0,0,0,3,0,0,1,0
Bifidobacterium reuteri,0,0,0,0,0,0,99,18
Bifidobacterium ruminantium,0,1,0,1,2,0,48,0
Bifidobacterium saguini,0,0,0,0,0,2,0,1
Bifidobacterium scardovii,0,0,2,0,0,0,0,0
Bifidobacterium simiiventris,0,0,3,0,0,0,0,0
Bifidobacterium stellenboschense,0,0,0,0,2,0,0,0
Blautia acetigignens,0,0,0,0,0,592,0,0
Blautia ammoniilytica,13,16,0,0,1,1711,0,0
Blautia aquisgranensis,0,0,0,0,0,0,0,226
Blautia argi,0,0,0,0,0,206,0,0
Blautia caecimuris,0,0,0,0,0,0,529,0
Blautia celeris,1,1,1,2,0,0,0,0
Blautia faecis,2,0,0,63,0,3,0,0
Blautia fusiformis,6,0,0,225,452,0,612,0
Blautia hansenii,0,0,0,0,74,0,0,497
Blautia hydrogenotrophica,0,0,0,0,0,0,0,3
Blautia intestinihominis,0,0,0,0,0,0,1,581
Blautia luti,0,0,0,0,0,1550,1,737
Blautia marasmi,0,0,0,0,2,0,0,10
Blautia obeum,0,0,0,0,4723,12068,9871,7275
Blautia pseudococcoides,0,0,0,0,0,0,1,0
Blautia segnis,0,0,0,0,1,2,0,8
Blautia stercoris,0,0,0,0,0,11,0,0
Blautia wexlerae,0,0,0,0,4976,12200,12517,7252
Bombiscardovia apis,0,0,0,0,0,1,0,0
Brachyspira pilosicoli,0,0,0,0,0,2,0,2
Brevundimonas nasdae,0,0,0,0,1,0,1,0
Brotaphodocola catenula,0,0,0,11,5,0,262,0
Brotocaccenecus cirricatena,10,0,0,0,8,0,66,0
Brotomerdimonas butyrica,0,1,0,0,0,0,0,0
