taxon	nb	tax_abundance	sample
165179	1	1	healthy_stool_100_100
853	1	1	healthy_stool_100_100
821	1	1	healthy_stool_100_100
820	1	1	healthy_stool_100_100
40518	1	1	healthy_stool_100_100
39491	1	1	healthy_stool_100_100
1680	1	1	healthy_stool_100_100
74426	1	1	healthy_stool_100_100
28117	1	1	healthy_stool_100_100
357276	1	1	healthy_stool_100_100
1150298	1	1	healthy_stool_100_100
301302	1	1	healthy_stool_100_100
216816	1	1	healthy_stool_100_100
239935	1	1	healthy_stool_100_100
649756	1	1	healthy_stool_100_100
46506	1	1	healthy_stool_100_100
562	1	1	healthy_stool_100_100
88431	1	1	healthy_stool_100_100
33039	1	1	healthy_stool_100_100
39485	1	1	healthy_stool_100_100
310297	1	1	healthy_stool_100_100
823	1	1	healthy_stool_100_100
39488	1	1	healthy_stool_100_100
33043	1	1	healthy_stool_100_100
410072	1	1	healthy_stool_100_100
28116	1	1	healthy_stool_100_100
47678	1	1	healthy_stool_100_100
360807	1	1	healthy_stool_100_100
487174	1	1	healthy_stool_100_100
2173	1	1	healthy_stool_100_100
28052	1	1	healthy_stool_100_100
45851	1	1	healthy_stool_100_100
46503	1	1	healthy_stool_100_100
40520	1	1	healthy_stool_100_100
214856	1	1	healthy_stool_100_100
818	1	1	healthy_stool_100_100
418240	1	1	healthy_stool_100_100
166486	1	1	healthy_stool_100_100
626940	1	1	healthy_stool_100_100
817	1	1	healthy_stool_100_100
363265	1	1	healthy_stool_100_100
28111	1	1	healthy_stool_100_100
39486	1	1	healthy_stool_100_100
246787	1	1	healthy_stool_100_100
1681	1	1	healthy_stool_100_100
28118	1	1	healthy_stool_100_100
46228	1	1	healthy_stool_100_100
371601	1	1	healthy_stool_100_100
1628085	1	1	healthy_stool_100_100
28026	1	1	healthy_stool_100_100
301301	1	1	healthy_stool_100_100
1304	1	1	healthy_stool_100_100
33038	1	1	healthy_stool_100_100
116085	1	1	healthy_stool_100_100
1308	1	1	healthy_stool_100_100
28125	1	1	healthy_stool_100_100
1501391	1	1	healthy_stool_100_100
1735	1	1	healthy_stool_100_100
204516	1	1	healthy_stool_100_100
573	1	1	healthy_stool_100_100
1550024	1	1	healthy_stool_100_100
745368	1	1	healthy_stool_100_100
329854	1	1	healthy_stool_100_100
328814	1	1	healthy_stool_100_100
100886	1	1	healthy_stool_100_100
310298	1	1	healthy_stool_100_100
1686	1	1	healthy_stool_100_100
446660	1	1	healthy_stool_100_100
292800	1	1	healthy_stool_100_100
338188	1	1	healthy_stool_100_100
33025	1	1	healthy_stool_100_100
674529	1	1	healthy_stool_100_100
487175	1	1	healthy_stool_100_100
572010	1	1	healthy_stool_100_100
1683	1	1	healthy_stool_100_100
39490	1	1	healthy_stool_100_100
1623	1	1	healthy_stool_100_100
218538	1	1	healthy_stool_100_100
39496	1	1	healthy_stool_100_100
28127	1	1	healthy_stool_100_100
1260	1	1	healthy_stool_100_100
119219	1	1	healthy_stool_100_100
901	1	1	healthy_stool_100_100
187327	1	1	healthy_stool_100_100
454155	1	1	healthy_stool_100_100
261299	1	1	healthy_stool_100_100
28025	1	1	healthy_stool_100_100
291644	1	1	healthy_stool_100_100
1318	1	1	healthy_stool_100_100
84112	1	1	healthy_stool_100_100
386414	1	1	healthy_stool_100_100
1352	1	1	healthy_stool_100_100
28128	1	1	healthy_stool_100_100
626929	1	1	healthy_stool_100_100
244366	1	1	healthy_stool_100_100
471189	1	1	healthy_stool_100_100
1981510	1	1	healthy_stool_100_100
29466	1	1	healthy_stool_100_100
28130	1	1	healthy_stool_100_100
907	1	1	healthy_stool_100_100
