"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
246787,"Bacteroides cellulosilyticus",2,2.00052013523516e-05,2.4,2.39034589326319e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","Phocaeicola",2,"Phocaeicola dorei",2,1,0,0,0,0
547043,"Bifidobacterium pseudocatenulatum",1,1.00026006761758e-05,1,1.00026031013474e-05,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudocatenulatum","Bifidobacterium",1,"Bifidobacterium longum",1,1,0,0,0,0
2935520,"Faecalibacterium hattorii",1,1.00026006761758e-05,1.4,1.40071635925439e-05,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium hattorii","Faecalibacterium",1,"Faecalibacterium prausnitzii",1,1,0,0,0,0
2518605,"Segatella hominis",1,1.00026006761758e-05,1,1.01758891399613e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella hominis","Bacteroides",1,"Bacteroides fragilis",1,1,0,0,0,0
411483,"Faecalibacterium duncaniae",1,1.00026006761758e-05,1.1,1.14966308149187e-05,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium duncaniae","Blautia",1,"Lachnospiraceae bacterium",1,1,0,0,0,0
2763032,"Butyricimonas hominis",1,1.00026006761758e-05,1.4,1.43614916730124e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas hominis","Phocaeicola",1,"Phocaeicola dorei",1,1,0,0,0,0
2763053,"Lawsonibacter hominis",1,1.00026006761758e-05,1,1.00020815431086e-05,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter","Lawsonibacter hominis","Megasphaera",1,"Caproiciproducens galactitolivorans",1,10,0,0,0,0
2981782,"Blautia ammoniilytica",1,1.00026006761758e-05,1.1,1.12514914385705e-05,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia ammoniilytica","Blautia",1,"Anaerobutyricum hallii",1,10,0,0,0,0
3133171,"Pseudoflavonifractor intestinihominis",1,1.00026006761758e-05,1,1.01467065604181e-05,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor","Pseudoflavonifractor intestinihominis","Lactobacillus",1,"Lactobacillus crispatus",1,1,0,0,0,0
3133166,"Laedolimicola intestinihominis",1,1.00026006761758e-05,1.1,1.11442160951571e-05,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Laedolimicola","Laedolimicola intestinihominis","Dorea",1,"Dorea longicatena",1,1,0,0,0,0
0,"unknown genome; accession ID isNZ_AP031406.1",1,1.00026006761758e-05,1.1,1.14092060630177e-05,"0","0","0","0","0","0","0","Lactobacillus",1,"Adlercreutzia hattorii",1,10,0,0,0,0
1871030,"Merdibacter massiliensis",1,1.00026006761758e-05,1.3,1.28898939524896e-05,"0","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Merdibacter","Merdibacter massiliensis","Megasphaera",1,"Caproiciproducens galactitolivorans",1,10,0,0,0,0
