"","abundance_cols.healthy_stool_10_1","abundance_cols.healthy_stool_10_10","abundance_cols.healthy_stool_10_100","abundance_cols.healthy_stool_10_50"
"RRMSE",1413.06514907363,1043.43550077579,963.251984106702,1118.42177621406
"AVGRE",148.290616983862,147.863428454833,184.449898549627,233.47996217441
"NRMSE",17963.2262551505,17411.7831724018,17056.1410054088,17109.2502402691
