"","abundance_cols.healthy_stool_10_1","abundance_cols.healthy_stool_10_10","abundance_cols.healthy_stool_10_100","abundance_cols.healthy_stool_10_50","abundance_cols.healthy_stool_100_1","abundance_cols.healthy_stool_100_50"
"RRMSE",1413.06514907363,1043.43550077579,963.251984106702,1118.42177621406,1550.07088131326,599.943858440119
"AVGRE",148.290616983862,147.863428454833,184.449898549627,233.47996217441,95.2557457375185,98.3141291821463
"NRMSE",17963.2262551505,17411.7831724018,17056.1410054088,17109.2502402691,15379.3492327204,13994.8324467977
