"","TP","TN","FP","FN","TPR","FPR"
"abundance_cols.Healthy_stool_10_1",7,33817,3,492,0.0140280561122244,8.87049083382614e-05
"abundance_cols.Healthy_stool_10_10",7,33817,3,492,0.0140280561122244,8.87049083382614e-05
"abundance_cols.Healthy_stool_10_100",7,33817,3,492,0.0140280561122244,8.87049083382614e-05
"abundance_cols.Healthy_stool_10_50",7,33817,3,492,0.0140280561122244,8.87049083382614e-05
"abundance_cols.Healthy_stool_100_1",66,33817,18,433,0.132264529058116,0.000531993497857248
"abundance_cols.Healthy_stool_100_10",76,33817,21,423,0.152304609218437,0.000620604054613157
"abundance_cols.Healthy_stool_100_100",76,33817,24,423,0.152304609218437,0.000709198900741704
"abundance_cols.Healthy_stool_100_50",76,33817,22,423,0.152304609218437,0.000650137415408257
