"","abundance_cols.Healthy_stool_10_1","abundance_cols.Healthy_stool_10_10","abundance_cols.Healthy_stool_10_100","abundance_cols.Healthy_stool_10_50","abundance_cols.Healthy_stool_100_1","abundance_cols.Healthy_stool_100_10","abundance_cols.Healthy_stool_100_100","abundance_cols.Healthy_stool_100_50"
"RRMSE",7555854.89125903,7556274.53657118,7556593.12650131,7556273.80459544,7697635.53792754,7691188.16418702,7698718.01650643,7698453.51299136
"AVGRE",859838.687679935,590812.719963307,594723.961795406,713670.486687593,2144118.28479754,945678.318825694,982009.533076361,727722.528064577
"NRMSE",685.33378721625,685.343345317049,685.351547003621,685.340622343435,672.724988750259,673.392477643999,672.742471888062,672.741991020607
