"","MCC"
"abundance_cols.Healthy_stool_10_1",0.00201591616531515
"abundance_cols.Healthy_stool_10_10",0.00201591616531515
"abundance_cols.Healthy_stool_10_100",0.00201591616531515
"abundance_cols.Healthy_stool_10_50",0.00201591616531515
"abundance_cols.Healthy_stool_100_1",0.021961620666565
"abundance_cols.Healthy_stool_100_10",0.0219673843188048
"abundance_cols.Healthy_stool_100_100",0.0219731482291664
"abundance_cols.Healthy_stool_100_50",0.0219673843188048
