"","abundance_cols.Healthy_stool_10_1","abundance_cols.Healthy_stool_10_10","abundance_cols.Healthy_stool_10_100","abundance_cols.Healthy_stool_10_50","abundance_cols.Healthy_stool_100_1","abundance_cols.Healthy_stool_100_10","abundance_cols.Healthy_stool_100_100","abundance_cols.Healthy_stool_100_50"
"RRMSE",7556017.12371108,7556421.10922944,7556683.57321665,7556409.89606117,7697777.25378166,7691224.32544256,7683934.61589755,7691120.1123143
"AVGRE",712786.983706924,557066.687720741,659150.806473799,639424.915852007,1683654.95405763,818443.849047536,1042183.45547748,656159.892467529
"NRMSE",685.341258119692,685.352611775074,685.359937941473,685.350257086422,672.728958965888,673.391308441507,674.036418847638,673.390038571068
