"TaxonomyID","read_count"
28116,332956.050018468
435590,311906.620352634
226186,325384.626686635
246787,285329.208878957
295405,214411.461370665
40520,182601.4
536231,317181.6
411479,234365.755161948
266264,150990.5
1121101,141871.156368421
411461,120818.7
47678,206720.868317554
709991,124549.8
300267,116945.3
435591,221306.589983753
1550024,119403.8
449673,133277.782346369
717959,101001.8
537011,186157.9
515619,180502.917647059
745368,96942.1
585394,97291.0176470588
762982,170404.390302249
411469,117781.4
479437,93028.9
411462,170147.8
657308,87775.1
411474,85640.7
445973,85032.5
1235811,78034.7
292800,85665.1117647059
1384484,80979.6
515620,133572.5
762966,79662.5
679935,100315.446309909
471875,75689.6
649756,69921.3
411903,71269.1
349741,70551.4
333849,68612.2
511680,68335.1
411460,67790.0176470588
411463,68615.4
1501391,64970.2
367928,66229.3
568816,63342.6
760570,61652.2
518635,59119.2
479436,60313.5
1384063,59724.8176470588
1069534,58465.8
702459,58206
626939,55849.0176470588
1458465,54511.7
518637,54143.8
592028,53600
206672,52773.7
1051074,47419.3
679190,44653.743902439
1304,40009.5
901,35534
999419,24913.1
NA,23071.2
NA,20653.7
411483,20103.9
334413,12310.4
1033732,9048.2
198214,11777.4
537007,9172.6
NA,8027.9
99287,6062.8
68895,5536.3
NA,6844.4
NA,6807.5
NA,6735.1
NA,6138.1
NA,2944
NA,2782.2
NA,2499.2
564886,2162.9
NA,2124
518634,2001.3
445972,1933.9
NA,1838.2
NA,1787.8
NA,1734
NA,1726
888743,1710.7
214092,1695.5
1121094,2055.7
NA,1605
566550,1589.2
NA,1563.9
299766,1756.7
NA,1515
1118056,1623.6
1218112,1301.4
1852370,1370.8
NA,1335
NA,1320
1427517,1288
667015,2584.1
NA,1273
NA,1266
1150423,1268.9
1150461,887
626522,1017.9
1547597,1180.9
1816678,1157.3
411467,1172.5
NA,1172
NA,1153.5
97081,1326.4
NA,1139
NA,1130.6
NA,1097
NA,1080
1447715,1072.2
NA,1059.4
NA,1043
626937,1041.1
NA,1028
NA,992.6
NA,983
1745713,961.2
NA,967
NA,955.9
NA,951
NA,945
NA,937.4
NA,928
1445607,914.8
911023,1032
1776384,853.5
NA,846
1410657,853.4
585502,832.3
1437610,826
NA,809
NA,800.8
NA,794.5
NA,786
428127,727.3
667120,795.7
NA,771
39480,1229.5
NA,730
NA,719
NA,708
NA,706
NA,704
NA,700
NA,653
NA,646.4
1841865,633.9
NA,639
NA,633.1
701347,612.7
272563,804.9
28141,848
NA,586
1408437,653.6
NA,568
796942,568.3
565655,631.1
NA,540
1917878,494.6
39482,529.3
1907654,521.6
NA,516
NA,513
NA,509.6
NA,510
379893,911.4
997894,520.5
NA,487
1590550,477
NA,483.4
NA,463
226185,459.8
NA,460
NA,453
NA,449.4
NA,447
1841857,479.6
742743,421.5
875454,381.5
1815968,417.1
NA,415
NA,404
NA,401
NA,399
NA,240.8
862517,501.8
NA,370
NA,367
NA,364
NA,361.3
927665,383.8
NA,354
1035839,465.2
1122949,329.1
35760,377.3
1242245,329.9
1034345,317.9
1006000,331.7
563769,271.2
591001,263.3
NA,317
158822,398.5
796334,322.1
1650661,314.2
NA,310
NA,307
NA,305
1653435,298.6
742740,296.6
1121114,296
NA,294
NA,355.2
1122988,285.8
NA,281
518636,269.3
NA,272
1160721,268.8
768486,264.3
NA,258.1
NA,257
742817,256.1
938289,239.3
679200,238
NA,235.7
NA,236
NA,233
NA,233
NA,229
411471,233.2
NA,227
1236498,228.1
61647,226.9
NA,213.7
NA,206.1
NA,207
334735,201.6
1147152,154.8
1121950,207.5
NA,198
NA,208.4
478749,198.4
NA,192.9
NA,191
NA,185.2
411473,191.6
1437608,178.6
393278,172.5
NA,176
NA,175
NA,173
888064,170.9
1349822,168.9
1732063,164.8
NA,165
1796646,163.4
196242,217
1567486,171.2
1122973,160.7
NA,160
NA,159
1437607,151.4
1121331,207.5
NA,150
1158601,199.1
NA,146
411490,141.2
258723,140.6
883114,147.6
1123313,190.6
NA,140
NA,142.8
NA,138
525254,129.5
1300165,154.2
1035196,149.1
NA,150.6
NA,134
NA,130.4
1449340,110.6
365659,126.1
NA,125
1769291,126.4
1095770,148.2
NA,113.3
1235834,100.3
1871021,122.3
1903263,119.5
NA,118.8
1158607,113.7
208224,117
NA,112
NA,109
NA,107.5
742733,110.7
604330,105.7
1871018,130.8
1121333,101.9
NA,106.3
NA,105
290052,119.2
1236516,93.7
1384589,107.3
871963,108.4
1871022,97
1158614,100.3
NA,162.7
467210,175
1236517,74.2
1432052,98
NA,97
NA,98.3
1000568,162.3
NA,94
NA,94
NA,94.1
NA,89
NA,86
