Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
Bacteria,Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,Armatimonadetes bacterium Uphvl-Ar1,Armatimonadetes bacterium Uphvl-Ar1,408,0,1,0,0,0,0,0,0
Bacteria,Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,Armatimonadetes bacterium Uphvl-Ar2,Armatimonadetes bacterium Uphvl-Ar2,409,2,0,3,1,1,0,0,1
Bacteria,Bacteroidetes,Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,827,26,20,30,12,11,26,22,19
Bacteria,candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,candidate division Zixibacteria bacterium,candidate division Zixibacteria bacterium,910,2,5,1,3,8,4,2,1
Bacteria,Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,Candidatus Gracilibacteria bacterium HOT-871,Candidatus Gracilibacteria bacterium HOT-871,947,3,1,0,4,3,2,2,1
Bacteria,Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,Candidatus Saccharibacteria bacterium oral taxon 488,Candidatus Saccharibacteria bacterium oral taxon 488,1022,3,2,16,7,8,10,12,6
Bacteria,Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,1023,1,0,0,1,0,0,0,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Nostocales,o_Nostocales,o_Nostocales,o_Nostocales,o_Nostocales,3757,11,9,24,4,6,13,13,12
Bacteria,Firmicutes,Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,826,159,116,76,113,33,35,31,50
Bacteria,Firmicutes,Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,829,30,60,20,29,13,9,9,11
Bacteria,Firmicutes,Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,837,17,7,8,7,3,0,3,3
Bacteria,Firmicutes,Tissierellia,c_Tissierellia,c_Tissierellia,c_Tissierellia,c_Tissierellia,c_Tissierellia,839,7,2,0,0,0,0,0,0
Bacteria,Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,endosymbiont TC1 of Trimyema compressum,endosymbiont TC1 of Trimyema compressum,1650,2,2,20,5,4,9,15,5
