#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	0	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum exile	0	0	1	0	0	0	0
d__Bacteria|p__Calditrichaeota	0	0	2	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae	0	0	2	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	0	0	2	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	0	0	2	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	0	0	2	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix abyssi	0	0	2	0	1	0	1
d__Bacteria|p__Dictyoglomi	0	1	0	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	0	1	0	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	0	1	0	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	0	1	0	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	0	1	0	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus turgidum	0	1	0	0	0	0	1
d__Bacteria|p__Candidatus Saccharibacteria	0	1	0	0	1	0	1
d__Bacteria|p__Candidatus Saccharibacteria|s__Candidatus Saccharibacteria bacterium oral taxon 488	0	1	0	0	1	0	1
d__Bacteria|p__Thermodesulfobacteria	0	2	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	0	2	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	0	2	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	0	2	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator	0	2	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator indicus	0	2	0	0	0	0	0
d__Bacteria|p__Chrysiogenetes	0	3	0	0	0	0	1
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	0	3	0	0	0	0	1
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	0	3	0	0	0	0	1
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	0	3	0	0	0	0	1
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	0	3	0	0	0	0	1
