#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis albus	0	0	2	2	1	0	3	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae	0	1	1	0	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella	0	1	1	0	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella marina	0	1	1	0	0	0	0	0
d__Bacteria|p__Chrysiogenetes	0	1	3	0	0	0	0	2
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	0	1	3	0	0	0	0	2
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	0	1	3	0	0	0	0	2
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	0	1	3	0	0	0	0	2
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	0	1	3	0	0	0	0	2
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum indicum	0	1	3	0	0	0	0	2
d__Bacteria|p__Calditrichaeota	0	2	0	1	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae	0	2	0	1	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	0	2	0	1	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	0	2	0	1	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	0	2	0	1	0	1	0	1
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix abyssi	0	2	0	1	0	1	0	1
d__Bacteria|g__Vampirococcus	0	1	0	0	0	0	0	0
d__Bacteria|g__Vampirococcus|s__Vampirococcus sp. LiM	0	1	0	0	0	0	0	0
d__Bacteria|p__Candidatus Cloacimonetes	0	1	2	1	1	1	2	1
d__Bacteria|p__Candidatus Cloacimonetes|g__Candidatus Cloacimonas	0	1	2	1	1	1	2	1
d__Bacteria|p__Candidatus Cloacimonetes|g__Candidatus Cloacimonas|s__Candidatus Cloacimonas acidaminovorans	0	1	2	1	1	1	2	1
d__Bacteria|p__Fibrobacteres	0	2	11	3	2	3	7	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0	2	11	3	2	3	7	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0	2	11	3	2	3	7	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae	0	2	11	3	2	3	7	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter	0	2	11	3	2	3	7	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter succinogenes	0	2	11	3	2	3	7	3
d__Bacteria|p__Nitrospirae	1	2	0	1	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira	1	2	0	1	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	1	2	0	1	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	1	2	0	1	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	0	0	0	1	0	0	0	0
