Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Run_mock__10eb-90gr-2,Run_mock__50eb-50gr-1,Run_mock__5eb-95gr-2,Run_mock__95eb-5gr-1,Run_mock__ec-Bl-Rp-Rm-Cn-2,Run_mock__vaio-Mock-10-4-1,Run_mock__vaio-Mock-10-4-2,Run_mock__vaio-Mock-10-5-1,Run_mock__vaio-Mock-10-6-3,Run_newprimers__vaio-Mock-Newprimer-4
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan189,Planctomycetes bacterium Pan189,1634,0,0,0,0,0,0,1,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla163,Planctomycetes bacterium Pla163,1635,0,0,0,0,1,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium SRT547,Planctomycetes bacterium SRT547,1636,0,0,0,1,0,0,0,0,1,0
Bacteria,Proteobacteria,Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,275,26,29,15,95,212,187,227,213,233,170
Bacteria,Proteobacteria,Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,278,54,65,40,103,1516,233,344,314,399,170
Bacteria,Proteobacteria,Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,283,2,0,0,3,42,5,26,20,18,9
Bacteria,Proteobacteria,Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,284,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,285,30,53,13,156,939,269,428,293,344,191
Bacteria,Spirochaetes,Spirochaetia,c_Spirochaetia,c_Spirochaetia,c_Spirochaetia,c_Spirochaetia,c_Spirochaetia,287,0,0,0,0,1,1,1,0,0,0
Bacteria,Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,Verrucomicrobia bacterium S94,Verrucomicrobia bacterium S94,2046,0,0,0,1,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,1475,0,1,0,0,0,0,0,1,0,1
Bacteria,Actinobacteria,Actinobacteria,Frankiales,o_Frankiales,o_Frankiales,o_Frankiales,o_Frankiales,1480,0,0,0,0,1,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,o_Micrococcales,o_Micrococcales,o_Micrococcales,o_Micrococcales,1483,17,23,10,11,4,3,4,7,7,3
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,o_Propionibacteriales,o_Propionibacteriales,o_Propionibacteriales,o_Propionibacteriales,1489,0,0,0,0,2,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,Actinobacteria bacterium YIM 96077,Actinobacteria bacterium YIM 96077,45,0,1,0,2,0,0,0,0,0,0
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,1474,0,0,0,0,0,1,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,o_Bacteroidales,o_Bacteroidales,o_Bacteroidales,o_Bacteroidales,1467,57,103,73,131,8,28,37,33,30,22
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,o_Marinilabiliales,o_Marinilabiliales,o_Marinilabiliales,o_Marinilabiliales,1482,75,113,69,58,3,12,29,21,19,22
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,o_Cytophagales,o_Cytophagales,o_Cytophagales,o_Cytophagales,1476,44,38,46,29,2,15,20,13,23,10
