"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes senegalensis","Alistipes senegalensis",29,1.4,0,0,1.2,9.1,532.7,421.4,25.1
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","Alistipes shahii",30,6.1,13.8,19.3,7.8,1227.01489361702,3066.6,15970.8319727891,4552.38823529412
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes timonensis","Alistipes timonensis",31,0,0,0,0,25.8,2,19.3,1
NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Allobaculum stercoricanis","Allobaculum stercoricanis",32,0,0,0,0,4.8,0,0,41.6
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Allofournierella","Allofournierella massiliensis","Allofournierella massiliensis",33,0,0,0,0,7,0,0,25.3
NA,"Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Alloiococcus","Alloiococcus otitis","Alloiococcus otitis",34,0,0,0,0,0,0.5,0,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella rava","Alloprevotella rava",35,0,0,0,0,0,1.1,2.3,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella tannerae","Alloprevotella tannerae",36,0,0,0,0,26.4,45.8,9,13.6
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia","Alloscardovia criceti","Alloscardovia criceti",37,0,0,0,0,3,7,2,6
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia","Alloscardovia omnicolens","Alloscardovia omnicolens",38,0,0,0,0,5,8,3,4
NA,"Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","Alterileibacterium","Alterileibacterium massiliense","Alterileibacterium massiliense",39,0,0,0,0,5.8,4,2,5
NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus","Amedibacillus dolichus","Amedibacillus dolichus",40,19,0,13.1,16.3,16,79.3,0,90.3
NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Amphibacillus","Amphibacillus xylanus","Amphibacillus xylanus",41,0,5.3,9,2.7,0,0,0,0
NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus","Amylolactobacillus amylophilus","Amylolactobacillus amylophilus",42,0,0,0,0,0,1.3,2.8,5
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobium","Anaerobium acetethylicum","Anaerobium acetethylicum",43,0,0,0,0,0,1.2,0,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","Anaerobutyricum hallii",44,4.2,13.1,8.4,30.244,6325.94444444445,16055.1222510823,9015.06447368421,10590.7225601422
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus lactolyticus","Anaerococcus lactolyticus",45,0,0,0,0,0,10.3,42.9,2
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus mediterraneensis","Anaerococcus mediterraneensis",46,0,0,0,0,0,0,2.7,2.2
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus obesiensis","Anaerococcus obesiensis",47,0,0,0,0,0,15.8,102.1,23.4
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus prevotii","Anaerococcus prevotii",48,0,0,0,0,0,5.3,32.4,30.5
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus provencensis","Anaerococcus provencensis",49,0,0,0,0,0,1.9,1.5,3.1
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus tetradius","Anaerococcus tetradius",50,0,0,0,0,2,0,28.4,8.4
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosporobacter","Anaerosporobacter mobilis","Anaerosporobacter mobilis",51,0,0,0,0,0,1.3,0,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes caccae","Anaerostipes caccae",52,0,0,0,0,12.8,26.4,13.7,37.7
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes hadrus",53,11.7,36.4692307692308,9.25,37.844,5862.5,15135.9,7064.17368421053,9126.74838709677
NA,"Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum lactatifermentans","Anaerotignum lactatifermentans",54,42.5,0,0,0,43,73.5,114.9,13.4
NA,"Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum neopropionicum","Anaerotignum neopropionicum",55,0,0,0,0,25.9,11.7,5.1,36.5
