species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Acetitomaculum ruminis,0,0,0,0,1,0,1,2
Acetivibrio cellulolyticus,0,0,0,0,0,0,1,0
Acetivibrio ethanolgignens,0,0,1,2,3,36,4,8
Acidaminococcus fermentans,0,0,0,0,5,0,12,2
Acidaminococcus intestini,0,0,0,0,468,1266,6343,1814
Acidaminococcus timonensis,0,0,0,0,0,0,3,1
Acidovorax soli,0,0,0,0,0,0,2,0
Acinetobacter johnsonii,0,0,0,0,5,7,13,9
Acinetobacter schindleri,0,0,0,0,0,3,0,0
Acinetobacter towneri,0,0,0,0,0,1,0,1
Acutalibacter muris,4,1,2,5,1,3,0,1
Adlercreutzia caecimuris,0,0,0,0,6,17,0,19
Adlercreutzia equolifaciens,0,0,0,0,923,2408,8100,3489
Adlercreutzia mucosicola,0,0,0,0,0,6,1,0
Aedoeadaptatus coxii,0,0,0,0,0,0,0,1
Aerococcus christensenii,0,0,0,0,1,0,1,0
Aerococcus viridans,0,0,0,0,0,1,18,0
Agathobacter rectalis,50510,76075,100971,46125,21597,21274,9526,34132
Agathobaculum desmolans,2,51,0,10,17,47,41,48
Aguilavirus mEp043,0,0,0,0,0,7,0,0
Aguilavirus mEp213,0,0,0,0,0,0,3,3
Akkermansia muciniphila,0,0,0,0,6968,18375,6973,11239
Alicycliphilus denitrificans,0,0,0,0,0,1,4,4
Alistipes communis,0,0,0,0,3,79,15,82
Alistipes finegoldii,586,3,5,475,3733,8710,8484,5071
Alistipes ihumii,0,0,0,0,1,2,15,11
Alistipes inops,0,0,0,0,1136,2971,6511,4283
Alistipes putredinis,29065,44617,73833,25950,12323,11087,6902,20065
Alistipes senegalensis,0,0,1,1,24,550,74,602
Alistipes shahii,7,11,16,6,1233,3081,9596,4648
Alistipes timonensis,0,0,0,0,20,70,180,2
Alkaliphilus metalliredigens,0,0,0,0,0,1,0,0
Allobaculum stercoricanis,0,0,14,0,0,0,2,0
