"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira multipara","Lachnospira multipara",213,0,0,0,0,260,684,530,411
NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus amylovorus","Lactobacillus amylovorus",214,3,0,0,8,0,0,0,0
NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Lactonifactor","Lactonifactor longoviformis","Lactonifactor longoviformis",215,0,0,2,0,8,10,0,0
NA,"Uroviricota","Caudoviricetes",NA,NA,"Lambdavirus","Lambdavirus HK629","Lambdavirus HK629",216,0,0,0,0,0,0,5,0
NA,"Uroviricota","Caudoviricetes",NA,NA,"Lambdavirus","Lambdavirus HK630","Lambdavirus HK630",217,0,0,0,0,5,0,0,0
NA,"Uroviricota","Caudoviricetes",NA,NA,"Lambdavirus","Lambdavirus lambda","Lambdavirus lambda",218,0,0,0,0,0,11,0,0
NA,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Lamprocystis","Lamprocystis purpurea","Lamprocystis purpurea",219,0,0,0,0,1,0,0,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Lentimicrobiaceae","Lentimicrobium","Lentimicrobium saccharophilum","Lentimicrobium saccharophilum",220,0,0,0,0,0,1,0,0
NA,"Bacillota","Clostridia","Eubacteriales",NA,"Levyella","Levyella massiliensis","Levyella massiliensis",221,0,0,0,0,6,0,0,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Leyella","Leyella stercorea","Leyella stercorea",222,12,16,31,8,248,677,713,473
NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus agilis","Ligilactobacillus agilis",223,0,0,0,0,0,0,4,0
NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus ruminis","Ligilactobacillus ruminis",224,0,0,0,0,51,133,580,193
NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus mucosae","Limosilactobacillus mucosae",225,0,0,0,0,0,2,0,0
NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Mangrovibacter","Mangrovibacter phragmitis","Mangrovibacter phragmitis",226,0,0,0,0,0,3,0,0
NA,"Uroviricota","Caudoviricetes",NA,NA,"Marienburgvirus","Marienburgvirus BP4795","Marienburgvirus BP4795",227,0,0,0,0,0,21,7,2
NA,"Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Mariniblastus","Mariniblastus fucicola","Mariniblastus fucicola",228,0,0,0,0,2,0,0,0
NA,"Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Marinilactibacillus","Marinilactibacillus piezotolerans","Marinilactibacillus piezotolerans",229,0,0,3,0,0,0,0,2
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia","Marvinbryantia formatexigens","Marvinbryantia formatexigens",230,0,2,0,2,0,2,5,3
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Mediterranea","Mediterranea massiliensis","Mediterranea massiliensis",231,0,0,1,0,3,6,78,1
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter gnavus","Mediterraneibacter gnavus",232,0,1,1,4,143,357,611,457
NA,"Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii","Megasphaera elsdenii",233,0,0,0,0,32,77,569,87
NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Merdibacter","Merdibacter massiliensis","Merdibacter massiliensis",234,0,1,0,0,1,5,13,3
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Merdimmobilis","Merdimmobilis hominis","Merdimmobilis hominis",235,0,1,1,1,0,0,0,1
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Merdimonas","Merdimonas faecis","Merdimonas faecis",236,0,1,1,0,0,19,4,24
NA,"Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methyloglobulus","Methyloglobulus morosus","Methyloglobulus morosus",237,0,0,0,0,1,0,0,0
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Murdochiella","Murdochiella massiliensis","Murdochiella massiliensis",238,0,0,0,0,0,0,0,1
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Muribaculum intestinale","Muribaculum intestinale",239,0,0,0,0,0,3,2,1
NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Musicola","Musicola paradisiaca","Musicola paradisiaca",240,0,0,0,0,1,0,0,0
NA,"Bacillota",NA,NA,NA,"Negativibacillus","Negativibacillus massiliensis","Negativibacillus massiliensis",241,0,0,0,0,3,14,2,3
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Neglectibacter","Neglectibacter timonensis","Neglectibacter timonensis",242,0,0,0,0,0,5,1,0
NA,"Bacillota","Clostridia","Eubacteriales",NA,"Neofamilia","Neofamilia massiliensis","Neofamilia massiliensis",243,0,0,0,0,0,1,0,3
NA,"Thermomicrobiota","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Nitrolancea","Nitrolancea hollandica","Nitrolancea hollandica",244,0,0,0,0,0,0,0,1
NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Obesumbacterium","Obesumbacterium proteus","Obesumbacterium proteus",245,0,0,0,0,0,0,0,1
NA,"Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Oceanivirga","Oceanivirga salmonicida","Oceanivirga salmonicida",246,0,0,0,0,0,0,3,1
NA,"Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum","Oceanospirillum linum","Oceanospirillum linum",247,0,0,0,0,0,0,0,1
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter laneus","Odoribacter laneus",248,0,0,0,0,2,0,1,1
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus","Odoribacter splanchnicus",249,0,0,1,0,315,839,1245,519
NA,"Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Olegusella","Olegusella massiliensis","Olegusella massiliensis",250,0,0,0,0,1,1,0,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium","Oribacterium parvum","Oribacterium parvum",251,0,1,0,1,1,0,0,0
NA,"Uroviricota","Caudoviricetes",NA,NA,"Oslovirus","Oslovirus ov191","Oslovirus ov191",252,0,0,0,0,0,0,0,1
NA,"Uroviricota","Caudoviricetes",NA,NA,"Oslovirus","Oslovirus PA2","Oslovirus PA2",253,0,0,0,0,0,0,0,38
NA,"Uroviricota","Caudoviricetes",NA,NA,"Oslovirus","Oslovirus TL2011","Oslovirus TL2011",254,0,0,0,0,10,1,0,0
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","Oxalobacter paraformigenes","Oxalobacter paraformigenes",255,3,1,1,3,1,0,0,0
NA,"Uroviricota","Caudoviricetes",NA,NA,"Pankowvirus","Pankowvirus pv1717","Pankowvirus pv1717",256,0,0,0,0,2,161,10,4
NA,"Uroviricota","Caudoviricetes",NA,NA,"Pankowvirus","Pankowvirus YYZ2008","Pankowvirus YYZ2008",257,0,0,0,0,17,80,0,46
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides distasonis",258,6,1,18,24,815,2056,1200,1221
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides goldsteinii","Parabacteroides goldsteinii",259,0,0,0,0,4,26,3,12
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides johnsonii","Parabacteroides johnsonii",260,26,39,87,21,199,286,231,228
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia kururiensis","Paraburkholderia kururiensis",261,0,0,0,0,1,0,0,0
NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus","Paracoccus alcaliphilus","Paracoccus alcaliphilus",262,0,0,0,0,0,1,1,0
NA,"Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Parafannyhessea","Parafannyhessea umbonata","Parafannyhessea umbonata",263,0,0,0,0,0,1,0,2
NA,"Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Parapedobacter","Parapedobacter indicus","Parapedobacter indicus",264,0,0,0,0,2,0,3,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila","Paraprevotella xylaniphila",265,7,5,1,5,86,169,910,263
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Parasutterella excrementihominis","Parasutterella excrementihominis",266,7,0,0,0,76,193,795,284
NA,"Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Parolsenella","Parolsenella massiliensis","Parolsenella massiliensis",267,0,0,0,0,0,0,1,0
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus faecalis","Peptoniphilus faecalis",268,0,0,0,0,0,0,3,0
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus grossensis","Peptoniphilus grossensis",269,0,0,0,0,0,0,3,0
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus obesi","Peptoniphilus obesi",270,0,0,0,0,0,0,6,0
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus senegalensis","Peptoniphilus senegalensis",271,0,0,0,0,0,0,1,0
NA,"Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus anaerobius","Peptostreptococcus anaerobius",272,0,0,0,0,0,2,4,3
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas mucosa","Petrimonas mucosa",273,0,0,0,0,0,0,1,0
