species,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_50,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_50
methanogenic archaeon ISO4-H5,1,5,2,1,0,0,0,0
Candidatus Nitrosopelagicus brevis,1,0,1,0,0,0,1,0
Candidatus Nitrosotalea devanaterra,2,5,0,0,2,0,1,0
Candidatus Nitrosotalea okcheonensis,1,0,0,0,0,0,0,0
Candidatus Nitrosotenuis aquarius,0,0,0,1,0,0,0,0
Candidatus Nitrosotenuis cloacae,0,0,0,0,0,0,0,1
Candidatus Nitrosotenuis sp. DW1,0,1,0,1,0,0,0,0
o_Corynebacteriales,18,19,56,8,9,27,66,18
o_Micrococcales,10,3,2,5,5,3,0,1
o_Propionibacteriales,1,0,0,1,0,1,1,0
o_Streptosporangiales,1,2,0,2,0,0,0,0
Actinobacteria bacterium IMCC26256,5,3,0,1,0,0,0,0
Actinobacteria bacterium YIM 96077,2,4,19,5,2,10,27,26
o_Coriobacteriales,26,21,23,31,110,45,54,41
o_Aquificales,0,0,0,1,0,0,0,0
o_Bacteroidales,13642,14425,11642,15046,20924,16748,13656,16896
o_Marinilabiliales,5,0,0,1,0,0,0,0
o_Cytophagales,8,7,10,9,9,12,19,12
o_Flavobacteriales,56,31,149,55,33,69,128,51
f_Rhodothermaceae,4,3,3,0,3,0,1,2
Candidatus Cyclonatronum proteinivorum,5,3,1,8,4,6,1,7
Candidatus Bipolaricaulis anaerobius,0,1,0,1,0,0,0,0
Candidatus Cloacimonas acidaminovorans,4,6,29,11,5,16,17,12
Candidatus Saccharimonas aalborgensis,0,0,0,1,0,0,0,1
f_Aphanizomenonaceae,1,0,0,0,0,0,0,0
f_Nostocaceae,3,4,4,2,2,4,5,5
Nostocales cyanobacterium HT-58-2,1,1,0,5,1,1,0,4
o_Bacillales,124,150,61,105,34,25,21,37
o_Lactobacillales,164,105,47,91,6,3,8,6
o_Clostridiales,10896,4392,1853,4227,1023,998,644,1016
o_Halanaerobiales,0,1,0,0,0,0,0,0
o_Thermoanaerobacterales,0,0,0,0,1,0,0,0
Ndongobacter massiliensis,11,8,4,8,0,2,1,4
o_Fusobacteriales,2,3,1,2,0,0,0,0
o_Sedimentisphaerales,1,0,0,0,0,0,0,0
Phycisphaerae bacterium RAS2,2,0,1,1,0,0,0,0
o_Rhizobiales,11,18,12,26,16,18,21,9
o_Rhodospirillales,2,0,1,0,0,1,2,0
o_Sphingomonadales,5,6,2,2,0,3,2,1
o_Burkholderiales,55,24,24,41,40,12,16,15
o_Neisseriales,4,1,3,0,3,3,1,0
o_Nitrosomonadales,1,7,24,9,11,11,31,10
o_Rhodocyclales,6,1,1,3,7,3,0,0
beta proteobacterium CB,0,3,0,0,0,0,0,0
Betaproteobacteria bacterium GR16-43,1,1,1,0,1,1,0,0
o_Bradymonadales,4,3,2,3,6,7,8,1
o_Desulfobacterales,1,0,0,1,3,6,0,1
o_Desulfovibrionales,0,0,1,2,0,0,0,0
o_Desulfuromonadales,0,4,2,2,5,3,2,4
o_Myxococcales,2,0,1,3,1,0,1,0
o_Campylobacterales,5,2,0,1,0,0,0,0
o_Alteromonadales,15,4,3,1,1,0,0,2
o_Cellvibrionales,1,0,0,4,5,1,1,6
o_Chromatiales,1,0,0,0,0,0,0,0
o_Enterobacterales,132,87,97,89,15,37,59,34
o_Legionellales,0,1,0,0,0,0,0,0
o_Oceanospirillales,2,2,2,1,7,4,4,2
o_Pseudomonadales,0,9,35,10,8,20,36,16
o_Xanthomonadales,5,2,1,0,0,1,0,0
Bathymodiolus septemdierum thioautotrophic gill symbiont,2,1,8,1,1,0,2,5
