species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
Esparto virus,0,0,0,1,0,0,0,0
Pandoravirus neocaledonia,0,0,1,0,2,3,2,1
Pandoravirus salinus,0,0,0,1,0,0,0,0
Conexivisphaera calidus,1,3,0,0,0,0,0,0
Candidatus Prometheoarchaeum syntrophicum,6,3,0,4,0,0,0,0
Candidatus Mancarchaeum acidiphilum,0,1,0,0,0,0,0,0
o_Haloferacales,0,0,0,0,1,0,2,0
methanogenic archaeon ISO4-H5,1,7,2,2,1,2,0,1
Candidatus Aciduliprofundum boonei,1,0,0,2,0,0,0,0
Aciduliprofundum sp. MAR08-339,2,0,0,1,0,0,0,0
Candidatus Nitrosopelagicus brevis,1,0,15,1,2,11,11,6
Candidatus Nitrosotalea devanaterra,1,2,0,1,3,5,1,5
Candidatus Nitrosotalea okcheonensis,1,1,0,2,0,0,0,0
Candidatus Nitrosotenuis aquarius,0,1,0,1,0,0,0,0
Candidatus Nitrosotenuis cloacae,1,1,0,0,2,2,2,3
Candidatus Nitrosotenuis sp. DW1,1,1,0,1,0,0,0,0
o_Corynebacteriales,17,17,34,7,10,20,45,11
o_Micrococcales,11,2,3,7,9,2,2,3
o_Propionibacteriales,1,0,1,1,0,1,0,0
o_Streptosporangiales,1,1,1,1,0,0,0,0
Actinobacteria bacterium IMCC26256,4,3,1,2,0,0,0,0
Actinobacteria bacterium YIM 96077,1,2,11,3,1,4,16,15
o_Coriobacteriales,24,20,22,34,117,52,56,48
o_Bacteroidales,13788,14291,10182,14523,19984,15897,12038,16565
o_Marinilabiliales,1,0,0,0,0,0,0,0
o_Cytophagales,8,5,13,11,8,13,21,16
o_Flavobacteriales,50,28,85,38,17,40,75,27
f_Rhodothermaceae,5,2,3,0,2,0,0,0
Candidatus Cyclonatronum proteinivorum,9,5,1,8,10,8,3,8
Candidatus Bipolaricaulis anaerobius,0,1,0,0,0,0,0,0
Candidatus Cloacimonas acidaminovorans,3,5,16,10,5,10,13,8
Candidatus Saccharimonas aalborgensis,0,0,2,2,0,0,0,0
f_Aphanizomenonaceae,1,0,0,0,0,0,0,0
f_Nostocaceae,8,4,27,3,6,13,33,10
Nostocales cyanobacterium HT-58-2,3,1,1,5,1,1,0,5
o_Bacillales,119,138,60,95,25,24,19,27
o_Lactobacillales,172,104,38,86,4,2,4,4
o_Clostridiales,10495,4087,1879,4178,1786,1994,1354,2348
o_Halanaerobiales,0,1,0,0,0,0,0,0
o_Thermoanaerobacterales,0,0,0,0,1,0,0,0
Ndongobacter massiliensis,13,7,4,8,0,2,1,3
o_Fusobacteriales,3,4,1,2,0,0,0,0
Phycisphaerae bacterium RAS2,2,0,1,1,0,0,0,0
o_Rhizobiales,16,18,12,27,26,16,17,11
o_Rhodospirillales,3,0,0,2,1,3,0,0
o_Sphingomonadales,3,4,1,3,3,5,3,3
o_Burkholderiales,53,25,40,36,33,23,22,16
o_Neisseriales,1,1,2,1,3,2,1,0
o_Nitrosomonadales,1,5,18,6,7,7,19,7
o_Rhodocyclales,4,1,1,3,5,1,0,1
beta proteobacterium CB,1,1,0,0,0,0,0,0
Betaproteobacteria bacterium GR16-43,2,3,1,0,1,1,0,0
o_Bradymonadales,3,8,27,7,5,11,25,11
o_Desulfobacterales,1,0,0,1,4,3,1,2
o_Desulfovibrionales,0,1,0,1,0,0,0,0
o_Desulfuromonadales,0,4,4,2,6,2,3,3
o_Myxococcales,4,2,1,5,3,1,2,0
o_Campylobacterales,4,2,1,1,0,0,0,0
o_Alteromonadales,12,7,15,3,3,10,15,6
o_Cellvibrionales,0,0,0,3,3,1,2,5
o_Chromatiales,1,0,0,0,0,0,0,0
o_Enterobacterales,511,378,217,367,26,44,84,50
o_Legionellales,0,1,0,0,0,0,0,0
o_Oceanospirillales,1,1,2,1,9,5,5,1
o_Pseudomonadales,1,4,22,4,6,14,22,11
o_Xanthomonadales,2,1,0,1,0,0,0,0
Bathymodiolus septemdierum thioautotrophic gill symbiont,2,1,6,1,1,0,1,5
Bathymodiolus thermophilus thioautotrophic gill symbiont,5,2,2,0,0,0,0,0
Candidatus Palibaumannia cicadellinicola,2,2,0,4,0,0,0,0
endosymbiont of Euscepes postfasciatus,1,0,0,0,0,0,0,0
endosymbiont of unidentified scaly snail isolate Monju,1,0,0,0,2,2,2,1
gamma proteobacterium HdN1,0,2,0,2,0,0,0,0
gamma proteobacterium SS-5,7,2,2,1,0,1,1,1
Gammaproteobacteria bacterium DM2,1,5,31,5,1,14,27,18
Gammaproteobacteria bacterium ESL0073,3,1,1,2,0,0,0,0
o_Silvanigrellales,1,0,0,0,0,0,0,0
Candidatus Izimaplasma sp. HR1,6,2,1,2,0,0,0,0
Oxyplax ochracea nucleopolyhedrovirus,1,0,0,0,0,0,0,0
Diatraea saccharalis granulovirus,0,1,1,0,0,0,0,0
Spodoptera frugiperda granulovirus,0,0,0,1,0,0,0,0
o_Caudovirales,0,1,0,0,0,0,0,0
f_Sulfolobaceae,0,2,1,0,0,0,0,0
f_Methanobacteriaceae,0,1,0,0,0,0,0,0
f_Methanosarcinaceae,2,0,1,0,1,1,1,2
Thermoplasmatales archaeon BRNA1,1,0,13,2,2,5,14,7
g_Nitrosopumilus,0,0,20,3,1,12,21,8
f_Acidobacteriaceae,0,4,1,1,0,0,0,0
Chloracidobacterium thermophilum,2,0,0,2,0,0,0,0
Thermobispora bispora,0,1,0,0,0,0,0,0
f_Actinomycetaceae,4,2,1,2,5,7,2,1
f_Bifidobacteriaceae,3,4,2,5,9,6,5,1
f_Corynebacteriaceae,1,2,3,3,0,0,0,0
f_Mycobacteriaceae,7,15,30,17,29,18,37,15
f_Nocardiaceae,0,2,0,0,0,0,0,0
g_Tomitella,1,0,0,0,0,0,0,0
Frankineae bacterium MT45,1,0,1,0,0,0,0,0
f_Microbacteriaceae,6,4,6,5,0,2,3,1
f_Micrococcaceae,10,4,2,5,5,2,1,2
f_Promicromonosporaceae,2,1,1,0,0,0,0,0
f_Micromonosporaceae,6,2,0,4,3,2,0,2
f_Nocardioidaceae,0,0,0,0,1,0,0,0
f_Propionibacteriaceae,1,0,0,0,0,0,0,0
f_Pseudonocardiaceae,0,0,1,0,0,0,0,0
f_Streptomycetaceae,5,3,0,4,2,1,0,3
f_Atopobiaceae,30,18,6,18,37,29,22,17
f_Coriobacteriaceae,1,4,1,1,12,11,5,3
f_Eggerthellaceae,294,86,38,121,36,17,13,9
f_Dysgonomonadaceae,5,2,7,2,1,2,4,3
f_Muribaculaceae,18,20,29,12,6,12,15,4
f_Odoribacteraceae,31,18,12,20,4,1,1,3
f_Prevotellaceae,15,19,130,20,34,57,120,55
f_Rikenellaceae,1,2,4,3,5,3,5,4
f_Tannerellaceae,2,8,3,0,0,0,0,0
g_Phocaeicola,3206,5791,6169,9716,24324,20715,13616,23316
Bacteroidales bacterium CF,15,21,88,13,38,59,99,52
f_Prolixibacteraceae,2,1,0,1,0,0,0,0
f_Chitinophagaceae,16,5,13,4,0,7,10,6
f_Cyclobacteriaceae,0,0,1,0,0,0,0,0
f_Cytophagaceae,3,2,2,3,0,0,0,0
