"TaxonomyID","superkingdom","kingdom","phylum","class","order","family","genus","species","read_count","Proportion","readsEM","EMProportion","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
1235811,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella disiens",934,0.0125391007826869,886,0.0118964924016849,0,0,0,0,0,NA,NA
411469,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii",926,0.0124316994911864,929.8,0.0124845499514831,0,0,0,0,0,NA,NA
1256908,NA,NA,"Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ramulus",921,0.0123645736839986,900.4,0.0120891368628408,0,0,0,0,0,NA,NA
762982,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila",910,0.0122168969081853,912.5,0.0122520745083302,0,0,0,0,0,NA,NA
411462,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena",895,0.0120155194866218,903.3,0.0121277602586225,0,0,0,0,0,NA,NA
657308,NA,NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter pamelaeae",876,0.0117604414193081,875.6,0.0117559956903503,0,0,0,0,0,NA,NA
622312,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia inulinivorans",875,0.0117470162578705,929.8,0.0124847670263246,0,0,0,0,0,NA,NA
742726,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis",862,0.0115724891591821,872.9,0.0117203546885931,0,0,0,0,0,NA,NA
445973,NA,NA,"Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Intestinibacter","Intestinibacter bartlettii",845,0.0113442614147435,844,0.0113316500861466,0,0,0,0,0,NA,NA
411474,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus eutactus",841,0.0112905607689932,849.3,0.0114039827212276,0,0,0,0,0,NA,NA
745368,NA,NA,"Bacillota","Clostridia","Eubacteriales",NA,"Gemmiger","Gemmiger formicilis",840,0.0112771356075557,850.5,0.0114196606799862,0,0,0,0,0,NA,NA
292800,NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii",824,0.0110623330245546,825,0.0110768049757187,0,0,0,0,0,NA,NA
515620,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens",820,0.0110086323788044,815.7,0.0109520497523544,0,0,0,0,0,NA,NA
1384484,NA,NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens",810,0.0108743807644287,809.6,0.0108706550614461,0,0,0,0,0,NA,NA
762966,NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Parasutterella excrementihominis",795,0.0106730033428652,793.6,0.0106556959058218,0,0,0,0,0,NA,NA
1150298,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans",793,0.0106461530199901,805.1,0.0108101938087222,0,0,0,0,0,NA,NA
