"","TPR","FPR"
"abundance_cols.Healthy_stool_100_100_noerr",0.594495412844037,0.311358712472919
"abundance_cols.Healthy_stool_100_10_noerr",0.701754385964912,0.304433908195696
"abundance_cols.Healthy_stool_100_1_noerr",0.805150214592275,0.289515699840341
"abundance_cols.Healthy_stool_100_50_noerr",0.699319727891156,0.304578840443819
"abundance_cols.Healthy_stool_10_100_noerr",0.919959728165115,0.174141664089081
"abundance_cols.Healthy_stool_10_10_noerr",0.920391762933199,0.173630454967502
"abundance_cols.Healthy_stool_10_1_noerr",0.920556107249255,0.171836228287841
"abundance_cols.Healthy_stool_10_50_noerr",0.920409181636727,0.172554853105244
