Total Number of Aligned Reads:	84073	Total Number of Mapped Genomes:	6876
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|435590|org|Bacteroides_vulgatus_ATCC_8482|accession|NC_009614.1	0.07484672260686502	0.07152117802386021	6013.0	0.07140223377303058	0.00011894425082963615	0.0710463708178751	0.06822231586721925	5735.654761904723	0.06794095607388817	0.0024026738667586502
ti|28116|org|Bacteroides_ovatus|accession|NZ_CP012938.1	0.04644091032901773	0.04154722681479191	3493.0	0.041475860264294125	7.136655049778169e-05	0.045644030960268915	0.04058582686739174	3412.1722222222256	0.040345889881412585	0.0008207153307244894
ti|226186|org|Bacteroides_thetaiotaomicron_VPI-5482|accession|NC_004663.1	0.03431959852595484	0.028320626122536368	2381.0	0.028273048422204513	4.757770033185446e-05	0.032701367941636854	0.026859396001094386	2258.1500000000083	0.026512673509925897	0.0021409965149334505
ti|515619|org|[Eubacterium]_rectale_ATCC_33656|accession|NC_012781.1	0.03377766329605655	0.02632236270859848	2213.0	0.02626289058318366	5.947212541481807e-05	0.031088851801537677	0.023413799765958	1968.468387723387	0.023313073162608684	0.0008445041808904166
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703852.1	0.019159503028275862	0.014332782224971157	1205.0	0.01430899337480523	2.378885016592723e-05	0.018802146913734483	0.013971899703942092	1174.6595238095235	0.013868899646735575	0.00035683275248890844
ti|47678|org|Bacteroides_caccae|accession|NZ_CP022412.2	0.01837784465775206	0.019566329261475147	1645.0	0.01954254041130922	2.378885016592723e-05	0.018556568538809316	0.019755913181269694	1660.938888888887	0.019673379087221818	0.0004519881531526174
ti|515620|org|[Eubacterium]_eligens_ATCC_27750|accession|NC_012778.1	0.018236679349566846	0.01348827804408074	1134.0	0.01348827804408074	0.0	0.017969881427782223	0.013269751023250955	1115.6277777777775	0.01319091741700665	0.00017841637624445422
ti|367928|org|Bifidobacterium_adolescentis_ATCC_15703|accession|NC_008618.1	0.017903241173623942	0.01460635400187932	1228.0	0.01460635400187932	0.0	0.017861753680444886	0.014347154655279736	1206.2083333333333	0.014320887799888193	8.326097558074531e-05
ti|206672|org|Bifidobacterium_longum_NCC2705|accession|NC_004307.2	0.016028340280454804	0.019863689888549238	1670.0	0.019863689888549238	0.0	0.01577158286537258	0.019337262458419074	1625.7416666666668	0.01934033518489884	0.00017841637624445422
ti|295405|org|Bacteroides_fragilis_YCH46|accession|NC_006347.1	0.014294331508377446	0.016759244941895735	1409.0	0.016735456091729807	2.378885016592723e-05	0.010857336823495855	0.01340689893822156	1127.1582144331012	0.012976817765513304	0.003937054702460956
