Total Number of Aligned Reads:	7865724	Total Number of Mapped Genomes:	33631
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|28116|org|Bacteroides_ovatus|accession|NZ_CP012938.1	0.03744722877658411	0.04007081865572705	315186.0	0.039992758454275794	7.806020145125865e-05	0.0370374510311299	0.03899779485767093	306745.89095905883	0.038720148329638826	0.0009023962701971237
ti|226186|org|Bacteroides_thetaiotaomicron_VPI-5482|accession|NC_004663.1	0.03472324780459999	0.036441654957636446	286640.0	0.03567033371626058	0.0007713212413758733	0.03383341464848853	0.033694034959798266	265027.97944012424	0.03338090683069988	0.0019845598447135954
ti|435590|org|Bacteroides_vulgatus_ATCC_8482|accession|NC_009614.1	0.03040008250200147	0.03524888490875093	277258.0	0.035190276190723194	5.8608718027736544e-05	0.02958261654894772	0.03354462270472768	263852.74387952144	0.033222498017982834	0.0014583527212498175
ti|709991|org|Odoribacter_splanchnicus_DSM_20712|accession|NC_015160.1	0.024194329912620133	0.016201687219129478	127438.0	0.01619253357987135	9.153639258128051e-06	0.024118962371780954	0.01603611092742614	126135.62258851805	0.015913983251891372	0.0006973293240393382
ti|585394|org|Roseburia_hominis_A2-183|accession|NC_015977.1	0.0206926447963297	0.017530363384222484	137889.0	0.017441242535334318	8.912084888816338e-05	0.018525732069077996	0.012958253493582476	101926.04550255553	0.01216048262054453	0.0025440760443666724
ti|515619|org|[Eubacterium]_rectale_ATCC_33656|accession|NC_012781.1	0.018836815051876267	0.014451943648162584	113675.0	0.014365874012360464	8.60696358021207e-05	0.017980346976956094	0.012644546556299527	99458.51331700254	0.01247806304925014	0.0006909726301100827
ti|246787|org|Bacteroides_cellulosilyticus|accession|NZ_CP012801.1	0.01689568053863525	0.02995045338483781	235582.0	0.029911296150233597	3.915723460421444e-05	0.01660161381376504	0.029568494194779454	232577.61443173743	0.0292887215468023	0.0019679053066189458
ti|295405|org|Bacteroides_fragilis_YCH46|accession|NC_006347.1	0.01675355512365441	0.02116613804399951	166487.0	0.020878052675125647	0.00028808536887386336	0.014866565949198107	0.01715763075742691	134957.18803183103	0.016659242048157295	0.0042554251840008625
ti|717959|org|Alistipes_shahii_WAL_8301|accession|NC_021030.1	0.016080068025481512	0.015115582494376868	118895.0	0.015006120224915088	0.00010946226946178127	0.015009046851186465	0.013175173707597718	103632.28003602035	0.013039359123203408	0.0019145090776131986
ti|47678|org|Bacteroides_caccae|accession|NZ_CP022412.2	0.015316193426916664	0.015594114413371229	122659.0	0.01556678062947543	2.733378389579904e-05	0.015382306084916296	0.015931499590181097	125312.77868247763	0.01578036554549842	0.0005084083804618621
